1991 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,
ERIOGON,SUBALPINUM,,,,,,,,,,,
,,,,,,,,,,,,
PLOT,SP,IND,07/01/91,07/09/91,07/15/91,07/23/91,COMMENT,07/30/91,COMMENT,08/05/91,08/13/91,COMMENT
1,ES,1,1,12,12,123,,23,,34,345,
1,ES,2,1,12,12,123,,23,,345,345,
1,ES,3,1,12,12,123,,23,,345,0,SHRIV
1,ES,4,1,12,12,123,,23,,1345,345,
1,ES,5,1,1,12,12,,123,,123,134,
2,ES,1,1,12,12,123,,23,,345,345,
2,ES,2,1,12,12,123,,123,,2345,345,
2,ES,3,1,1,12,123,,123,,234,345,
2,ES,4,1,1,12,123,,123,,2345,345,
2,ES,5,1,12,12,123,,123,,345,345,
3,ES,1,1,12,12,123,,23,,345,345,
3,ES,2,1,1,12,123,,23,,345,345,
3,ES,3,1,12,12,123,,23,,345,345,
3,ES,4,1,1,1,123,,23,,23,0,SHRIV
3,ES,5,1,1,1,12,,23,,23,34,
4,ES,1,1,1,12,123,,3,,34,34,
4,ES,2,1,12,123,123,,123,,2345,345,
4,ES,3,1,1,12,123,,123,,2345,2345,
4,ES,4,1,1,12,123,,23,,2345,345,
4,ES,5,1,1,12,123,,123,,2345,345,
5,ES,1,1,12,12,0,SHRIV.,0,SHRIV.,0,0,SHRIV
5,ES,2,1,12,123,123,,23,,34,345,
5,ES,3,1,12,123,123,,23,,2345,345,
5,ES,4,1,12,12,123,,123,,2345,345,
5,ES,5,1,12,12,123,,123,,2345,345,
6,ES,1,1,12,12,123,,123,,2345,345,
6,ES,2,1,12,12,123,,123,,2345,345,
6,ES,3,1,12,12,123,,23,,345,345,
6,ES,4,1,12,12,123,,123,,2345,345,
6,ES,5,1,12,12,123,,23,,345,345,
7,ES,1,1,1,12,123,,123,,2345,2345,
7,ES,2,1,1,1,123,,123,,234,345,
7,ES,3,1,0,0,0,,0,,0,0,
7,ES,4,1,0,0,0,,0,,0,0,
7,ES,5,1,0,0,0,,0,,0,0,
8,ES,1,1,123,123,123,,34,,345,345,
8,ES,2,1,123,123,123,,34,,34,345,
8,ES,3,1,123,123,123,,34,,345,345,
8,ES,4,1,12,123,123,,34,,345,345,
8,ES,5,1,12,123,123,,2345,,345,345,
9,ES,1,1,12,12,123,,345,,35,345,
9,ES,2,1,123,123,123,,345,,35,345,
9,ES,3,1,12,12,123,,345,,345,345,
9,ES,4,1,12,12,123,,34,,34,345,
9,ES,5,1,12,12,123,,2345,,345,345,
10,ES,1,1,123,12,123,,345,,345,345,
10,ES,2,1,123,123,123,,34,,345,345,
10,ES,3,1,123,123,123,,34,,345,345,
10,ES,4,1,123,123,123,,34,,345,345,
10,ES,5,1,123,123,123,,2345,,345,345,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,12/31/90,12/31/90,12/31/90,12/31/90,12/31/90,12/31/90,12/31/90,12/31/90,12/31/90,
jdate,,,182,190,196,204,-33238,211,-33238,217,225,
PLOT,,,07/01/91,07/09/91,07/15/91,07/23/91,COMMENT,07/30/91,COMMENT,08/05/91,08/13/91,
