1990 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,
ERYTHRONIUM GRANDIFLORUM,,,,,,,,,,,
KEY:  0=NOTFLOWERING; 1=BUD; 2=FLOWER; 3=OLDFLOWER; 4=INITIATED FRUIT; 5=EXPANDING FRUIT; 6=DEHISCED FRUIT,,,,,,,,,,,
PLOT,SP,IND,05/31/90,COMMENT,06/06/90,COMMENT,06/13/90,COMMENT,06/20/90,FRT/FLOW,
1,EG,1,2,,3,,0,SHRIV,3,O/?,
1,EG,2,1,,3,,0,SHRIV,3,O/?,
1,EG,3,2,,3,,0,SHRIV,3,O/?,
1,EG,4,1,,3,,0,SHRIV,3,O/?,
1,EG,5,1,,3,,0,SHRIV,3,O/?,
2,EG,1,2,,3,,0,SHRIV,0,0/?,
2,EG,2,2,,3,,0,SHRIV,0,0/?,
2,EG,3,1,,23,,0,SHRIV,0,0/?,
2,EG,4,1,,1,,0,SHRIV,0,0/?,no fruit
2,EG,5,12,,0,ABORT,0,SHRIV,0,0/?,
3,EG,1,12,,0,ABORT,0,SHRIV,0,0/?,
3,EG,2,2,,0,ABORT,0,SHRIV,0,0/?,
3,EG,3,2,,0,ABORT,0,SHRIV,0,0/?,
3,EG,4,1,,2,ABORT,0,SHRIV,0,0/?,
3,EG,5,2,,0,ABORT,0,SHRIV,0,0/?,
4,EG,1,2,,0,ABORT,2,SHRIV,0,0/?,
4,EG,2,2,,0,ABORT,2,SHRIV,0,0/?,
4,EG,3,12,,0,ABORT,2,SHRIV,0,0/?,
4,EG,4,1,,2,ABORT,2,SHRIV,0,0/?,
4,EG,5,12,,0,ABORT,2,SHRIV,0,0/?,
5,EG,1,12,,0,ABORT,2,SHRIV,0,0/?,
5,EG,2,2,,0,ABORT,2,SHRIV,0,0/?,
5,EG,3,1,,2,ABORT,2,SHRIV,0,0/?,
5,EG,4,1,,2,ABORT,2,SHRIV,0,0/?,
5,EG,5,12,,2,ABORT,2,SHRIV,0,0/?,
6,EG,1,2,,0,ABORT,2,SHRIV,0,0/?,
6,EG,2,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
6,EG,3,12,,0,ABORT,2,SHRIV,0,0/?,
6,EG,4,2,,0,ABORT,2,SHRIV,0,0/?,
6,EG,5,2,,0,ABORT,2,SHRIV,0,0/?,
7,EG,1,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
7,EG,2,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
7,EG,3,1,FROZEN,2,ABORT,2,SHRIV,0,0/?,
7,EG,4,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
7,EG,5,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
8,EG,1,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
8,EG,2,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
8,EG,3,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
8,EG,4,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
8,EG,5,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
9,EG,1,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
9,EG,2,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
9,EG,3,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
9,EG,4,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
9,EG,5,2,FROZEN,0,ABORT,0,SHRIV,0,0/?,
10,EG,1,2,FROZEN,0,ABORT,2,SHRIV,0,0/?,
10,EG,2,1,FROZEN,2,ABORT,2,SHRIV,0,0/?,
10,EG,3,12,FROZEN,0,ABORT,2,SHRIV,0,0/?,
