1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,
ERIOGONUM,SUBALPINUM,,,FRUIT SET=VIABLE FRS./TOTAL FRS.,,,FLOWERS,,,,,,,,
,,,,,,,,,,,,,,,
PLOT,SP,IND,DIST,07/12/93,07/20/93,07/26/93,comments,08/02/93,comments,08/09/93,comments,08/16/93,comments,fruitset,comments
1,es,1,3.3,1,12,12,,123,,234,,345,,77/302,
1,es,2,3.9,1,12,12,,123,,12345,,2345,,306/468,
1,es,3,3.9,1,1,12,,123,,1234,,12345,,283/460,
1,es,4,,,,,,,,,,,,,
1,es,5,,,,,,,,,,,,,
2,es,1,4.2,1,12,123,,234,,345,,45,,198/363,
2,es,2,4.4,1,123,123,,134,,2345,,45,,95/198,
2,es,3,4.9,1,12,123,,234,,345,,45,,395/470,
2,es,4,,,,,,,,,,,,,
2,es,5,,,,,,,,,,,,,
3,es,1,,,,,,,,,,,,,
3,es,2,,,,,,,,,,,,,
3,es,3,,,,,,,,,,,,,
3,es,4,,,,,,,,,,,,,
3,es,5,,,,,,,,,,,,,
4,es,1,,,,,,,,,,,,,
4,es,2,,,,,,,,,,,,,
4,es,3,,,,,,,,,,,,,
4,es,4,,,,,,,,,,,,,
4,es,5,,,,,,,,,,,,,
5,es,1,2.2,12,123,123,,123,,2345,,45,,468/636,
5,es,2,3.2,1,12,12,,23,,1234,bent,45,,85/135,
5,es,3,,,,,,,,,,,,,
5,es,4,,,,,,,,,,,,,
5,es,5,,,,,,,,,,,,,
6,es,1,2.2,12,12,23,wilted,3,dead,,,,,,
6,es,2,2.3,12,123,123,broken,3,dead,,,,,,
6,es,3,,,,,,,,,,,,,
6,es,4,,,,,,,,,,,,,
6,es,5,,,,,,,,,,,,,
7,es,1,,,,,,,,,,2345,,,
7,es,2,,,,,,,,,,,,,
7,es,3,,,,,,,,,,,,,
7,es,4,,,,,,,,,,,,,
7,es,5,5.2,1,12,1234,,1234,,12345,,,,184/472,
8,es,1,,,,,,,,,,,,,
8,es,2,,,,,,,,,,,,,
8,es,3,,,,,,,,,,,,,
8,es,4,,,,,,,,,,,,,
8,es,5,4.8,12,123,34,,45,,345,,5,,84/150,
9,es,1,3.7,12,123,1234,,1234,,1345,,345,,75/216,
9,es,2,3.8,12,12,124,eaten,34,,45,,5,,,clipped
9,es,3,5.5,12,12,1234,,34,,1345,,45,,125/255,
9,es,4,5.6,1,12,12,,123,,1234,,2345,,182/490,parasite
9,es,5,6.2,1,12,123,,3,,345,,45,,64/132,
10,es,1,3.8,123,23,345,,134,,345,,45,,98/186,
10,es,2,3.8,12,123,34,,234,,345,,5,,165/305,
10,es,3,4.6,12,123,123,,234,,2345,,45,,168/341,
10,es,4,4.7,12,123,23,partially eaten,4,,,,,,,
10,es,5,6,12,123,23,,24,,345,,45,,42/204,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1992 WARMED-MEADOW PHENOLOGY,,,,,ERIOGONUM,SUBALPINUM,,,,,,,,,
,,,,,,,,,,,,,,,
jdate,,,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,,,
