quad,block,treat,s192,s193,s292,s293,s492,s493,s592,s593,s692,s693,s792,s793,s992,s993,s1092,s1093,s1192,s1193,s1292,s1293
1,1,3,79,38,62,29,0,0,0,0,0,0,27,16,5,0,1,3,0,0,0,0
2,1,1,151,99,49,31,9,6,0,0,0,0,1,0,8,9,0,2,0,0,1,0
3,1,2,91,76,10,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,8
4,2,1,146,94,16,20,8,7,0,0,0,0,0,2,4,4,0,0,0,0,1,5
5,2,2,69,43,0,0,1,3,0,0,0,0,0,1,0,0,0,3,0,0,20,20
6,2,3,218,68,15,13,0,0,0,0,0,0,9,4,0,0,2,0,0,0,1,2
7,3,1,194,89,49,48,2,5,1,1,0,0,4,6,0,0,1,0,0,0,7,0
8,3,3,73,62,47,34,4,0,0,0,0,0,0,1,4,6,2,2,0,0,10,7
9,3,2,53,29,26,17,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,4,2,71,34,30,36,0,0,0,0,3,6,1,1,0,0,5,5,0,0,0,3
11,4,1,29,20,32,41,0,0,10,11,15,19,7,8,2,2,1,1,0,0,0,0
12,4,3,140,77,34,37,0,1,0,0,9,8,0,0,0,0,3,0,0,0,0,0
13,5,2,101,50,80,80,0,0,0,0,2,1,0,3,0,0,6,7,0,0,1,1
14,5,1,164,83,96,51,5,7,0,0,0,0,0,5,1,0,0,4,0,0,2,0
15,5,3,387,103,15,18,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,6,3,158,89,50,28,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0,10
17,6,2,230,91,52,42,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
18,6,1,227,67,73,56,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
