quad,treat,species,light,photo1,photo2,photo3,meanphot,trans1,trans2,trans3,meantran
1,3,m,0,2.755,2.678,2.24,2.557667,1.377,1.242,1.195,1.271333
1,3,m,1,2.039,2.146,2.499,2.228,0.8775,0.8539,0.8855,0.8723
1,3,u,0,7.184,4.161,2.822,4.722333,2.691,5.186,4.904,4.260333
1,3,u,1,5.869,6.43,5.363,5.887333,2.735,2.31,2.778,2.607667
2,1,m,0,3.68,2.154,1.513,2.449,1.011,0.975,1.042,1.009333
2,1,m,1,1.611,3.255,2.951,2.605667,1.284,1.163,1.294,1.247
2,1,u,0,1.436,1.011,1.581,1.342667,2.272,2.87,2.338,2.493333
2,1,u,1,4.784,4.255,5.527,4.855333,2.596,2.4,2.72,2.572
3,2,m,0,4.063,2.204,3.683,3.316667,2.094,1.883,1.864,1.947
3,2,m,1,NA,NA,NA,NA,NA,NA,NA,NA
3,2,u,0,2.84,3.628,3.839,3.435667,3.47,3.394,3.585,3.483
3,2,u,1,6.805,5.97,5.114,5.963,5.338,6.536,5.859,5.911
4,1,m,0,3.508,3.429,3.359,3.432,2.387,2.336,2.123,2.282
4,1,m,1,3.851,NA,2.334,3.0925,3.366,3.309,3.236,3.303667
4,1,u,0,4.998,4.568,4.21,4.592,2.665,2.451,2.13,2.415333
4,1,u,1,3.977,3.885,3.791,3.884333,4.525,4.51,4.592,4.542333
5,2,m,0,3.423,2.312,2.668,2.801,1.672,1.635,1.651,1.652667
5,2,m,1,2.894,3.055,2.725,2.891333,1.739,1.734,1.679,1.717333
5,2,u,0,2.769,4.273,4.352,3.798,2.913,2.897,3.008,2.939333
5,2,u,1,4.919,4.721,4.465,4.701667,3.317,3.049,3.204,3.19
6,3,m,0,3.298,3.981,3.962,3.747,2.254,1.993,2.017,2.088
6,3,m,1,4.018,4.042,3.847,3.969,1.792,1.87,1.859,1.840333
6,3,u,0,3.349,3.299,1.385,2.677667,3.912,4.378,3.736,4.008667
6,3,u,1,4.44,5.112,5.02,4.857333,2.848,2.934,2.983,2.921667
7,1,m,0,3.01,3.362,3.608,3.326667,2.859,2.844,2.815,2.839333
7,1,m,1,1.985,3.378,3.594,2.985667,1.837,1.76,1.945,1.847333
7,1,u,0,2.774,3.347,3.72,3.280333,4.694,4.543,4.853,4.696667
7,1,u,1,4.203,3.725,3.54,3.822667,3.632,3.519,3.033,3.394667
8,3,m,0,1.882,1.752,1.659,1.764333,2.16,2.022,2.03,2.070667
8,3,m,1,2.698,2.706,2.559,2.654333,1.562,1.55,1.497,1.536333
8,3,u,0,1.303,1.291,1.315,1.303,2.161,2.022,2.03,2.071
8,3,u,1,3.363,3.439,2.593,3.131667,2.924,3.039,2.989,2.984
9,2,m,0,1.726,1.684,1.626,1.678667,2.03,1.907,1.89,1.942333
9,2,m,1,3.186,2.72,2.503,2.803,1.467,1.544,1.425,1.478667
9,2,u,0,NA,3.587,3.818,3.7025,3.936,3.322,3.796,3.684667
9,2,u,1,6.121,5.905,5.885,5.970333,5.384,5.217,4.981,5.194
10,2,m,0,1.649,2.455,2.64,2.248,2.619,2.275,2.267,2.387
10,2,m,1,3.194,3,2.97,3.054667,2.673,2.823,2.75,2.748667
10,2,u,0,2.992,3.135,2.248,2.791667,5.24,5.071,5.024,5.111667
10,2,u,1,5.169,5.026,4.835,5.01,5.098,5.108,5.057,5.087667
11,1,m,0,1.46,2.422,2.455,2.112333,2.935,2.893,2.639,2.822333
11,1,m,1,3.131,3.094,2.877,3.034,2.142,1.952,1.838,1.977333
11,1,u,0,2.575,2.96,3.24,2.925,4.99,5.002,4.902,4.964667
11,1,u,1,3.43,3.351,3.098,3.293,2.941,2.776,2.609,2.775333
12,3,m,0,2.07,2.211,2.161,2.147333,1.369,1.335,1.32,1.341333
12,3,m,1,2.159,2.092,1.907,2.052667,1.596,1.526,1.417,1.513
12,3,u,0,1.43,1.391,1.016,1.279,2.28,2.163,1.989,2.144
12,3,u,1,4.714,4.422,4.237,4.457667,4.331,4.422,4.464,4.405667
13,2,m,0,2.064,1.729,2.232,2.008333,2.44,2.302,2.113,2.285
13,2,m,1,1.284,1.388,1.38,1.350667,1.423,1.473,1.465,1.453667
13,2,u,0,1.307,1.965,1.862,1.711333,4.87,4.457,4.287,4.538
13,2,u,1,3.955,3.737,3.317,3.669667,3.748,3.601,3.501,3.616667
14,1,m,0,1.323,1.253,1.26,1.278667,1.575,1.456,1.234,1.421667
14,1,m,1,2.499,2.531,2.47,2.5,2.018,1.974,1.918,1.97
14,1,u,0,3.681,3.665,3.279,3.541667,2.97,3.274,2.933,3.059
14,1,u,1,3.715,3.651,3.438,3.601333,4.147,4.051,3.722,3.973333
15,3,m,0,3.436,2.329,3.097,2.954,3.322,3.473,2.985,3.26
15,3,m,1,2.462,2.09,1.861,2.137667,1.525,1.469,1.427,1.473667
15,3,u,0,1.763,1.625,2.805,2.064333,3.588,3.338,3.155,3.360333
15,3,u,1,3.971,4.217,3.806,3.998,4.061,4.098,3.908,4.022333
16,3,m,0,1.955,1.906,1.962,1.941,1.872,1.947,1.91,1.909667
16,3,m,1,1.801,1.822,1.777,1.8,1.612,1.703,1.698,1.671
16,3,u,0,1.416,1.461,1.354,1.410333,2.67,2.456,2.324,2.483333
16,3,u,1,4.249,4.06,4.014,4.107667,3.557,3.58,3.571,3.569333
17,2,m,0,1.358,1.299,1.688,1.448333,2.216,2.254,2.053,2.174333
17,2,m,1,3.242,3.106,3.09,3.146,2.483,2.616,2.622,2.573667
17,2,u,0,1.317,0.7859,0.8485,0.9838,6.816,7.236,8.147,7.399667
17,2,u,1,4.299,3.904,3.685,3.962667,6.076,6.039,5.954,6.023
18,1,m,0,2.347,2.36,2.24,2.315667,1.476,1.564,1.534,1.524667
18,1,m,1,4.085,4.882,3.524,4.163667,2.784,2.919,2.842,2.848333
18,1,u,0,1.814,2.094,1.444,1.784,3.253,3.319,3.29,3.287333
18,1,u,1,3.856,3.325,3.258,3.479667,5.239,5.024,4.87,5.044333
