"","site","species","tbase","sens_gddsoil","se_soil","t_soil","p_soil","aic_gddsoil","sens_gddair","se_air","t_air","p_air","aic_gddair"
"1","marchin","Quercus.alba","2","0.023","0.004","5.092","0","1565.411","-0.001","0.002","-0.626","0.532","1480.504"
"2","marchin","Quercus.alba","4","0.002","0.005","0.351","0.726","1590.123","-0.003","0.001","-1.818","0.07","1477.587"
"3","marchin","Quercus.alba","6","0.015","0.01","1.452","0.148","1588.13","-0.004","0.002","-2.525","0.012","1474.554"
"4","marchin","Quercus.alba","8","0.057","0.029","1.98","0.049","1586.326","-0.006","0.003","-2.469","0.014","1474.83"
"5","marchin","Quercus.alba","10","-0.129","0.179","-0.718","0.474","1589.729","-0.014","0.005","-2.636","0.009","1473.997"
"6","marchin","Acer.rubrum","2","0.041","0.004","9.925","0","1224.273","0.002","0.002","1.206","0.229","1232.742"
"7","marchin","Acer.rubrum","4","0.025","0.006","4.264","0","1286.494","0.001","0.002","0.407","0.685","1234.04"
"8","marchin","Acer.rubrum","6","0.031","0.011","2.931","0.004","1295.536","0","0.002","-0.186","0.853","1234.172"
"9","marchin","Acer.rubrum","8","0.056","0.026","2.123","0.035","1299.523","0","0.004","-0.061","0.952","1234.204"
"10","marchin","Acer.rubrum","10","0.147","0.105","1.408","0.161","1302.027","-0.008","0.007","-1.089","0.278","1233.012"
"11","marchin","Carya.tomentosa","2","0.023","0.008","2.929","0.004","593.241","-0.002","0.002","-0.987","0.327","573.388"
"12","marchin","Carya.tomentosa","4","0.003","0.009","0.291","0.772","601.529","-0.004","0.002","-1.707","0.091","571.445"
"13","marchin","Carya.tomentosa","6","0.001","0.016","0.076","0.94","601.609","-0.006","0.002","-2.434","0.017","568.514"
"14","marchin","Carya.tomentosa","8","0.02","0.033","0.592","0.555","601.258","-0.01","0.004","-2.832","0.006","566.533"
"15","marchin","Carya.tomentosa","10","0.029","0.144","0.2","0.842","601.574","-0.022","0.008","-2.941","0.004","565.946"
"16","marchin","Vaccinium.stamineum","2","0.067","0.004","17.109","0","763.776","0.012","0.003","4.707","0","720.216"
"17","marchin","Vaccinium.stamineum","4","0.077","0.007","11.318","0","823.303","0.013","0.003","4.503","0","721.777"
"18","marchin","Vaccinium.stamineum","6","0.137","0.01","13.993","0","794.978","0.015","0.004","4.227","0","723.816"
"19","marchin","Vaccinium.stamineum","8","0.387","0.044","8.821","0","850.091","0.028","0.005","5.461","0","714.108"
"20","marchin","Vaccinium.stamineum","10","-0.639","0.583","-1.097","0.275","909.011","0.057","0.009","6.737","0","702.801"
