site,species
fitter,Acer.campestre
fitter,Acer.platanoides
fitter,Acer.pseudoplatanus
fitter,Achillea.millefolium
fitter,Achillea.ptarmica
fitter,Adoxa.moschatellina
fitter,Aegopodium.podagraria
fitter,Aesculus.hippocastanum
fitter,Aethusa.cynapium
fitter,Agrimonia.eupatoria
fitter,Ajuga.reptans
fitter,Alliaria.petiolata
fitter,Alnus.glutinosa
fitter,Alopecurus.geniculatus
fitter,Alopecurus.myosuroides
fitter,Alopecurus.pratensis
fitter,Anacamptis.pyramidalis
fitter,Anagallis.arvensis
fitter,Anisantha.sterilis
fitter,Anthoxanthum.odoratum
fitter,Anthriscus.sylvestris
fitter,Antirrhinum.majus
fitter,Arabidopsis.thaliana
fitter,Arctium.lappa
fitter,Arctium.minus
fitter,Armoracia.rusticana
fitter,Arrhenatherum.elatius
fitter,Artemisia.vulgaris
fitter,Asperula.cynanchica
fitter,Aster.novi-belgii
fitter,Atriplex.prostrata
fitter,Atropa.bella-donna
fitter,Avena.fatua
fitter,Avena.sativa
fitter,Ballota.nigra
fitter,Barbarea.vulgaris
fitter,Betula.pendula
fitter,Brachypodium.pinnatum
fitter,Brachypodium.sylvaticum
fitter,Brassica.rapa
fitter,Briza.media
fitter,Bromus.erectus
fitter,Bromus.hordeaceus
fitter,Bryonia.dioica
fitter,Buddleja.davidii
fitter,Calluna.vulgaris
fitter,Caltha.palustris
fitter,Calystegia.sepium
fitter,Calystegia.silvatica
fitter,Campanula.glomerata
fitter,Campanula.trachelium
fitter,Cardamine.hirsuta
fitter,Cardamine.pratensis
fitter,Carduus.acanthoides
fitter,Carduus.nutans
fitter,Carex.acutiformis
fitter,Carex.caryophyllea
fitter,Carex.disticha
fitter,Carex.hirta
fitter,Carex.panicea
fitter,Carex.paniculata
fitter,Carex.sylvatica
fitter,Carlina.vulgaris
fitter,Carpinus.betulus
fitter,Centaurea.nigra
fitter,Centaurea.scabiosa
fitter,Cephalanthera.damasonium
fitter,Cerastium.fontanum
fitter,Cerastium.glomeratum
fitter,Cerastium.tomentosum
fitter,Chaerophyllum.temulentum
fitter,Chamaenerion.angustifolium
fitter,Chelidonium.majus
fitter,Chenopodium.album
fitter,Chrysosplenium.oppositifolium
fitter,Cicerbita.macrophylla
