"X","Estimate","Std..Error","Estimate.1","Std..Error.1","Estimate.2","Std..Error.2"
"intercept",11.89,1.42,10.81,1.48,13.92,1.61
"structure effect",-0.57,0.24,-0.63,0.32,-0.54,0.38
