"predictor","df","chi2","p","chi2","p","chi2","p"
"intercept","1","368.31","<0.001","82.58","<0.001","623.8","<0.001"
"temp. treatment","1","593.81","<0.001","257.56","<0.001","118.96","<0.001"
"block","39","415.6","<0.001","118.67","<0.001","217.86","<0.001"
"temp. treatment:block","39","116.78","<0.001","163.35","<0.001","254.68","<0.001"
