code,genusspecies
ACPE,Acer pensylvanicum
ACRU,Acer rubrum
ACSA,Acer saccharum
AMCA,Amelanchier canadensis
AMSP,Amelanchier canadensis
AR,Aronia
ARSP,Aronia
BEAL,Betula alleghaniensis
BELE,Betula lenta
BEPA,Betula papyrifera
BEPO,Betula populifolia
CADE,Castanea dentata
COAL,Cornus alternifolia
CR,Crataegus
CRSP,Crataegus
FAGR,Fagus grandifolia
FRAM,Fraxinus americana
HAVI,Hamamelis virginiana
ILVE,Ilex verticillata
KAAN,Kalmia angustifolia
KALA,Kalmia latifolia
LYLI,Lyonia ligustrina
NEMU,Nemopanthus mucronata
NYSY,Nyssa sylvatica
PIST,Pinus strobus
POTR,Populus tremuloides
PRSE,Prunus serotina
QUAL,Quercus alba
QURU,Quercus rubra
QUVE,Quercus velutina
RHNU,Rhododendron nudiflorum
RHSP,Rhododendron nudiflorum
SACA,Sambucus canadensis
SAPU,Sambucus pubens
TSCA,Tsuga canadensis
VACO,Vaccinium corymbosum
VIAL,Viburnum alnifolium
VICA,Viburnum cassinoides
