Experiment	Year	Species	Plot	Treatment	NumSpecies	CumGDDBud	CumGDDFlwr	FlwDuration	FlwHt	FlwrDay	BudDay	EndFlwr	SeedDay
249	2009	Amorpha canescens	108	0-Ambient	16	211.5	555	1	36	196	162	203	 
249	2009	Amorpha canescens	108	0-Ambient	16	412.5	555	1	50	196	181	203	 
249	2009	Amorpha canescens	108	2-High	16	211.5	487.5	2	60	189	162	203	 
249	2009	Amorpha canescens	108	2-High	16	255	487.5	2	51	189	167	203	 
249	2009	Amorpha canescens	108	2-High	16	255	487.5	2	40	189	167	203	 
249	2009	Amorpha canescens	108	1-Low	16	211.5	487.5	2	50	189	162	203	 
249	2009	Amorpha canescens	108	1-Low	16	363.5	555	2	48	196	175	210	 
249	2009	Amorpha canescens	108	1-Low	16	412.5	617	1	45	204	181	211	 
249	2009	Amorpha canescens	137	2-High	1	363.5	555	1	43	196	175	203	 
249	2009	Amorpha canescens	137	1-Low	1	255	487.5	3	53	189	167	210	 
249	2009	Amorpha canescens	137	1-Low	1	255	555	2	41	196	167	210	 
249	2009	Amorpha canescens	137	1-Low	1	 	555	2	46	196	 	210	 
249	2009	Amorpha canescens	202	0-Ambient	16	363.5	684.5	1	70	211	175	218	 
249	2009	Amorpha canescens	202	0-Ambient	16	487.5	684.5	2	64	211	189	225	 
249	2009	Amorpha canescens	202	0-Ambient	16	555	734.5	 	56	217	196	217	 
249	2009	Amorpha canescens	202	2-High	16	363.5	487.5	3	73	189	175	210	 
249	2009	Amorpha canescens	202	1-Low	16	211.5	555	2	60	196	162	210	 
249	2009	Amorpha canescens	202	1-Low	16	363.5	555	3	60	196	175	217	 
249	2009	Amorpha canescens	202	1-Low	16	412.5	684.5	1	47	211	181	218	 
249	2009	Amorpha canescens	220	0-Ambient	16	211.5	555	4	74	196	162	224	 
249	2009	Amorpha canescens	220	0-Ambient	16	211.5	555	1	57	196	162	203	 
249	2009	Amorpha canescens	220	2-High	16	363.5	555	3	49	196	175	217	 
249	2009	Amorpha canescens	220	2-High	16	412.5	617	1	35	204	181	211	 
249	2009	Amorpha canescens	220	2-High	16	 	684.5	1	55	211	 	218	 
249	2009	Amorpha canescens	220	1-Low	16	363.5	555	1	46	196	175	203	 
249	2009	Amorpha canescens	220	1-Low	16	412.5	684.5	1	47	211	181	218	 
249	2009	Amorpha canescens	299	0-Ambient	16	412.5	555	1	52	196	181	203	 
249	2009	Amorpha canescens	299	0-Ambient	16	487.5	555	1	55	196	189	203	 
249	2009	Amorpha canescens	299	2-High	16	211.5	487.5	2	50	189	162	203	 
249	2009	Amorpha canescens	299	1-Low	16	255	555	2	42	196	167	210	 
249	2009	Amorpha canescens	301	0-Ambient	16	412.5	487.5	1	47	189	181	196	 
249	2009	Amorpha canescens	301	1-Low	16	255	487.5	2	42	189	167	203	 
249	2009	Amorpha canescens	301	1-Low	16	255	487.5	2	50	189	167	203	 
249	2009	Amorpha canescens	301	1-Low	16	255	487.5	4	61	189	167	217	 
249	2009	Amorpha canescens	328	0-Ambient	16	363.5	555	2	44	196	175	210	 
249	2009	Amorpha canescens	328	2-High	16	211.5	487.5	2	57	189	162	203	 
249	2009	Amorpha canescens	328	1-Low	16	211.5	487.5	2	36	189	162	203	 
249	2009	Amorpha canescens	328	1-Low	16	255	555	2	49	196	167	210	 
249	2009	Andropogon gerardii	78	0-Ambient	32	 	801	1	115	223	 	230	 
249	2009	Andropogon gerardii	78	1-Low	32	 	801	 	99	223	 	223	 
249	2009	Andropogon gerardii	82	1-Low	16	 	734.5	1	59	217	 	224	 
249	2009	Andropogon gerardii	82	1-Low	16	 	891.5	 	94	231	 	231	 
249	2009	Andropogon gerardii	108	0-Ambient	16	 	734.5	2	73	217	 	231	 
249	2009	Andropogon gerardii	108	0-Ambient	16	 	801	1	44	223	 	230	 
249	2009	Andropogon gerardii	108	1-Low	16	 	734.5	2	90	217	 	231	 
249	2009	Andropogon gerardii	109	2-High	1	 	684.5	3	82	211	 	232	 
249	2009	Andropogon gerardii	202	2-High	16	617	684.5	1	109	211	204	218	 
249	2009	Andropogon gerardii	202	2-High	16	 	801	 	102	223	 	223	 
249	2009	Andropogon gerardii	220	0-Ambient	16	 	684.5	 	40	211	 	211	 
249	2009	Andropogon gerardii	249	0-Ambient	32	 	891.5	 	56	231	 	231	 
249	2009	Andropogon gerardii	249	0-Ambient	32	 	891.5	 	77	231	 	231	 
249	2009	Andropogon gerardii	253	1-Low	16	 	734.5	1	52	217	 	224	 
249	2009	Andropogon gerardii	273	0-Ambient	16	 	891.5	 	77	231	 	231	 
249	2009	Andropogon gerardii	273	2-High	16	617	734.5	1	77	217	204	224	 
249	2009	Andropogon gerardii	273	1-Low	16	684.5	734.5	2	114	217	211	231	 
249	2009	Andropogon gerardii	299	0-Ambient	16	 	801	1	109	223	 	230	 
249	2009	Andropogon gerardii	299	0-Ambient	16	 	891.5	 	69	231	 	231	 
249	2009	Andropogon gerardii	299	2-High	16	684.5	801	1	56	223	211	230	 
249	2009	Andropogon gerardii	301	0-Ambient	16	684.5	734.5	2	88	217	211	231	 
249	2009	Andropogon gerardii	301	0-Ambient	16	 	801	1	65	223	 	230	 
249	2009	Andropogon gerardii	301	2-High	16	 	801	1	71	223	 	230	 
249	2009	Andropogon gerardii	328	2-High	16	 	734.5	2	78	217	 	231	 
249	2009	Dalea purpurea	78	0-Ambient	32	363.5	617	1	40	204	175	211	 
249	2009	Dalea purpurea	78	0-Ambient	32	363.5	617	1	40	204	175	211	 
249	2009	Dalea purpurea	78	0-Ambient	32	377	684.5	1	68	211	176	218	 
249	2009	Dalea purpurea	78	2-High	32	363.5	555	2	35	196	175	210	 
249	2009	Dalea purpurea	78	2-High	32	363.5	617	1	34	204	175	211	 
249	2009	Dalea purpurea	78	1-Low	32	363.5	617	2	46	204	175	218	 
249	2009	Dalea purpurea	78	1-Low	32	363.5	617	1	40	204	175	211	 
249	2009	Dalea purpurea	78	1-Low	32	487.5	684.5	1	31	211	189	218	 
249	2009	Dalea purpurea	82	0-Ambient	16	363.5	555	3	52	196	175	217	 
249	2009	Dalea purpurea	82	0-Ambient	16	412.5	617	1	36	204	181	211	 
249	2009	Dalea purpurea	82	2-High	16	363.5	555	2	41	196	175	210	 
249	2009	Dalea purpurea	82	1-Low	16	487.5	 	 	 	 	189	 	 
249	2009	Dalea purpurea	108	0-Ambient	16	363.5	617	1	61	204	175	211	 
249	2009	Dalea purpurea	108	0-Ambient	16	412.5	684.5	1	44	211	181	218	 
249	2009	Dalea purpurea	108	0-Ambient	16	412.5	734.5	1	46	217	181	224	 
249	2009	Dalea purpurea	108	2-High	16	363.5	487.5	3	64	189	175	210	 
249	2009	Dalea purpurea	108	2-High	16	363.5	555	2	51	196	175	210	 
249	2009	Dalea purpurea	108	2-High	16	363.5	555	1	41	196	175	203	 
249	2009	Dalea purpurea	108	1-Low	16	363.5	555	2	62	196	175	210	 
249	2009	Dalea purpurea	108	1-Low	16	363.5	555	2	64	196	175	210	 
249	2009	Dalea purpurea	108	1-Low	16	412.5	684.5	 	42	211	181	211	 
249	2009	Dalea purpurea	202	0-Ambient	16	412.5	734.5	3	58	217	181	238	 
249	2009	Dalea purpurea	202	0-Ambient	16	487.5	801	1	51	223	189	230	 
249	2009	Dalea purpurea	202	1-Low	16	412.5	684.5	2	53	211	181	225	 
249	2009	Dalea purpurea	220	2-High	16	363.5	684.5	2	62	211	175	225	 
