year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,1,4,162,3,1,2,3,4,,2.5,2,
7,1,4,169,3,1,2,4,,,2.333333333,2,
7,1,4,176,3,1,2,3,4,,2.5,2.5,
7,1,4,184,3,3,6,,,,4.5,5.75,
7,1,4,190,3,6,,,,,6,6,
7,1,5,133,1,1,2,,,,1.5,1.5,
7,1,5,143,1,1,2,3,4,,2.5,3.25,
7,1,5,148,1,1,2,3,4,,2.5,3.25,
7,1,5,156,1,4,,,,,4,4,
7,1,5,162,1,4,5,,,,4.5,4.5,
7,1,5,169,1,4,5,6,,,5,5,
7,1,5,176,1,5,6,,,,5.5,5.75,
7,1,5,184,1,6,,,,,6,6,
7,1,5,133,2,1,2,4,,,2.333333333,1.75,
7,1,5,143,2,1,2,3,4,5,3,4,
7,1,5,148,2,2,3,4,5,,3.5,4,
7,1,5,156,2,3,4,,,,3.5,3.75,
7,1,5,162,2,4,5,6,,,5,5,
7,1,5,169,2,5,6,,,,5.5,5.75,
7,1,5,176,2,6,,,,,6,6,
7,1,5,133,3,1,2,,,,1.5,1.25,
7,1,5,143,3,1,2,4,,,2.333333333,3,
7,1,5,148,3,2,3,4,,,3,3.5,
7,1,5,156,3,2,4,,,,3,3.75,
7,1,5,162,3,4,5,,,,4.5,4.5,
7,1,5,169,3,4,5,,,,4.5,4.5,
7,1,5,176,3,5,6,,,,5.5,5.75,
7,1,5,184,3,6,,,,,6,6,
7,1,5,133,4,1,2,3,4,,2.5,3,
7,1,5,143,4,1,2,3,4,5,3,3.75,
7,1,5,148,4,2,3,4,5,,3.5,4.25,
7,1,5,156,4,1,2,3,4,,2.5,2.75,
7,1,5,162,4,4,5,6,,,5,5,
7,1,5,169,4,4,5,6,,,5,5.75,
7,1,5,176,4,4,5,,,,4.5,4.25,
7,1,5,184,4,6,,,,,6,6,
7,1,5,133,5,1,2,3,,,2,3,
7,1,5,143,5,1,2,4,5,,3,1,
7,1,5,148,5,1,2,3,4,5,3,3.75,
7,1,5,156,5,4,5,,,,4.5,4.25,
7,1,5,162,5,4,5,6,,,5,5,
7,1,5,169,5,5,6,,,,5.5,5.75,
7,1,5,176,5,6,,,,,6,6,
7,1,6,133,1,1,,,,,1,1,
7,1,6,143,1,1,2,,,,1.5,1.25,
7,1,6,148,1,1,2,3,,,2,2,
7,1,6,156,1,2,3,4,,,3,3.75,
7,1,6,162,1,3,4,5,,,4,4.75,
7,1,6,169,1,4,5,,,,4.5,4.75,
7,1,6,133,2,1,,,,,1,1,
7,1,6,143,2,1,2,3,4,,2.5,2.25,
7,1,6,148,2,1,2,3,4,,2.5,2.25,
7,1,6,156,2,2,3,4,,,3,3.75,
7,1,6,162,2,5,6,,,,5.5,4.25,
7,1,6,169,2,4,5,,,,4.5,4.25,
7,1,6,176,2,5,6,,,,5.5,5.75,
7,1,6,184,2,6,,,,,6,6,
7,1,6,133,3,1,,,,,1,1,
7,1,6,143,3,0,,,,,0,0,
7,1,6,148,3,1,2,3,4,,2.5,2.75,
7,1,6,156,3,2,4,,,,3,3.75,
7,1,6,162,3,4,,,,,4,4,
7,1,6,169,3,4,,,,,4,4,
7,1,6,176,3,5,6,,,,5.5,5.75,
7,1,6,184,3,6,,,,,6,6,
7,1,6,133,4,0,,,,,0,0,
7,1,6,143,4,1,2,,,,1.5,1.5,
7,1,6,148,4,1,2,4,,,2.333333333,2.25,
7,1,6,156,4,1,2,3,4,,2.5,3.5,
7,1,6,162,4,3,4,,,,3.5,3.5,
7,1,6,169,4,4,,,,,4,4,
7,1,6,176,4,3,4,,,,3.5,3.5,
7,1,6,184,4,6,,,,,6,6,
7,1,6,133,5,1,,,,,1,1,
7,1,6,143,5,1,2,3,4,,2.5,2,
7,1,6,148,5,1,2,3,4,,2.5,2.5,
7,1,6,156,5,3,4,,,,3.5,3.75,
7,1,6,162,5,3,4,,,,3.5,3.75,
7,1,6,169,5,3,4,,,,3.5,3.75,
7,1,6,176,5,5,6,,,,5.5,5.25,
7,1,6,184,5,6,,,,,6,6,
7,1,7,133,1,1,2,3,4,,2.5,2.25,
7,1,7,143,1,2,3,4,5,,3.5,3.75,
7,1,7,148,1,3,4,,,,3.5,3.75,
7,1,7,156,1,4,5,,,,4.5,4.25,
7,1,7,162,1,4,5,,,,4.5,4.25,
7,1,7,169,1,3,5,6,,,4.666666667,5.5,
7,1,7,176,1,6,,,,,6,6,
7,1,7,133,2,1,2,3,,,2,2,
7,1,7,143,2,2,3,4,,,3,3.5,
7,1,7,148,2,2,3,4,5,,3.5,3.75,
7,1,7,156,2,4,5,,,,4.5,4.25,
7,1,7,162,2,4,5,,,,4.5,4.25,
7,1,7,169,2,5,6,,,,5.5,5.5,
7,1,7,176,2,5,6,,,,5.5,5.75,
7,1,7,184,2,6,,,,,6,6,
7,1,7,133,3,1,2,3,4,,2.5,2.25,
7,1,7,143,3,1,2,3,4,5,3,3.75,
7,1,7,148,3,1,2,3,4,5,3,3.75,
7,1,7,156,3,3,4,,,,3.5,3.75,
7,1,7,162,3,4,,,,,4,4,
7,1,7,169,3,4,,,,,4,4,
7,1,7,176,3,6,,,,,6,6,
7,1,7,133,4,1,2,4,,,2.333333333,2,
7,1,7,143,4,2,3,4,5,,3.5,4,
7,1,7,148,4,2,3,4,5,,3.5,4,
7,1,7,156,4,3,4,5,,,4,4.5,
7,1,7,162,4,4,,,,,4,4,
7,1,7,169,4,6,,,,,6,6,
7,1,7,133,5,1,2,3,,,2,1.5,
7,1,7,143,5,1,2,3,4,5,3,3.75,
7,1,7,148,5,2,3,4,5,,3.5,4,
7,1,7,156,5,4,,,,,4,4,
7,1,7,162,5,4,5,6,,,5,4.75,
7,1,7,169,5,4,,,,,4,4,
7,1,7,176,5,6,,,,,6,6,
7,1,8,133,1,0,,,,,0,0,
7,1,8,143,1,1,,,,,1,1,
7,1,8,148,1,1,2,,,,1.5,1.25,
7,1,8,156,1,2,3,4,,,3,3.5,
7,1,8,162,1,2,3,4,,,3,3.75,
7,1,8,169,1,4,,,,,4,4,
7,1,8,176,1,4,,,,,4,4,
7,1,8,184,1,6,,,,,6,6,
7,1,8,133,2,0,,,,,0,0,
7,1,8,143,2,1,,,,,1,1,
7,1,8,148,2,1,2,,,,1.5,1.5,
7,1,8,156,2,2,3,4,,,3,3.5,
7,1,8,162,2,2,3,4,,,3,3.75,
7,1,8,169,2,4,,,,,4,4,
7,1,8,176,2,4,,,,,4,4,
7,1,8,184,2,6,,,,,6,6,
7,1,8,133,3,0,,,,,0,0,
7,1,8,143,3,1,2,,,,1.5,1.25,
7,1,8,148,3,1,2,3,,,2,1.75,
7,1,8,156,3,1,2,3,4,,2.5,3.25,
7,1,8,162,3,2,3,4,5,,3.5,3.75,
7,1,8,169,3,4, , , , ,4,4,
7,1,8,176,3,5,6,,,,5.5,5.75,
7,1,8,184,3,6,,,,,6,6,
7,1,8,133,4,0,,,,,0,0,
7,1,8,143,4,1,2,,,,1.5,1.25,
7,1,8,148,4,1,2,,,,1.5,1.5,
7,1,8,156,4,1,2,3,4,,2.5,3.25,
7,1,8,162,4,2,3,4,,,3,3.75,
7,1,8,169,4,1,2,3,4,5,3,3,
7,1,8,176,4,3,4,5,,,4,4.25,
7,1,8,184,4,5,6,,,,5.5,5.75,
7,1,8,190,4,6,,,,,6,6,
7,1,8,133,5,0,,,,,0,0,
7,1,8,143,5,1,2,,,,1.5,1.25,
7,1,8,148,5,1,2,3,,,2,2,
7,1,8,156,5,1,2,3,4,,2.5,3.25,
7,1,8,162,5,2,3,4,5,,3.5,3.75,
7,1,8,169,5,4,5,,,,4.5,4,
7,1,8,176,5,3,4,5,,,4,4,
7,1,8,184,5,6,,,,,6,6,
7,1,9,133,1,1,,,,,1,1,
7,1,9,143,1,1,2,3,4,,2.5,2.5,
7,1,9,148,1,1,2,3,4,,2.5,2.5,
7,1,9,156,1,2,3,4,,,3,3.25,
7,1,9,162,1,2,3,4,5,,3.5,3.75,
7,1,9,169,1,3,4,5,6,,4.5,4.75,
7,1,9,176,1,5,6,,,,5.5,5.25,
7,1,9,184,1,6,,,,,6,6,
7,1,9,133,2,1,2,,,,1.5,1.25,
7,1,9,143,2,1,2,,,,1.5,1.25,
7,1,9,148,2,1,2,3,4,,2.5,2.5,
7,1,9,156,2,4,5,,,,4.5,3.75,
7,1,9,162,2,3,4,5,,,4,4,
7,1,9,169,2,3,4,5,6,,4.5,5,
7,1,9,176,2,6,,,,,6,6,
7,1,9,133,3,1,2,,,,1.5,1.25,
7,1,9,143,3,1,2,4,,,2.333333333,3,
7,1,9,148,3,1,2,4,,,2.333333333,2.75,
7,1,9,156,3,2,3,4,5,,3.5,4,
7,1,9,162,3,3,4,5,,,4,4,
7,1,9,169,3,3,4,5,6,,4.5,5,
7,1,9,176,3,5,6,,,,5.5,5.75,
7,1,9,184,3,6,,,,,6,6,
7,1,9,133,4,1,2,,,,1.5,1.25,
7,1,9,143,4,1,2,3,4,,2.5,2.5,
7,1,9,148,4,1,2,3,4,,2.5,2.75,
7,1,9,156,4,2,3,4,,,3,3.25,
7,1,9,162,4,3,4,5,,,4,4,
7,1,9,169,4,4,5,6,,,5,5,
7,1,9,176,4,6,,,,,6,6,
7,1,9,133,5,1,2,,,,1.5,1.25,
7,1,9,143,5,1,2,3,4,,2.5,2,
7,1,9,148,5,1,2,3,4,,2.5,2.75,
7,1,9,156,5,2,3,4,,,3,3.75,
7,1,9,162,5,3,4,5,,,4,4.25,
7,1,9,169,5,4,5,,,,4.5,4.75,
7,1,9,176,5,5,6,,,,5.5,5.75,
7,1,9,184,5,6,,,,,6,6,
7,1,10,133,1,1,,,,,1,1,
7,1,10,143,1,1,2,3,4,,2.5,3,
7,1,10,148,1,1,2,3,4,5,3,3.5,
7,1,10,156,1,2,3,4,5,,3.5,4,
7,1,10,162,1,4,5,,,,4.5,4.25,
7,1,10,169,1,4,5,,,,4.5,4.75,
7,1,10,176,1,5,6,,,,5.5,5.25,
7,1,10,184,1,6,,,,,6,6,
7,1,10,133,2,1,2,3,4,,2.5,2,
7,1,10,143,2,1,2,,,,1.5,1.25,
7,1,10,148,2,1,2,3,,,2,1.75,
7,1,10,156,2,2,3,4,,,3,3.75,
7,1,10,162,2,3,4,,,,3.5,3.75,
7,1,10,169,2,4,5,,,,4.5,4.5,
7,1,10,176,2,6,,,,,6,6,
7,1,10,190,2,6,,,,,6,6,
7,1,10,133,3,1,2,3,4,,2.5,1.75,
7,1,10,143,3,1,2,3,4,,2.5,3.25,
7,1,10,148,3,1,2,3,4,5,3,4,
7,1,10,156,3,2,3,4,,,3,3.5,
7,1,10,162,3,2,4,5,,,3.666666667,4.25,
7,1,10,169,3,3,4,5,,,4,4.25,
7,1,10,176,3,5,6,,,,5.5,5.5,
7,1,10,184,3,6,,,,,6,6,
7,1,10,133,4,1,2,3,,,2,2,
7,1,10,143,4,1,2,3,4,,2.5,2.75,
