year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
6,3,1,186,1,0,,,,,0,0
6,3,1,192,1,1,,,,,1,1
6,3,1,200,1,1,2,3,,,2,2.5
6,3,1,206,1,3,4,,,,3.5,3.5
6,3,1,214,1,3,4,5,,,4,4.25
6,3,1,220,1,4,5,,,,4.5,4.75
6,3,1,227,1,5,6,,,,5.5,5.75
6,3,1,186,2,0,,,,,0,0
6,3,1,192,2,1,,,,,1,1
6,3,1,206,2,1,3,4,5,,3.25,3.75
6,3,1,214,2,3,4,5,,,4,4
6,3,1,186,3,0,,,,,0,0
6,3,1,192,3,1,,,,,1,1
6,3,1,200,3,1,2,3,,,2,2
6,3,1,206,3,3,4,,,,3.5,3.25
6,3,1,214,3,3,4,5,,,4,4.5
6,3,1,220,3,4,5,,,,4.5,4.75
6,3,1,227,3,5,6,,,,5.5,5.5
6,3,1,234,3,6,,,,,6,6
6,3,1,186,5,0,,,,,0,0
6,3,1,192,5,1,,,,,1,1
6,3,1,200,5,1,3,,,,2,1.75
6,3,1,206,5,1,3,4,,,2.666666667,3
6,3,1,214,5,3,6,,,,4.5,5
6,3,1,220,5,4,5,6,,,5,5.5
6,3,1,227,5,5,6,,,,5.5,5.75
6,3,1,234,5,6,,,,,6,6
6,3,3,186,1,0,,,,,0,0
6,3,3,192,1,1,,,,,1,1
6,3,3,200,1,1,,,,,1,1
6,3,3,206,1,1,3,,,,2,1.5
6,3,3,214,1,1,3,4,,,2.666666667,3
6,3,3,220,1,3,4,5,,,4,4
6,3,3,227,1,3,4,5,,,4,4.5
6,3,3,234,1,5,6,,,,5.5,5.25
6,3,3,241,1,5,6,,,,5.5,5.75
6,3,3,247,1,6,,,,,6,6
6,3,3,200,2,1,,,,,1,1
6,3,3,206,2,1,2,3,,,2,2
6,3,3,214,2,2,3,4,,,3,2.75
6,3,3,220,2,3,4,,,,3.5,3.75
6,3,3,227,2,5,6,,,,5.5,5.5
6,3,3,234,2,5,6,,,,5.5,5.5
6,3,3,241,2,5,6,,,,5.5,5.75
6,3,3,247,2,6,,,,,6,6
6,3,3,186,5,1,,,,,1,1
6,3,3,192,5,1,,,,,1,1
6,3,3,200,5,1,2,,,,1.5,1.25
6,3,3,206,5,1,3,,,,2,2.25
