year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall,
7,1,1,219,1,1,,,,1,1,
7,1,1,225,1,1,2,,,1.5,1.25,
7,1,1,232,1,1,2,,,1.5,1.5,
7,1,1,239,1,2,,,,2,2,
7,1,1,246,1,3,4,,,3.5,3.75,
7,1,1,253,1,4,5,,,4.5,4.25,
7,1,1,225,2,1,,,,1,1,
7,1,1,232,2,2,,,,2,2,
7,1,1,239,2,3,,,,3,3,
7,1,1,246,2,4,5,,,4.5,4.5,
7,1,1,253,2,4,5,,,4.5,4.5,
7,1,1,176,3,1,,,,1,1,
7,1,1,219,3,1,,,,1,1,
7,1,1,225,3,1,2,,,1.5,1.25,
7,1,1,232,3,2,,,,2,2,
7,1,1,239,3,2,,,,2,2,
7,1,1,246,3,3,4,,,3.5,3.75,
7,1,1,253,3,4,,,,4,4,
7,1,1,219,4,1,,,,1,1,
7,1,1,225,4,1,2,,,1.5,1.5,
7,1,1,232,4,2,,,,2,2,
7,1,1,239,4,2,3,,,2.5,2.25,
7,1,1,246,4,3,4,,,3.5,3.25,
7,1,1,253,4,4,,,,4,4,
7,1,1,232,5,1,,,,1,1,
7,1,1,239,5,2,,,,2,2,
7,1,1,246,5,3,4,,,3.5,3.25,
7,1,1,253,5,4,,,,4,4,
7,1,2,232,1,1,,,,1,1,
7,1,2,239,1,2,,,,2,2,
7,1,2,246,1,3,4,,,3.5,3.5,
7,1,2,253,1,4,5,,,4.5,4.25,
7,1,2,232,2,1,,,,1,1,
7,1,2,239,2,2,3,,,2.5,2.75,
7,1,2,246,2,4,,,,4,4,
7,1,2,253,2,3,4,,,3.5,3.5,
7,1,2,232,3,1,,,,1,1,
7,1,2,239,3,2,,,,2,2,
7,1,2,246,3,3,4,,,3.5,3.25,
7,1,2,253,3,4,5,,,4.5,4.25,
7,1,2,232,4,1,,,,1,1,
7,1,2,239,4,2,,,,2,2,
7,1,2,246,4,3,4,,,3.5,3.75,
7,1,2,253,4,4,5,,,4.5,4.25,
7,1,2,232,5,1,,,,1,1,
7,1,2,239,5,2,3,,,2.5,2.75,
7,1,2,246,5,3,4,,,3.5,3.75,
7,1,2,253,5,4,5,,,4.5,4.25,
7,1,3,219,1,1,,,,1,1,
7,1,3,225,1,1,2,,,1.5,1.25,
7,1,3,232,1,2,,,,2,2,
7,1,3,239,1,3,4,,,3.5,3.25,
7,1,3,246,1,4,5,,,4.5,4.25,
7,1,3,253,1,4,5,,,4.5,4.75,
7,1,3,232,2,1,,,,1,1,
7,1,3,239,2,3,,,,3,3,
7,1,3,246,2,3,4,,,3.5,3.75,
7,1,3,253,2,4,5,,,4.5,4.25,
7,1,3,232,3,1,,,,1,1,
7,1,3,239,3,2,3,,,2.5,2.75,
7,1,3,246,3,3,4,5,,4,4.25,
7,1,3,253,3,4,5,,,4.5,4.5,
7,1,3,219,4,1,,,,1,1,
7,1,3,225,4,1,2,,,1.5,1.25,
7,1,3,232,4,2,,,,2,2,
7,1,3,239,4,2,3,,,2.5,2.75,
7,1,3,246,4,3,4,5,6,4.5,4.25,
7,1,3,253,4,4,5,,,4.5,4.5,
7,1,3,219,5,1,,,,1,1,
7,1,3,225,5,1,2,,,1.5,1.25,
7,1,3,232,5,2,,,,2,2,
7,1,3,239,5,3,4,,,3.5,3.25,
7,1,3,246,5,3,4,5,,4,4.25,
7,1,3,253,5,4,5,,,4.5,4.25,
7,1,4,232,1,1,,,,1,1,
7,1,4,239,1,3,,,,3,3,
7,1,4,246,1,3,4,,,3.5,3.75,
7,1,4,253,1,4,5,,,4.5,4.5,
7,1,4,232,2,1,,,,1,1,
7,1,4,239,2,2,3,,,2.5,2.25,
7,1,4,246,2,3,4,5,,4,4,
7,1,4,253,2,4,5,,,4.5,4.25,
7,1,4,225,3,1,,,,1,1,
7,1,4,232,3,2,,,,2,2,
7,1,4,239,3,3,,,,3,3,
7,1,4,246,3,3,4,5,,4,4.25,
7,1,4,253,3,4,5,,,4.5,4.5,
7,1,4,232,4,1,,,,1,1,
7,1,4,239,4,3,4,,,3.5,3.5,
7,1,4,246,4,4,5,,,4.5,4.25,
7,1,4,253,4,5,,,,5,5,
7,1,4,232,5,1,,,,1,1,
7,1,4,239,5,2,3,,,2.5,2.75,
7,1,4,246,5,3,4,5,,4,4.25,
7,1,4,253,5,4,5,,,4.5,4.5,
7,1,5,225,1,1,,,,1,1,
7,1,5,232,1,1,2,,,1.5,1.75,
7,1,5,239,1,3,,,,3,3,
7,1,5,246,1,3,4,,,3.5,3.5,
7,1,5,253,1,4,,,,4,4,
7,1,5,225,2,1,,,,1,1,
7,1,5,232,2,2,,,,2,2,
7,1,5,239,2,3,,,,3,3,
7,1,5,246,2,3,4,5,,4,4.25,
7,1,5,253,2,4,5,,,4.5,4.25,
7,1,5,225,3,1,,,,1,1,
7,1,5,232,3,2,,,,2,2,
7,1,5,239,3,3,,,,3,3,
7,1,5,246,3,3,4,,,3.5,3.25,
7,1,5,253,3,4,5,,,4.5,4.25,
7,1,5,225,4,1,,,,1,1,
7,1,5,232,4,2,,,,2,2,
7,1,5,239,4,3,4,,,3.5,3.25,
7,1,5,246,4,3,4,5,,4,3.75,
7,1,5,253,4,4,5,,,4.5,4.25,
7,1,5,219,5,1,,,,1,1,
7,1,5,225,5,1,2,,,1.5,1.75,
7,1,5,232,5,2,,,,2,2,
7,1,5,239,5,3,,,,3,3,
7,1,5,246,5,3,4,,,3.5,3.25,
7,1,5,253,5,4,,,,4,4,
7,1,6,225,1,1,,,,1,1,
7,1,6,232,1,2,,,,2,2,
7,1,6,239,1,3,,,,3,3,
7,1,6,246,1,3,4,,,3.5,3.25,
7,1,6,253,1,4,5,,,4.5,4.25,
7,1,6,219,2,1,,,,1,1,
7,1,6,225,2,1,2,,,1.5,1.25,
7,1,6,232,2,2,,,,2,2,
7,1,6,239,2,3,,,,3,3,
7,1,6,246,2,3,4,,,3.5,3.25,
7,1,6,253,2,4,,,,4,4,
7,1,6,232,3,1,,,,1,1,
7,1,6,239,3,2,3,,,2.5,2.25,
7,1,6,246,3,3,4,,,3.5,3.25,
7,1,6,253,3,4,5,,,4.5,4.25,
7,1,6,225,4,1,,,,1,1,
7,1,6,232,4,1,2,,,1.5,1.75,
7,1,6,239,4,3,,,,3,3,
7,1,6,246,4,3,4,,,3.5,3.25,
7,1,6,253,4,4,,,,4,4,
7,1,6,225,5,1,,,,1,1,
7,1,6,232,5,1,2,,,1.5,1.25,
7,1,6,239,5,3,4,,,3.5,3.25,
7,1,6,246,5,3,4,,,3.5,3.75,
7,1,6,253,5,4,5,,,4.5,4.5,
7,1,7,225,1,1,,,,1,1,
7,1,7,232,1,1,2,,,1.5,1.25,
7,1,7,239,1,3,4,,,3.5,3.25,
7,1,7,246,1,3,4,5,,4,4,
7,1,7,253,1,4,5,,,4.5,4.5,
7,1,7,225,2,1,,,,1,1,
7,1,7,232,2,1,2,,,1.5,1.5,
7,1,7,239,2,3,,,,3,3,
7,1,7,246,2,3,4,,,3.5,3.25,
7,1,7,253,2,4,,,,4,4,
7,1,7,225,3,1,,,,1,1,
7,1,7,232,3,2,,,,2,2,
7,1,7,239,3,3,,,,3,3,
7,1,7,246,3,3,4,,,3.5,3.25,
7,1,7,253,3,4,5,,,4.5,4.5,
7,1,7,225,4,1,,,,1,1,
7,1,7,232,4,2,,,,2,2,
7,1,7,239,4,3,,,,3,3,
7,1,7,246,4,3,4,,,3.5,3.5,
7,1,7,253,4,4,,,,4,4,
7,1,7,225,5,1,,,,1,1,
7,1,7,232,5,2,,,,2,2,
7,1,7,239,5,3,,,,3,3,
7,1,7,246,5,3,4,,,3.5,3.25,
7,1,7,253,5,4,,,,4,4,
7,1,8,225,1,1,,,,1,1,
7,1,8,232,1,2,,,,2,2,
7,1,8,239,1,3,,,,3,3,
7,1,8,246,1,3,4,,,3.5,3.75,
7,1,8,253,1,4,5,,,4.5,4.5,
7,1,8,232,2,1,,,,1,1,
7,1,8,239,2,2,,,,2,2,
7,1,8,246,2,3,4,,,3.5,3.5,
7,1,8,253,2,4,,,,4,4,
7,1,8,232,3,1,,,,1,1,
7,1,8,239,3,3,,,,3,3,
7,1,8,246,3,3,4,,,3.5,3.25,
7,1,8,253,3,4,,,,4,4,
7,1,8,225,4,1,,,,1,1,
7,1,8,232,4,1,2,,,1.5,1.25,
7,1,8,239,4,3,,,,3,3,
7,1,8,246,4,3,4,,,3.5,3.5,
7,1,8,253,4,4,,,,4,4,
7,1,8,225,5,1,,,,1,1,
7,1,8,232,5,2,,,,2,2,
7,1,8,239,5,2,3,,,2.5,2.75,
7,1,8,246,5,3,4,,,3.5,3.75,
7,1,8,253,5,4,,,,4,4,
7,1,9,219,1,1,,,,1,1,
7,1,9,225,1,1,2,,,1.5,1.25,
7,1,9,232,1,1,2,,,1.5,1.5,
7,1,9,239,1,2,3,,,2.5,2.75,
7,1,9,246,1,3,4,5,,4,4.25,
7,1,9,253,1,4,5,,,4.5,4.25,
7,1,9,232,2,1,,,,1,1,
7,1,9,239,2,2,3,,,2.5,2.5,
7,1,9,246,2,3,4,,,3.5,3.25,
7,1,9,253,2,4,,,,4,4,
7,1,9,225,3,1,,,,1,1,
7,1,9,232,3,2,,,,2,2,
7,1,9,239,3,2,3,,,2.5,2.25,
7,1,9,246,3,3,4,5,,4,3.25,
7,1,9,253,3,4,,,,4,4,
7,1,9,225,4,1,,,,1,1,
7,1,9,232,4,1,2,,,1.5,1.5,
7,1,9,239,4,3,,,,3,3,
7,1,9,246,4,3,4, ,,3.5,3.25,
7,1,9,253,4,4,5,,,4.5,4.25,
7,1,9,219,5,1,,,,1,1,
7,1,9,225,5,1,2,,,1.5,1.25,
7,1,9,232,5,1,2,,,1.5,1.25,
7,1,9,239,5,3,,,,3,3,
7,1,9,246,5,3,4,,,3.5,3.75,
7,1,9,253,5,4,5,,,4.5,4.5,
7,1,10,225,1,1,,,,1,1,
7,1,10,232,1,1,2,,,1.5,1.25,
7,1,10,239,1,3,4,,,3.5,3.75,
7,1,10,246,1,4,5,,,4.5,4.25,
7,1,10,253,1,5,,,,5,5,
7,1,10,225,2,1,,,,1,1,
7,1,10,232,2,1,2,,,1.5,1.75,
7,1,10,239,2,3,2,,,2.5,2.75,
7,1,10,246,2,3,4,,,3.5,3.5,
7,1,10,253,2,4,5,,,4.5,4.25,
7,1,10,225,3,1,,,,1,1,
7,1,10,232,3,1,2,,,1.5,1.25,
7,1,10,239,3,1,3,,,2,2.75,
7,1,10,246,3,4,5,,,4.5,4.25,
7,1,10,253,3,5,,,,5,5,
7,1,10,219,4,1,,,,1,1,
7,1,10,225,4,1,2,,,1.5,1.25,
7,1,10,232,4,2,,,,2,2,
7,1,10,239,4,3,,,,3,3,
7,1,10,246,4,3,4,5,,4,4,
7,1,10,253,4,4,5,,,4.5,4.25,
7,1,10,225,5,1,,,,1,1,
7,1,10,232,5,1,2,,,1.5,1.5,
7,1,10,239,5,3,,,,3,3,
7,1,10,246,5,3,4,,,3.5,3.75,
7,1,10,253,5,4,5,,,4.5,4.5,
7,2,1,232,1,1,,,,1,1,
7,2,1,239,1,1,2,,,1.5,1.25,
7,2,1,246,1,3,,,,3,3,
7,2,1,253,1,4,,,,4,4,
7,2,1,232,2,1,,,,1,1,
7,2,1,239,2,1,2,,,1.5,1.25,
7,2,1,246,2,3,,,,3,3,
7,2,1,253,2,4,,,,4,4,
