year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall,
7,2,1,239,3,1,,,,1,1,
7,2,1,246,3,1,2,3,,2,2.25,
7,2,1,253,3,3,4,,,3.5,3.75,
7,2,1,232,4,1,,,,1,1,
7,2,1,239,4,1,2,,,1.5,1.5,
7,2,1,246,4,3,,,,3,3,
7,2,1,253,4,4,,,,4,4,
7,2,1,232,5,1,,,,1,1,
7,2,1,239,5,1,2,,,1.5,1.5,
7,2,1,246,5,3,,,,3,3,
7,2,1,253,5,4,,,,4,4,
7,2,2,232,1,1,,,,1,1,
7,2,2,239,1,1,2,,,1.5,1.75,
7,2,2,246,1,1,3,4,,2.666666667,3.25,
7,2,2,253,1,1,4,,,2.5,3.5,
7,2,2,232,2,1,,,,1,1,
7,2,2,239,2,1,2,,,1.5,1.75,
7,2,2,246,2,3,4,,,3.5,3.25,
7,2,2,253,2,4,,,,4,4,
7,2,2,225,3,1,,,,1,1,
7,2,2,232,3,1,2,,,1.5,1.5,
7,2,2,239,3,2,,,,2,2,
7,2,2,246,3,3,4,,,3.5,3.25,
7,2,2,253,3,4,5,,,4.5,4.5,
7,2,2,225,4,1,,,,1,1,
7,2,2,232,4,1,2,,,1.5,1.25,
7,2,2,239,4,2,,,,2,2,
7,2,2,246,4,3,4,,,3.5,3.25,
7,2,2,253,4,4,5,,,4.5,4.5,
7,2,2,225,5,1,,,,1,1,
7,2,2,232,5,1,2,,,1.5,1.25,
7,2,2,239,5,2,,,,2,2,
7,2,2,246,5,3,4,,,3.5,3.25,
7,2,2,253,5,4,5,,,4.5,4.5,
7,2,3,232,1,1,,,,1,1,
7,2,3,239,1,2,,,,2,2,
7,2,3,246,1,3,,,,3,3,
7,2,3,253,1,3,4,,,3.5,3.75,
7,2,3,232,2,1,,,,1,1,
7,2,3,239,2,1,2,,,1.5,1.75,
7,2,3,246,2,2,3,,,2.5,2.25,
7,2,3,253,2,4,,,,4,4,
7,2,3,232,3,1,,,,1,1,
7,2,3,239,3,1,2,,,1.5,1.25,
7,2,3,246,3,3,,,,3,3,
7,2,3,253,3,4,,,,4,4,
7,2,3,232,4,1,,,,1,1,
7,2,3,239,4,1,2,,,1.5,1.5,
7,2,3,246,4,3,,,,3,3,
7,2,3,253,4,3,4,,,3.5,3.5,
7,2,3,232,5,1,,,,1,1,
7,2,3,239,5,1,2,,,1.5,1.25,
7,2,3,246,5,3,,,,3,3,
7,2,3,253,5,4,,,,4,4,
7,2,4,232,1,1,,,,1,1,
7,2,4,239,1,1,2,,,1.5,1.25,
7,2,4,246,1,2,3,,,2.5,2.25,
7,2,4,253,1,3,4,,,3.5,3.25,
7,2,4,232,2,1,,,,1,1,
7,2,4,239,2,1,2,,,1.5,1.25,
7,2,4,246,2,2,,,,2,2,
7,2,4,253,2,3,4,,,3.5,3.5,
7,2,4,232,3,1,,,,1,1,
7,2,4,239,3,1,2,,,1.5,1.75,
7,2,4,246,3,2,3,,,2.5,2.25,
7,2,4,253,3,3,4,5,,4,3.75,
7,2,4,239,4,1,,,,1,1,
7,2,4,246,4,1,2,,,1.5,1.75,
7,2,4,253,4,3,,,,3,3,
7,2,4,232,5,1,,,,1,1,
7,2,4,239,5,2,,,,2,2,
7,2,4,246,5,2,3,,,2.5,2.25,
7,2,4,253,5,3,4,,,3.5,3.25,
7,2,5,225,1,1,,,,1,1,
7,2,5,232,1,1,2,,,1.5,1.25,
7,2,5,239,1,2,,,,2,2,
7,2,5,246,1,3,4,,,3.5,3.25,
7,2,5,253,1,3,4,,,3.5,3.75,
7,2,5,225,2,1,,,,1,1,
7,2,5,232,2,1,2,,,1.5,1.75,
7,2,5,239,2,2,,,,2,2,
7,2,5,246,2,3,4,,,3.5,3.25,
7,2,5,253,2,4,5,,,4.5,4.25,
7,2,5,232,3,1,,,,1,1,
7,2,5,239,3,2,,,,2,2,
7,2,5,246,3,3,4,,,3.5,3.25,
7,2,5,253,3,4,5,,,4.5,4.25,
7,2,5,225,4,1,,,,1,1,
7,2,5,232,4,1,2,,,1.5,1.25,
7,2,5,239,4,2,,,,2,2,
7,2,5,246,4,2,3,4,,3,3.25,
7,2,5,253,4,4,5,,,4.5,4.25,
7,2,5,232,5,1,,,,1,1,
7,2,5,239,5,2,,,,2,2,
7,2,5,246,5,3,,,,3,3,
7,2,5,253,5,3,4,5,,4,3.75,
7,2,6,232,1,1,,,,1,1,
7,2,6,239,1,1,2,,,1.5,1.75,
7,2,6,246,1,3,,,,3,3,
7,2,6,253,1,4,,,,4,4,
7,2,6,232,2,1,,,,1,1,
7,2,6,239,2,1,2,,,1.5,1.25,
7,2,6,246,2,2,,,,2,2,
7,2,6,253,2,3,4,5,,4,4,
7,2,6,225,3,1,,,,1,1,
7,2,6,232,3,1,2,,,1.5,1.75,
7,2,6,239,3,2,,,,2,2,
7,2,6,246,3,3,4,,,3.5,3.25,
7,2,6,253,3,4,,,,4,4,
7,2,6,225,4,1,,,,1,1,
7,2,6,232,4,1,2,,,1.5,1.25,
7,2,6,239,4,1,2,,,1.5,1.25,
7,2,6,246,4,3,4,,,3.5,3.25,
7,2,6,253,4,3,4,,,3.5,3.75,
7,2,6,225,5,1,,,,1,1,
7,2,6,232,5,1,2,,,1.5,1.5,
7,2,6,239,5,2,,,,2,2,
7,2,6,246,5,3,4,,,3.5,3.25,
7,2,6,253,5,4,,,,4,4,
7,2,7,232,1,1,,,,1,1,
7,2,7,239,1,1,2,,,1.5,1.5,
7,2,7,246,1,3,,,,3,3,
7,2,7,253,1,3,4,,,3.5,3.75,
7,2,7,232,2,1,,,,1,1,
7,2,7,239,2,1,2,,,1.5,1.5,
7,2,7,246,2,3,,,,3,3,
7,2,7,253,2,3,4,,,3.5,3.5,
7,2,7,232,3,1,,,,1,1,
7,2,7,239,3,2,,,,2,1,
7,2,7,246,3,1,2,3,,2,2,
7,2,7,253,3,3,4,,,3.5,3.5,
7,2,7,232,4,1,,,,1,1,
7,2,7,239,4,1,2,,,1.5,1.75,
7,2,7,246,4,2,3,,,2.5,2.5,
7,2,7,253,4,3,4,5,,4,4,
7,2,7,232,5,1,,,,1,1,
7,2,7,239,5,1,2,,,1.5,1.25,
7,2,8,246,1,1,,,,1,1,
7,2,8,253,1,5,,,,5,5,
7,2,8,232,2,1,,,,1,1,
7,2,8,239,2,2,,,,2,2,
7,2,8,246,2,3,4,,,3.5,3.25,
7,2,8,253,2,3,4,,,3.5,4.25,
7,2,8,232,3,1,,,,1,1,
7,2,8,239,3,1,2,,,1.5,1.75,
7,2,8,246,3,3,,,,3,3,
7,2,8,253,3,3,4,,,3.5,4.25,
7,2,8,225,4,1,,,,1,1,
7,2,8,232,4,1,2,,,1.5,1.25,
7,2,8,239,4,2,,,,2,2,
7,2,8,246,4,3,4,,,3.5,3.25,
7,2,8,253,4,3,4,,,3.5,4.25,
7,2,9,232,1,1,,,,1,1,
7,2,9,239,1,2,,,,2,2,
7,2,9,246,1,3,,,,3,3,
7,2,9,253,1,4,,,,4,4,
7,2,9,232,2,1,,,,1,1,
7,2,9,239,2,2,,,,2,2,
7,2,9,246,2,3,4,,,3.5,3.25,
7,2,9,253,2,4,,,,4,4,
7,2,9,232,3,1,,,,1,1,
7,2,9,239,3,2,,,,2,2,
7,2,9,246,3,3,4,,,3.5,3.5,
7,2,9,253,3,4,5,,,4.5,4.25,
7,2,9,232,4,1,,,,1,1,
7,2,9,239,4,2,,,,2,2,
7,2,9,246,4,3,4,,,3.5,3.25,
7,2,9,253,4,4,,,,4,4,
7,2,9,232,5,1,,,,1,1,
7,2,9,239,5,2,,,,2,2,
7,2,9,246,5,3,4,,,3.5,3.5,
7,2,9,253,5,4,,,,4,4,
7,2,10,232,1,1,,,,1,1,
7,2,10,239,1,2,,,,2,2,
7,2,10,246,1,3,,,,3,3,
7,2,10,253,1,4,5,,,4.5,4.25,
7,2,10,232,2,1,,,,1,1,
7,2,10,239,2,2,,,,2,2,
7,2,10,246,2,3,4,,,3.5,3.5,
7,2,10,253,2,4,,,,4,4,
7,2,10,232,3,1,,,,1,1,
7,2,10,239,3,2,,,,2,2,
7,2,10,246,3,3,,,,3,3,
7,2,10,253,3,4,,,,4,4,
7,2,10,232,4,1,,,,1,1,
7,2,10,239,4,2,,,,2,2,
7,2,10,246,4,3,4,,,3.5,3.25,
7,2,10,253,4,4,,,,4,4,
7,2,10,232,5,1,,,,1,1,
7,2,10,239,5,1,2,,,1.5,1.25,
7,2,10,246,5,3,,,,3,3,
7,2,10,253,5,4,5,,,4.5,4.25,
7,3,1,227,1,1,,,,1,1,
7,3,1,233,1,2,,,,2,2,
7,3,1,240,1,3,,,,3,3,
7,3,1,247,1,4,,,,4,4,
7,3,1,254,1,4,,,,4,4,
7,3,1,233,2,1,,,,1,1,
7,3,1,240,2,2,,,,2,2,
7,3,1,247,2,2,3,,,2.5,2.75,
7,3,1,254,2,3,4,,,3.5,3.75,
7,3,1,227,3,1,,,,1,1,
7,3,1,233,3,1,2,,,1.5,1.25,
7,3,1,240,3,3,,,,3,3,
7,3,1,247,3,4,,,,4,4,
7,3,1,254,3,4,,,,4,4,
7,3,1,227,4,1,,,,1,1,
7,3,1,233,4,1,2,,,1.5,1.5,
7,3,1,240,4,3,,,,3,3,
7,3,1,247,4,4,,,,4,4,
7,3,1,254,4,4,,,,4,4,
7,3,1,227,5,1,,,,1,1,
7,3,1,233,5,2,,,,2,2,
7,3,1,240,5,3,,,,3,3,
7,3,1,247,5,4,,,,4,4,
7,3,1,254,5,4,,,,4,4,
7,3,2,233,1,1,,,,1,1,
7,3,2,240,1,1,2,,,1.5,1.5,
7,3,2,247,1,3,4,,,3.5,3.25,
7,3,2,254,1,4,,,,4,4,
7,3,2,233,2,1,,,,1,1,
7,3,2,240,2,2,,,,2,2,
7,3,2,247,2,3,,,,3,3,
7,3,2,254,2,3,,,,3,3,
7,3,2,233,3,1,,,,1,1,
7,3,2,240,3,1,2,,,1.5,1.75,
7,3,2,247,3,3,4,,,3.5,3.25,
7,3,2,254,3,3,4,,,3.5,3.5,
7,3,2,233,4,1,,,,1,1,
7,3,2,240,4,2,,,,2,2,
7,3,2,247,4,3,4,,,3.5,3.25,
7,3,2,254,4,4,,,,4,4,
7,3,2,240,5,1,,,,1,1,
7,3,2,247,5,2,3,,,2.5,2.5,
7,3,2,254,5,3,4,,,3.5,3.25,
7,3,3,227,1,1,,,,1,1,
7,3,3,233,1,2,,,,2,2,
7,3,3,240,1,2,,,,2,2,
7,3,3,247,1,3,4,,,3.5,3.5,
7,3,3,254,1,4,,,,4,4,
7,3,3,227,2,1,,,,1,1,
7,3,3,233,2,1,2,,,1.5,1.25,
7,3,3,240,2,2,,,,2,2,
7,3,3,247,2,3,4,,,3.5,3.25,
7,3,3,254,2,3,4,,,3.5,3.75,
7,3,3,227,3,1,,,,1,1,
7,3,3,233,3,1,2,,,1.5,1.25,
7,3,3,240,3,2,,,,2,2,
7,3,3,247,3,3,4,,,3.5,3.75,
7,3,3,254,3,4,,,,4,4,
7,3,3,233,4,1,,,,1,1,
7,3,3,240,4,2,,,,2,2,
7,3,3,247,4,3,4,,,3.5,3.25,
7,3,3,254,4,4,,,,4,4,
7,3,3,233,5,1,,,,1,1,
7,3,3,240,5,2,3,,,2.5,2.25,
7,3,3,247,5,3,4,,,3.5,3.25,
7,3,3,254,5,4,,,,4,4,
7,3,4,233,1,1,,,,1,1,
7,3,4,240,1,2,,,,2,2,
7,3,4,247,1,3,4,,,3.5,3.5,
7,3,4,254,1,4,,,,4,4,
7,3,4,233,2,1,,,,1,1,
7,3,4,240,2,2,,,,2,2,
7,3,4,247,2,3,,,,3,3,
7,3,4,254,2,4,,,,4,4,
7,3,4,233,3,1,,,,1,1,
7,3,4,240,3,2,,,,2,2,
7,3,4,247,3,3,4,,,3.5,3.25,
7,3,4,254,3,4,,,,4,4,
7,3,4,233,4,1,,,,1,1,
7,3,4,240,4,2,,,,2,2,
7,3,4,247,4,3,4,,,3.5,3.5,
7,3,4,254,4,4,,,,4,4,
7,3,4,227,5,1,,,,1,1,
7,3,4,233,5,1,2,,,1.5,1.5,
7,3,4,240,5,2,,,,2,2,
7,3,4,247,5,3,4,,,3.5,3.5,
7,3,4,254,5,4,,,,4,4,
7,3,5,233,1,1,,,,1,1,
7,3,5,240,1,1,2,,,1.5,1.75,
7,3,5,247,1,2,3,,,2.5,2.25,
7,3,5,254,1,4,,,,4,4,
7,3,5,233,2,1,,,,1,1,
7,3,5,240,2,2,,,,2,2,
7,3,5,247,2,3,4,,,3.5,3.5,
7,3,5,254,2,4,,,,4,4,
7,3,5,233,3,1,,,,1,1,
7,3,5,240,3,1,2,,,1.5,1.25,
7,3,5,247,3,2,3,,,2.5,2.5,
7,3,5,254,3,3,4,,,3.5,3.25,
7,3,5,233,4,1,,,,1,1,
7,3,5,240,4,2,,,,2,2,
7,3,5,247,4,3,4,,,3.5,3.25,
7,3,5,254,4,4,,,,4,4,
7,3,5,227,5,1,,,,1,1,
7,3,5,233,5,1,2,,,1.5,1.25,
7,3,5,240,5,2,,,,2,2,
7,3,5,247,5,3,4,,,3.5,3.25,
7,3,5,254,5,4,,,,4,4,
7,3,6,227,1,1,,,,1,1,
7,3,6,233,1,2,,,,2,2,
7,3,6,240,1,2,,,,2,2,
7,3,6,247,1,3,4,,,3.5,3.5,
7,3,6,254,1,4,,,,4,4,
7,3,6,233,2,1,,,,1,1,
7,3,6,240,2,2,3,,,2.5,2.25,
7,3,6,247,2,3,4,,,3.5,3.5,
7,3,6,254,2,4,,,,4,4,
7,3,6,233,3,1,,,,1,1,
7,3,6,240,3,2,,,,2,2,
7,3,6,247,3,3,4,,,3.5,3.25,
7,3,6,254,3,4,,,,4,4,
7,3,6,227,4,1,,,,1,1,
7,3,6,233,4,1,2,,,1.5,1.25,
7,3,6,240,4,2,,,,2,2,
7,3,6,247,4,3,4,,,3.5,3.5,
7,3,6,254,4,4,,,,4,4,
7,3,6,233,5,1,,,,1,1,
7,3,6,240,5,1,2,,,1.5,1.75,
7,3,6,247,5,3,,,,3,3,
7,3,6,254,5,4,,,,4,4,
7,3,7,233,1,1,,,,1,1,
7,3,7,240,1,1,2,,,1.5,1.25,
7,3,7,247,1,2,3,,,2.5,2.75,
7,3,7,254,1,4,,,,4,4,
7,3,7,233,2,1,,,,1,1,
7,3,7,240,2,2,3,,,2.5,2.25,
7,3,7,247,2,3,4,,,3.5,3.75,
7,3,7,254,2,4,,,,4,4,
7,3,7,227,3,1,,,,1,1,
7,3,7,233,3,1,2,,,1.5,1.75,
7,3,7,240,3,2,3,,,2.5,2.75,
7,3,7,247,3,3,4,,,3.5,3.75,
7,3,7,254,3,4,,,,4,4,
7,3,7,233,4,1,,,,1,1,
7,3,7,240,4,2,3,,,2.5,2.5,
7,3,7,247,4,3,4,,,3.5,3.75,
7,3,7,254,4,4,,,,4,4,
7,3,7,233,5,1,,,,1,1,
7,3,7,240,5,1,2,3,,2,2.25,
7,3,7,247,5,3,4,,,3.5,3.5,
7,3,7,254,5,4,,,,4,4,
7,3,8,233,1,1,,,,1,1,
7,3,8,240,1,2,,,,2,2,
7,3,8,247,1,3,4,,,3.5,3.25,
7,3,8,254,1,4,,,,4,4,
7,3,8,233,2,1,,,,1,1,
7,3,8,240,2,1,2,,,1.5,1.25,
7,3,8,247,2,2,3,,,2.5,2.75,
7,3,8,254,2,3,4,,,3.5,3.5,
7,3,8,227,3,1,,,,1,1,
7,3,8,233,3,1,2,,,1.5,1.75,
7,3,8,240,3,3,,,,3,3,
7,3,8,247,3,4,,,,4,4,
7,3,8,254,3,4,,,,4,4,
7,3,8,233,4,1,,,,1,1,
7,3,8,240,4,1,2,,,1.5,1.75,
7,3,8,247,4,2,3,,,2.5,2.75,
7,3,8,254,4,4,,,,4,4,
7,3,8,233,5,1,,,,1,1,
7,3,8,240,5,2,,,,2,2,
7,3,8,247,5,3,,,,3,3,
7,3,8,254,5,3,4,,,3.5,3.5,
7,3,9,227,1,1,,,,1,1,
7,3,9,233,1,1,2,,,1.5,1.25,
7,3,9,240,1,2,,,,2,2,
7,3,9,247,1,3,4,,,3.5,3.5,
7,3,9,254,1,4,,,,4,4,
7,3,9,227,2,1,,,,1,1,
7,3,9,233,2,1,2,,,1.5,1.25,
7,3,9,240,2,2,3,,,2.5,2.5,
7,3,9,247,2,3,4,,,3.5,3.75,
