year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
8,1,1,173,1,0,,,,,0,0,
8,1,1,181,1,1,,,,,1,1,
8,1,1,189,1,1,2,,,,1.5,1.25,
8,1,1,195,1,1,2,,,,1.5,1.75,
8,1,1,203,1,2,,,,,2,2,
8,1,1,208,1,2,3,,,,2.5,2.75,
8,1,1,217,1,2,3,4,,,3,3.25,
8,1,1,222,1,4,5,6,,,5,5.25,
8,1,1,229,1,6,,,,,6,6,
8,1,1,173,3,0,,,,,0,0,
8,1,1,181,3,1,,,,,1,1,
8,1,1,189,3,1,,,,,1,1,
8,1,1,195,3,1,,,,,1,1,
8,1,1,203,3,2,,,,,2,2,
8,1,1,208,3,2,,,,,2,2,
8,1,1,217,3,3,,,,,3,3,
8,1,1,222,3,1,2,3,4,5,3,4.25,
8,1,1,229,3,6,,,,,6,6,
8,1,1,173,4,0,,,,,0,0,
8,1,1,181,4,1,,,,,1,1,
8,1,1,189,4,1,,,,,1,1,
8,1,1,195,4,1,,,,,1,1,
8,1,1,203,4,3,,,,,3,3,
8,1,1,208,4,3,,,,,3,3,
8,1,1,217,4,4,,,,,4,4,
8,1,1,222,4,5,,,,,5,5,
8,1,1,229,4,6,,,,,6,6,
8,1,2,173,2,0,,,,,0,0,
8,1,2,181,2,1,,,,,1,1,
8,1,2,189,2,1,,,,,1,1,
8,1,2,195,2,2,,,,,2,2,
8,1,2,203,2,2,,,,,2,2,
8,1,2,208,2,2,,,,,2,2,
8,1,2,217,2,3,,,,,3,3,
8,1,2,222,2,5,,,,,5,5,
8,1,2,229,2,6,,,,,6,6,
8,1,2,173,3,0,,,,,0,0,
8,1,2,181,3,1,,,,,1,1,
8,1,2,189,3,1,2,,,,1.5,1.25,
8,1,2,195,3,1,2,,,,1.5,1.25,
8,1,2,203,3,2,3,,,,2.5,2.25,
8,1,2,208,3,2,3,,,,2.5,2.25,
8,1,2,217,3,3,,,,,3,3,
8,1,2,222,3,5,6,,,,5.5,5.25,
8,1,2,229,3,5,6,,,,5.5,5.75,
8,1,2,243,3,6,,,,,6,6,
8,1,2,173,4,0,,,,,0,0,
8,1,2,181,4,1,,,,,1,1,
8,1,2,189,4,1,,,,,1,1,
8,1,2,195,4,2,,,,,2,2,
8,1,2,203,4,3,,,,,3,3,
8,1,2,208,4,3,,,,,3,3,
8,1,2,217,4,3,,,,,3,3,
8,1,2,222,4,5,6,,,,5.5,5.25,
8,1,2,229,4,5,6,,,,5.5,5.75,
8,1,2,243,4,6,,,,,6,6,
8,1,2,173,5,0,,,,,0,0,
8,1,2,181,5,1,,,,,1,1,
8,1,2,189,5,1,,,,,1,1,
8,1,2,195,5,2,,,,,2,2,
8,1,2,203,5,2,,,,,2,2,
8,1,2,208,5,2,,,,,2,2,
8,1,2,217,5,3,,,,,3,3,
8,1,2,222,5,5,6,,,,5.5,5.5,
8,1,2,229,5,6,,,,,6,6,
8,1,3,173,2,0,,,,,0,0,
8,1,3,181,2,1,,,,,1,1,
8,1,3,189,2,1,,,,,1,1,
8,1,3,195,2,1,,,,,1,1,
8,1,3,203,2,2,3,,,,2.5,2.25,
8,1,3,208,2,1,2,3,,,2,2.25,
8,1,3,217,2,2,3,4,,,3,2.75,
8,1,3,222,2,5,6,,,,5.5,5.25,
8,1,3,229,2,5,6,,,,5.5,5.75,
8,1,3,243,2,6,,,,,6,6,
8,1,3,173,3,0,,,,,0,0,
8,1,3,181,3,1,,,,,1,1,
8,1,3,189,3,1,,,,,1,1,
8,1,3,195,3,1,,,,,1,1,
8,1,3,203,3,1,,,,,1,1,
8,1,3,208,3,1,2,3,,,2,2.25,
8,1,3,217,3,2,3,4,,,3,2.75,
8,1,3,222,3,5,6,,,,5.5,5.5,
8,1,3,229,3,5,6,,,,5.5,5.75,
8,1,3,243,3,5,6,,,,5.5,5.75,
8,1,3,251,3,6,,,,,6,6,
8,1,3,173,4,0,,,,,0,0,
8,1,3,181,4,1,,,,,1,1,
8,1,3,189,4,1,,,,,1,1,
8,1,3,195,4,1,,,,,1,1,
8,1,3,203,4,2,3,,,,2.5,2.25,
8,1,3,208,4,2,3,,,,2.5,2.5,
8,1,3,217,4,3,4,,,,3.5,3.75,
8,1,3,222,4,5,,,,,5,5,
8,1,3,229,4,5,6,,,,5.5,5.75,
8,1,3,243,4,5,6,,,,5.5,5.75,
8,1,3,251,4,6,,,,,6,6,
8,1,3,173,5,0,,,,,0,0,
8,1,3,181,5,1,,,,,1,1,
8,1,3,189,5,1,,,,,1,1,
8,1,3,195,5,1,,,,,1,1,
8,1,3,203,5,1,2,,,,1.5,1.25,
8,1,3,208,5,1,2,,,,1.5,1.75,
8,1,3,217,5,3,4,,,,3.5,3.25,
8,1,3,222,5,5,6,,,,5.5,5.25,
8,1,3,229,5,5,6,,,,5.5,5.75,
8,1,3,243,5,6,,,,,6,6,
8,1,6,208,1,3,4,,,,3.5,3.75,
8,1,6,217,1,4,,,,,4,4,
8,1,6,222,1,5,6,,,,5.5,5.75,
8,1,6,229,1,6,,,,,6,6,
8,1,6,173,4,0,,,,,0,0,
8,1,6,181,4,1,,,,,1,1,
8,1,6,189,4,1,2,,,,1.5,1.25,
8,1,6,195,4,1,2,,,,1.5,1.75,
8,1,6,203,4,1,2,3,,,2,2.5,
8,1,6,208,4,3,4,,,,3.5,3.75,
8,1,6,217,4,4,,,,,4,4,
8,1,6,222,4,5,6,,,,5.5,5.5,
8,1,6,229,4,6,,,,,6,6,
8,1,7,173,1,0,,,,,0,0,
8,1,7,181,1,1,,,,,1,1,
8,1,7,189,1,1,2,,,,1.5,1.25,
8,1,7,195,1,2,,,,,2,2,
8,1,7,203,1,1,2,3,,,2,2.25,
8,1,7,208,1,1,,,,,1,1,
8,1,7,217,1,4,,,,,4,4,
8,1,7,222,1,5,6,,,,5.5,5.75,
8,1,7,229,1,6,,,,,6,6,
8,1,7,181,2,0,,,,,0,0,
8,1,7,189,2,1,,,,,1,1,
8,1,7,195,2,2,,,,,2,2,
8,1,7,203,2,2,3,,,,2.5,2.25,
8,1,7,208,2,2,3,,,,2.5,2.5,
8,1,7,217,2,3,4,,,,3.5,3.5,
8,1,7,222,2,5,6,,,,5.5,5.25,
8,1,7,229,2,6,,,,,6,6,
8,1,7,173,4,0,,,,,0,0,
8,1,7,181,4,1,,,,,1,1,
8,1,7,189,4,1,,,,,1,1,
8,1,7,195,4,2,,,,,2,2,
8,1,7,203,4,2,,,,,2,2,
8,1,7,208,4,2,,,,,2,2,
8,1,7,217,4,4,,,,,4,4,
8,1,7,222,4,5,6,,,,5.5,5.25,
8,1,7,229,4,5,6,,,,5.5,5.75,
8,1,7,243,4,5,6,,,,5.5,5.75,
8,1,7,251,4,6,,,,,6,6,
8,1,7,173,5,0,,,,,0,0,
8,1,7,181,5,1,,,,,1,1,
8,1,7,189,5,1,,,,,1,1,
8,1,7,195,5,1,,,,,1,1,
8,1,7,203,5,2,,,,,2,2,
8,1,7,208,5,2,,,,,2,2,
8,1,7,217,5,3,,,,,3,3,
8,1,7,222,5,5,6,,,,5.5,5.5,
8,1,7,229,5,6,,,,,6,6,
8,1,8,173,1,0,,,,,0,0,
8,1,8,181,1,1,,,,,1,1,
8,1,8,189,1,1,,,,,1,1,
8,1,8,195,1,1,,,,,1,1,
8,1,8,203,1,1,,,,,1,1,
8,1,8,208,1,1,2,,,,1.5,1.5,
8,1,8,217,1,3,,,,,3,3,
8,1,8,222,1,5,6,,,,5.5,5.25,
8,1,8,229,1,6,,,,,6,6,
8,1,8,173,2,0,,,,,0,0,
8,1,8,181,2,1,,,,,1,1,
8,1,8,189,2,1,,,,,1,1,
8,1,8,195,2,1,,,,,1,1,
8,1,8,203,2,1,,,,,1,1,
8,1,8,208,2,1,2,,,,1.5,1.75,
8,1,8,217,2,3,,,,,3,3,
8,1,8,222,2,5,6,,,,5.5,5.75,
8,1,8,229,2,6,,,,,6,6,
8,1,8,173,3,0,,,,,0,0,
8,1,8,181,3,1,,,,,1,1,
8,1,8,189,3,1,,,,,1,1,
8,1,8,195,3,1,,,,,1,1,
8,1,8,203,3,1,,,,,1,1,
8,1,8,208,3,1,2,,,,1.5,1.75,
8,1,8,217,3,3,,,,,3,3,
8,1,8,222,3,5,6,,,,5.5,5.75,
8,1,8,229,3,6,,,,,6,6,
8,1,8,173,4,0,,,,,0,0,
8,1,8,181,4,1,,,,,1,1,
8,1,8,189,4,1,,,,,1,1,
8,1,8,195,4,1,,,,,1,1,
8,1,8,203,4,1,,,,,1,1,
8,1,8,208,4,1,2,,,,1.5,1.75,
8,1,8,217,4,4,,,,,4,4,
8,1,8,222,4,5,6,,,,5.5,5.75,
8,1,8,229,4,6,,,,,6,6,
8,1,8,173,5,0,,,,,0,0,
8,1,8,181,5,1,,,,,1,1,
8,1,8,189,5,1,,,,,1,1,
8,1,8,195,5,1,,,,,1,1,
8,1,8,203,5,1,2,3,,,2,2.25,
8,1,8,208,5,1,2,,,,1.5,1.75,
8,1,8,217,5,2,3,4,,,3,2.75,
8,1,8,222,5,4,5,6,,,5,5.25,
8,1,8,229,5,5,6,,,,5.5,5.75,
8,1,8,243,5,5,6,,,,5.5,5.75,
8,1,8,251,5,6,,,,,6,6,
8,2,1,189,1,0,,,,,0,0,
8,2,1,195,1,1,,,,,1,1,
8,2,1,209,1,1,,,,,1,1,
8,2,1,218,1,1,2,,,,1.5,1.5,
8,2,1,224,1,4,5,,,,4.5,4.5,
8,2,1,231,1,4,5,,,,4.5,4.75,
8,2,1,237,1,4,5,,,,4.5,4.75,
8,2,1,244,1,5,6,,,,5.5,5.25,
8,2,1,251,1,5,6,,,,5.5,5.75,
8,2,1,257,1,6,,,,,6,6,
8,2,1,181,2,0,,,,,0,0,
8,2,1,187,2,1,,,,,1,1,
8,2,1,195,2,1,,,,,1,1,
