year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
7,2,1,141,1,1,2,,,,1.5,1.25
7,2,1,149,1,1,2,,,,1.5,1.5
7,2,1,155,1,1,2,3,,,2,2.5
7,2,1,162,1,3,4,,,,3.5,3.25
7,2,1,169,1,3,4,,,,3.5,3.25
7,2,1,176,1,6,,,,,6,6
7,2,1,141,2,1,2,,,,1.5,1.25
7,2,1,149,2,1,2,,,,1.5,1.5
7,2,1,155,2,1,2,3,,,2,2.5
7,2,1,162,2,3,4,5,,,4,4
7,2,1,169,2,4,5,6,,,5,5.25
7,2,1,176,2,6,,,,,6,6
7,2,1,141,3,1,2,,,,1.5,1.25
7,2,1,149,3,1,2,,,,1.5,1.5
7,2,1,155,3,1,2,3,,,2,2.5
7,2,1,162,3,3,4,,,,3.5,3.25
7,2,1,169,3,6,,,,,6,6
7,2,1,141,4,1,2,3,,,2,2
7,2,1,149,4,1,2,,,,1.5,1.25
7,2,1,155,4,3,,,,,3,3
7,2,1,162,4,3,4,,,,3.5,3.5
7,2,1,169,4,3,4,5,,,4,4
7,2,1,176,4,6,,,,,6,6
7,2,1,141,5,1,2, ,,,1.5,1.25
7,2,1,149,5,1,2,,,,1.5,1.25
7,2,1,155,5,3,,,,,3,3
7,2,1,162,5,3,4,,,,3.5,3.5
7,2,1,169,5,3,4,,,,3.5,3.25
7,2,1,176,5,3,4,5,6,,4.5,4
7,2,1,184,5,6,,,,,6,6
7,2,2,141,1,0, ,,,,0,0
7,2,2,149,1,1,2,3,,,2,2
7,2,2,155,1,3,4,,,,3.5,3.25
7,2,2,162,1,3,,,,,3,3
7,2,2,169,1,6,,,,,6,6
7,2,2,141,2,0,,,,,0,0
7,2,2,149,2,1,2,3,,,2,2
7,2,2,155,2,3,,,,,3,3
7,2,2,162,2,3,4,,,,3.5,3.25
7,2,2,169,2,3,4,6,,,4.333333333,4.25
7,2,2,176,2,6,,,,,6,6
7,2,2,141,3,0,,,,,0,0
7,2,2,149,3,2,3,4,,,3,3
7,2,2,155,3,3,4,,,,3.5,3.25
7,2,2,162,3,6,,,,,6,6
7,2,2,141,4,0,,,,,0,0
7,2,2,149,4,1,2,3,4,5,3,3.5
7,2,2,155,4,3,,,,,3,3
7,2,2,162,4,6,,,,,6,6
7,2,2,141,5,0,,,,,0,0
7,2,2,149,5,1,2,3,,,2,2
7,2,2,155,5,3,4,5,,,4,3.75
7,2,2,162,5,3,4,6,,,4.333333333,5
7,2,2,169,5,6,,,,,6,6
7,2,3,141,1,1,2,,,,1.5,1.25
7,2,3,149,1,1,2,3,,,2,2
7,2,3,155,1,2,3,4,5,,3.5,4
7,2,3,162,1,3,4,5,,,4,3.5
7,2,3,169,1,3,4,5,6,,4.5,4
7,2,3,176,1,6,,,,,6,6
7,2,3,141,2,1,2,,,,1.5,1.25
7,2,3,149,2,1,2,,,,1.5,1.75
7,2,3,155,2,3,,,,,3,3
7,2,3,162,2,3,4,,,,3.5,3.75
7,2,3,169,2,3,4,6,,,4.333333333,4.25
7,2,3,176,2,6,,,,,6,6
7,2,3,141,3,1,2,,,,1.5,1.25
7,2,3,149,3,1,2,3,,,2,2
7,2,3,155,3,3,,,,,3,3
7,2,3,162,3,3,4,,,,3.5,3.25
7,2,3,169,3,6,,,,,6,6
7,2,3,141,4,1,2,,,,1.5,1.5
7,2,3,149,4,1,2,3,,,2,2
7,2,3,155,4,2,3,,,,2.5,2.75
7,2,3,162,4,3,4,,,,3.5,3.25
7,2,3,169,4,3,4,5,6,,4.5,4.5
7,2,3,176,4,6,,,,,6,6
7,2,3,141,5,1,2,,,,1.5,1.25
7,2,3,149,5,1,2,3,,,2,2
7,2,3,155,5,2,3,,,,2.5,2.75
7,2,3,162,5,3,4,5,,,4,4
7,2,3,169,5,3,4,5,,,4,4
7,2,3,176,5,5,,,,,5,5
7,2,3,184,5,6,,,,,6,6
7,2,4,141,1,0,,,,,0,0
7,2,4,149,1,1,,,,,1,1
7,2,4,155,1,1,2,3,,,2,2.5
7,2,4,162,1,3,4,,,,3.5,3.25
7,2,4,169,1,3,5,6,,,4.666666667,4.75
7,2,4,176,1,6,,,,,6,6
7,2,4,141,2,0,,,,,0,0
7,2,4,149,2,1,,,,,1,1
7,2,4,155,2,1,2,3,,,2,2
7,2,4,162,2,3,4,,,,3.5,3.25
7,2,4,169,2,3,4,,,,3.5,3.75
7,2,4,176,2,6,,,,,6,6
7,2,4,141,3,0,,,,,0,0
7,2,4,149,3,1,,,,,1,1
7,2,4,155,3,1,2,3,,,2,2.25
7,2,4,162,3,3,4,5,,,4,4
7,2,4,169,3,4,5,6,,,5,4.75
7,2,4,176,3,6,,,,,6,6
7,2,4,141,4,0,,,,,0,0
7,2,4,149,4,1,,,,,1,1
7,2,4,155,4,1,2,3,,,2,2.25
7,2,4,162,4,3,4,5,,,4,3.75
7,2,4,169,4,3,4,5,,,4,4
7,2,4,176,4,6,,,,,6,6
7,2,4,141,5,0,,,,,0,0
7,2,4,149,5,1,,,,,1,1
7,2,4,155,5,1,2,3,,,2,2
7,2,4,162,5,3,,,,,3,3
7,2,4,169,5,4,5,,,,4.5,4.75
7,2,4,176,5,5,6,,,,5.5,5.5
7,2,4,184,5,6,,,,,6,6
7,2,5,141,1,0,,,,,0,0
7,2,5,149,1,1,2,,,,1.5,1.5
7,2,5,155,1,3,,,,,3,3
7,2,5,162,1,3,4,,,,3.5,3.25
7,2,5,169,1,3,4,,,,3.5,3.25
7,2,5,176,1,6,,,,,6,6
7,2,5,141,2,0,,,,,0,0
7,2,5,149,2,1,2,,,,1.5,1.25
7,2,5,155,2,3,,,,,3,3
7,2,5,162,2,3,,,,,3,3
7,2,5,169,2,3,,,,,3,3
7,2,5,176,2,3,4,,,,3.5,3.25
7,2,5,184,2,6,,,,,6,6
7,2,5,141,3,0,,,,,0,0
7,2,5,149,3,1,2,3,,,2,2
7,2,5,155,3,3,,,,,3,3
7,2,5,162,3,3,,,,,3,3
7,2,5,169,3,3,4,,,,3.5,3.25
7,2,5,176,3,3,,,,,3,3
7,2,5,184,3,6,,,,,6,6
7,2,5,141,4,0,,,,,0,0
7,2,5,149,4,1,2,,,,1.5,1.5
7,2,5,155,4,3,,,,,3,3
7,2,5,162,4,3,,,,,3,3
7,2,5,169,4,3,5,,,,4,3.25
7,2,5,176,4,3,5,,,,4,3.75
7,2,5,184,4,6,,,,,6,6
7,2,5,141,5,0,,,,,0,0
7,2,5,149,5,1,2,,,,1.5,1.5
7,2,5,155,5,2,3,4,,,3,3
7,2,5,162,5,3,4,,,,3.5,3.25
7,2,5,169,5,6,,,,,6,6
7,2,6,141,1,0,,,,,0,0
7,2,6,149,1,1,2,,,,1.5,1.25
7,2,6,155,1,3, , ,,,3,3
7,2,6,162,1,3,4,5,,,4,4
7,2,6,169,1,3,4,5,,,4,4
7,2,6,176,1,3,5,6,,,4.666666667,5.5
7,2,6,184,1,6,,,,,6,6
7,2,6,141,2,0,,,,,0,0
7,2,6,149,2,1,2,,,,1.5,1.25
7,2,6,155,2,3,4,5,,,4,3.5
7,2,6,162,2,3,4,,,,3.5,3.25
7,2,6,169,2,3,4,,,,3.5,3.5
7,2,6,176,2,6,,,,,6,6
7,2,6,141,3,0,,,,,0,0
7,2,6,149,3,1,2,,,,1.5,1.25
7,2,6,155,3,3, , , ,,3,3
7,2,6,162,3,3,4,,,,3.5,3.75
7,2,6,169,3,6,,,,,6,6
7,2,6,141,4,0,,,,,0,0
7,2,6,149,4,1,,,,,1,1
7,2,6,155,4,1,2,3,4,,2.5,2.75
7,2,6,162,4,3,4,,,,3.5,3.25
7,2,6,169,4,3,4,,,,3.5,3.5
7,2,6,176,4,5,6,,,,5.5,5.5
7,2,6,184,4,6,,,,,6,6
7,2,6,141,5,0,,,,,0,0
7,2,6,149,5,1,,,,,1,1
7,2,6,155,5,3, ,,,,3,3
7,2,6,162,5,4,,,,,4,4
7,2,6,169,5,6,,,,,6,6
7,2,7,141,1,0,,,,,0,0
7,2,7,149,1,1,2,,,,1.5,1.25
7,2,7,155,1,1,2,3,,,2,2.5
7,2,7,162,1,3,4,,,,3.5,3.5
7,2,7,169,1,3,4,,,,3.5,3.75
7,2,7,176,1,6,,,,,6,6
7,2,7,141,2,0,,,,,0,0
7,2,7,149,2,1,2,,,,1.5,1.25
7,2,7,155,2,2,3,,,,2.5,2.5
7,2,7,162,2,2,3,,,,2.5,2.75
7,2,7,169,2,3,4,5,,,4,4
7,2,7,176,2,6,,,,,6,6
7,2,7,141,3,0,,,,,0,0
7,2,7,149,3,1,2,,,,1.5,1.75
7,2,7,155,3,1,2,3,4,,2.5,2.75
7,2,7,162,3,3,,,,,3,3
7,2,7,169,3,6,,,,,6,6
7,2,7,141,4,0,,,,,0,0
7,2,7,149,4,1,,,,,1,1
7,2,7,155,4,1,2,3,,,2,2
7,2,7,162,4,3,4,,,,3.5,3.25
7,2,7,169,4,3,4,5,,,4,4
7,2,7,176,4,3,5,,,,4,4
7,2,7,184,4,6,,,,,6,6
7,2,7,141,5,0,,,,,0,0
7,2,7,149,5,1,,,,,1,1
7,2,7,155,5,2,3,,,,2.5,2.75
7,2,7,162,5,3,4,,,,3.5,3.25
7,2,7,169,5,3,4,,,,3.5,3.25
7,2,7,176,5,6,,,,,6,6
7,2,8,141,1,1,2,,,,1.5,1.25
7,2,8,149,1,1,2,,,,1.5,1.5
7,2,8,155,1,3,,,,,3,3
7,2,8,162,1,3,4,,,,3.5,3.25
7,2,8,169,1,3,4,,,,3.5,3.5
7,2,8,176,1,5,6,,,,5.5,5.5
7,2,8,184,1,6,,,,,6,6
7,2,8,141,2,1,,,,,1,1
