year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
8,2,7,237,1,2,,,,,2,2
8,2,7,244,1,2,3,,,,2.5,2.25
8,2,7,251,1,3,4,,,,3.5,3.25
8,2,7,257,1,4,5,,,,4.5,4.25
8,2,7,231,2,1,,,,,1,1
8,2,7,237,2,1,2,,,,1.5,1.75
8,2,7,244,2,2,,,,,2,2
8,2,7,251,2,4,5,,,,4.5,4.25
8,2,7,257,2,4,5,,,,4.5,4.5
8,2,7,231,3,1,,,,,1,1
8,2,7,237,3,2,,,,,2,2
8,2,7,244,3,2,3,,,,2.5,2.25
8,2,7,251,3,4,5,,,,4.5,4.25
8,2,7,257,3,4,5,,,,4.5,4.5
8,2,7,231,4,1,,,,,1,1
8,2,7,237,4,2,,,,,2,2
8,2,7,244,4,2,3,,,,2.5,2.25
8,2,7,251,4,3,4,5,,,4,4.25
8,2,7,257,4,4,5,,,,4.5,4.5
8,2,7,231,5,1,,,,,1,1
8,2,7,237,5,2,,,,,2,2
8,2,7,244,5,2,3,,,,2.5,2.25
8,2,7,251,5,3,4,5,,,4,3.5
8,2,7,257,5,4,5,,,,4.5,4.25
8,2,8,224,1,1,,,,,1,1
8,2,8,231,1,2,,,,,2,2
8,2,8,237,1,1,2,,,,1.5,1.75
8,2,8,244,1,2,,,,,2,2
8,2,8,251,1,3,4,,,,3.5,3.25
8,2,8,257,1,4,5,,,,4.5,4.25
8,2,8,224,2,1,,,,,1,1
8,2,8,231,2,1,2,,,,1.5,1.25
8,2,8,237,2,1,2,,,,1.5,1.75
8,2,8,244,2,1,2,,,,1.5,1.75
8,2,8,251,2,3,4,,,,3.5,3.75
8,2,8,257,2,4,5,,,,4.5,4.5
8,2,8,224,3,1,,,,,1,1
8,2,8,231,3,1,2,,,,1.5,1.5
8,2,8,237,3,2,,,,,2,2
8,2,8,244,3,2,3,,,,2.5,2.5
8,2,8,251,3,3,4,,,,3.5,3.5
8,2,8,257,3,4,5,,,,4.5,4.5
8,2,8,224,4,1,,,,,1,1
8,2,8,231,4,2, ,,,,2,2
8,2,8,237,4,2,,,,,2,2
8,2,8,244,4,2,,,,,2,2
8,2,8,251,4,3,4,,,,3.5,3.75
8,2,8,257,4,4,5,,,,4.5,4.5
8,2,8,231,5,1,,,,,1,1
8,2,8,237,5,2,,,,,2,2
8,2,8,244,5,2,,,,,2,2
8,2,8,251,5,3,4,,,,3.5,3.25
8,2,8,257,5,4,5,,,,4.5,4.25
8,2,9,224,1,1,,,,,1,1
8,2,9,231,1,1,2,,,,1.5,1.25
8,2,9,237,1,1,2,,,,1.5,1.75
8,2,9,244,1,2,3,,,,2.5,2.25
8,2,9,251,1,4,5,,,,4.5,3.75
8,2,9,257,1,4,5,,,,4.5,4.5
8,2,9,224,2,1,,,,,1,1
8,2,9,231,2,1,2,,,,1.5,1.25
8,2,9,237,2,2,,,,,2,2
8,2,9,244,2,2,3,,,,2.5,2.5
8,2,9,251,2,4,5,,,,4.5,3.5
8,2,9,257,2,4,5,,,,4.5,4.75
8,2,9,224,3,1,,,,,1,1
8,2,9,231,3,1,2,,,,1.5,1.25
8,2,9,237,3,2,,,,,2,2
8,2,9,244,3,2,3,,,,2.5,2.5
8,2,9,251,3,4,5,,,,4.5,2.75
8,2,9,257,3,4,5,,,,4.5,4.75
8,2,9,224,4,1,,,,,1,1
8,2,9,231,4,1,2,,,,1.5,1.25
8,2,9,237,4,2,,,,,2,2
8,2,9,244,4,2,3,,,,2.5,2.5
8,2,9,251,4,4,5,,,,4.5,4.25
8,2,9,257,4,4,5,,,,4.5,4.75
8,2,9,224,5,1,,,,,1,1
8,2,9,231,5,1,2,,,,1.5,1.25
8,2,9,237,5,2,,,,,2,2
8,2,9,244,5,2,3,,,,2.5,2.5
8,2,9,251,5,4,5,,,,4.5,3.25
8,2,9,257,5,4,5,,,,4.5,4.25
8,2,10,231,1,1,,,,,1,1
8,2,10,237,1,2,,,,,2,2
8,2,10,244,1,2,3,,,,2.5,2.25
8,2,10,251,1,3,4,,,,3.5,4.25
8,2,10,257,1,4,5,,,,4.5,4.5
8,2,10,231,2,1,,,,,1,1
8,2,10,237,2,2,,,,,2,2
8,2,10,244,2,2,3,,,,2.5,2.25
8,2,10,251,2,3,4,,,,3.5,4.5
8,2,10,257,2,4,5,,,,4.5,4.75
8,2,10,231,3,1,,,,,1,1
8,2,10,237,3,1,2,,,,1.5,1.25
8,2,10,244,3,2,3,,,,2.5,2.25
8,2,10,251,3,3,4,,,,3.5,4.5
8,2,10,257,3,4,5,,,,4.5,4.75
8,2,10,231,4,1,,,,,1,1
8,2,10,237,4,2,,,,,2,2
8,2,10,244,4,2,,,,,2,2
8,2,10,251,4,4,5,,,,4.5,4.75
8,2,10,257,4,5,6,,,,5.5,5.25
8,2,10,231,5,1,,,,,1,1
8,2,10,237,5,1,2,,,,1.5,1.75
8,2,10,244,5,2,,,,,2,2
8,2,10,251,5,3,4,,,,3.5,4.25
8,2,10,257,5,4,5,,,,4.5,4.75
8,3,1,230,1,1,,,,,1,1
8,3,1,237,1,2,,,,,2,2
8,3,1,245,1,1,2,,,,1.5,1.75
8,3,1,251,1,2,3,,,,2.5,2.75
8,3,1,257,1,3,4,5,,,4,4.25
8,3,1,230,2,1,,,,,1,1
8,3,1,237,2,2,,,,,2,2
8,3,1,245,2,2,,,,,2,2
8,3,1,251,2,2,3,,,,2.5,2.5
8,3,1,257,2,3,4,5,,,4,4.25
8,3,1,230,3,1,,,,,1,1
8,3,1,237,3,1,2,,,,1.5,1.75
8,3,1,245,3,2,,,,,2,2
8,3,1,251,3,2,3,,,,2.5,2.25
8,3,1,257,3,3,4,5,,,4,4.5
8,3,1,230,4,1,,,,,1,1
8,3,1,237,4,1,2,,,,1.5,1.25
8,3,1,245,4,1,2,,,,1.5,1.75
8,3,1,251,4,2,3,,,,2.5,2.5
8,3,1,257,4,4,5,,,,4.5,4.7
8,3,1,230,5,1,,,,,1,1
8,3,1,237,5,2,,,,,2,2
8,3,1,245,5,3,4,,,,3.5,2
8,3,1,251,5,2,3,,,,2.5,2.25
8,3,1,257,5,4,5,,,,4.5,4.75
8,3,2,230,1,1,,,,,1,1
8,3,2,237,1,1,2,,,,1.5,1.75
8,3,2,245,1,2,,,,,2,2
8,3,2,251,1,2,3,,,,2.5,2.5
8,3,2,257,1,3,4,5,,,4,4.25
8,3,2,230,2,1,,,,,1,1
8,3,2,237,2,1,2,,,,1.5,1.5
8,3,2,245,2,2,,,,,2,2
8,3,2,251,2,2,3,,,,2.5,2.25
8,3,2,257,2,4,5,,,,4.5,4.25
8,3,2,230,3,1,,,,,1,1
8,3,2,237,3,1,2,,,,1.5,1.25
8,3,2,245,3,2,,,,,2,2
8,3,2,251,3,2,3,,,,2.5,2.75
8,3,2,257,3,4,5,,,,4.5,4.75
8,3,2,230,4,1,,,,,1,1
8,3,2,237,4,2,,,,,2,2
8,3,2,245,4,2,3,,,,2.5,2.25
8,3,2,251,4,2,3,,,,2.5,2.75
8,3,2,257,4,4,5,,,,4.5,4.5
8,3,2,230,5,1,,,,,1,1
8,3,2,237,5,1,2,,,,1.5,1.25
8,3,2,245,5,2,3,,,,2.5,2.5
8,3,2,251,5,2,3,,,,2.5,2.75
8,3,2,257,5,4,5,,,,4.5,4.75
8,3,3,224,1,1,,,,,1,1
8,3,3,230,1,1,2,,,,1.5,1.25
8,3,3,237,1,1,2,,,,1.5,1.5
8,3,3,245,1,1,2,,,,1.5,1.25
8,3,3,251,1,2,3,,,,2.5,2.75
8,3,3,257,1,4,5,,,,4.5,1.25
8,3,3,224,2,1,,,,,1,1
8,3,3,230,2,1,2,,,,1.5,1.5
8,3,3,237,2,1,2,,,,1.5,1.75
8,3,3,245,2,2,,,,,2,2
8,3,3,251,2,3,4,,,,3.5,3.25
8,3,3,257,2,4,5,,,,4.5,1.75
8,3,3,224,3,1,,,,,1,1
8,3,3,230,3,1,2,,,,1.5,1.5
8,3,3,237,3,2,,,,,2,2
8,3,3,245,3,2,,,,,2,2
8,3,3,251,3,3,4,,,,3.5,3.25
8,3,3,257,3,4,5,,,,4.5,1.5
8,3,3,224,5,1,,,,,1,1
8,3,3,230,5,1,2,,,,1.5,1.5
8,3,3,237,5,2,,,,,2,2
8,3,3,245,5,2,,,,,2,2
8,3,3,251,5,3,4,,,,3.5,3.25
8,3,3,257,5,4,5,,,,4.5,4.75
8,3,4,230,1,1,,,,,1,1
8,3,4,237,1,2,3,,,,2.5,2.5
8,3,4,245,1,2,3,,,,2.5,2.5
8,3,4,251,1,4,5,,,,4.5,4.25
8,3,4,257,1,4,5,,,,4.5,4.75
8,3,4,230,2,1,,,,,1,1
8,3,4,237,2,1,2,,,,1.5,1.75
8,3,4,245,2,2,3,,,,2.5,2.25
8,3,4,251,2,3,4,5,,,4,3.75
8,3,4,257,2,4,5,,,,4.5,4.75
8,3,4,230,3,1,,,,,1,1
8,3,4,237,3,1,2,,,,1.5,1.75
8,3,4,245,3,2,,,,,2,2
8,3,4,251,3,3,4,5,,,4,4.25
8,3,4,257,3,4,5,,,,4.5,4.75
8,3,4,230,4,1,,,,,1,1
8,3,4,237,4,1,2,,,,1.5,1.7
8,3,4,245,4,2,3,,,,2.5,2.5
8,3,4,251,4,4,5,,,,4.5,4.25
8,3,4,257,4,4,5,,,,4.5,4.5
8,3,4,230,5,1,,,,,1,1
8,3,4,237,5,2,,,,,2,2
8,3,4,245,5,2,3,,,,2.5,2.5
8,3,4,251,5,3,4,5,,,4,3.75
8,3,4,257,5,4,5,,,,4.5,4.75
8,3,5,230,1,1,,,,,1,1
8,3,5,237,1,2,,,,,2,2
8,3,5,245,1,2,3,,,,2.5,2.5
8,3,5,251,1,3,4,,,,3.5,3.25
