year,site,plot,date,rep,stage1,stage2,stage3,average,overall
6,1,1,224,1,1,,,1,1
6,1,1,232,1,3,4,,3.5,3.25
6,1,1,239,1,1,3,4,2.666666667,3.5
6,1,1,245,1,3,4,,3.5,3.5
6,1,1,224,2,1,,,1,1
6,1,1,232,2,3,4,,3.5,3.5
6,1,1,239,2,3,4,,3.5,3.5
6,1,1,245,2,4,,,4,4
6,1,1,224,3,1,,,1,1
6,1,1,232,3,3,,,3,3
6,1,1,239,3,3,5,,4,3.5
6,1,1,245,3,4,,,4,4
6,1,1,217,4,1,,,1,1
6,1,1,224,4,1,2,,1.5,1.5
6,1,1,232,4,3,4,,3.5,3.5
6,1,1,239,4,3,4,,3.5,3.75
6,1,1,245,4,4,,,4,4
6,1,1,224,5,1,,,1,1
6,1,1,232,5,3,,,3,3
6,1,1,239,5,3,4,,3.5,3.75
6,1,1,245,5,4,,,4,4
6,1,2,232,1,1,,,1,1
6,1,2,239,1,1,3,4,2.666666667,3.5
6,1,2,245,1,4,5,,4.5,4.5
6,1,2,224,2,1,,,1,1
6,1,2,232,2,1,2,3,2,1.75
6,1,2,239,2,1,2,3,2,2.5
6,1,2,245,2,4,,,4,4
6,1,2,224,3,1,,,1,1
6,1,2,232,3,1,2,3,2,1.75
6,1,2,239,3,1,2,3,2,2.5
6,1,2,245,3,4,,,4,4
6,1,2,224,4,1,,,1,1
6,1,2,232,4,1,2, ,1.5,1.25
6,1,2,239,4,1,3,,2,2.75
6,1,2,245,4,4,,,4,4
6,1,2,224,5,1,,,1,1
6,1,2,232,5,1,2, ,1.5,1.5
6,1,2,239,5,1,2,3,2,2
6,1,2,245,5,4,,,4,4
6,1,3,217,1,1,,,1,1
6,1,3,224,1,1,2,,1.5,1.25
6,1,3,232,1,1,3,,2,1.5
6,1,3,245,1,3,4,,3.5,3.5
6,1,3,224,2,1,,,1,1
6,1,3,232,2,1,3,,2,1.25
6,1,3,239,2,1,3,,2,1.5
6,1,3,245,2,4,,,4,4
6,1,3,224,3,1,,,1,1
6,1,3,232,3,1,2,3,2,2.25
6,1,3,239,3,1,3,4,2.666666667,3.25
6,1,3,245,3,4,5,,4.5,4.5
6,1,3,217,4,1,,,1,1
6,1,3,224,4,1,2,,1.5,1.25
6,1,3,232,4,1,2,3,2,2.75
6,1,3,239,4,1,4,5,3.333333333,4
6,1,3,245,4,4,5,,4.5,4.25
6,1,3,217,5,1,,,1,1
6,1,3,224,5,1,2,,1.5,1.5
6,1,3,232,5,3,,,3,3
6,1,3,239,5,1,3,4,2.666666667,3.75
6,1,3,245,5,4,5,,4.5,4.25
6,1,4,224,1,1,,,1,1
6,1,4,232,1,2,3,,2.5,2.75
6,1,4,239,1,3,4,,3.5,3.5
6,1,4,245,1,4,,,4,4
6,1,4,217,2,1,,,1,1
6,1,4,224,2,1,2,,1.5,1.5
6,1,4,232,2,1,2,3,2,2.5
6,1,4,239,2,3,4,,3.5,3.5
6,1,4,245,2,3,4,,3.5,3.5
6,1,4,217,3,1,,,1,1
6,1,4,224,3,1,2,,1.5,1.5
6,1,4,232,3,1,2,3,2,1.75
6,1,4,239,3,3,4,,3.5,3.75
6,1,4,245,3,4,5,,4.5,4.25
6,1,4,224,4,1,,,1,1
6,1,4,232,4,2,3,,2.5,2.75
6,1,4,239,4,3,4,,3.5,3.75
6,1,4,245,4,4,5,,4.5,4.25
6,1,4,224,5,1,,,1,1
6,1,4,232,5,2,3,,2.5,2.5
6,1,4,239,5,3,4,,3.5,3.5
6,1,4,245,5,4,5,,4.5,4.25
6,1,5,224,1,1,,,1,1
6,1,5,232,1,1,2,,1.5,1.25
6,1,5,239,1,3,,,3,3
6,1,5,245,1,4,,,4,4
6,1,5,217,2,1,,,1,1
6,1,5,224,2,1,2,,1.5,1.5
6,1,5,232,2,1,3,,2,2.5
6,1,5,239,2,1,3,4,2.666666667,3.5
6,1,5,245,2,4,,,4,4
6,1,5,224,3,1,,,1,1
6,1,5,232,3,1,3,,2,1
6,1,5,239,3,1,3,,2,1.5
6,1,5,245,3,3,,,3,3
6,1,5,217,4,1,,,1,1
6,1,5,224,4,1,2,,1.5,1.5
6,1,5,232,4,3, ,,3,3
6,1,5,239,4,3,4,,3.5,3.5
6,1,5,245,4,4,,,4,4
6,1,5,217,5,1,,,1,1
6,1,5,224,5,1,2,,1.5,1.5
6,1,5,232,5,3,,,3,3
6,1,5,239,5,3,4,,3.5,3.5
6,1,5,245,5,3,4,,3.5,3.75
6,1,6,217,1,1,,,1,1
6,1,6,224,1,1,2,,1.5,1.25
6,1,6,232,1,1,2,3,2,2
6,1,6,239,1,1,3,4,2.666666667,3.25
6,1,6,245,1,3,4,,3.5,3.5
6,1,6,217,2,1,,,1,1
6,1,6,224,2,1,2,,1.5,1.25
6,1,6,232,2,2,3,,2.5,2.5
6,1,6,239,2,3,4,,3.5,3.5
6,1,6,245,2,3,4,,3.5,3.75
6,1,6,224,3,1,,,1,1
6,1,6,232,3,1,2,3,2,2
6,1,6,239,3,1,2,3,2,2.25
6,1,6,245,3,3,4,,3.5,3.5
6,1,6,224,4,1,,,1,1
6,1,6,232,4,2,3,,2.5,2.5
6,1,6,239,4,3,4,,3.5,3.5
