year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
6,3,1,171,4,0,,,,0,0
6,3,1,178,4,1,,,,1,1
6,3,1,186,4,1,,,,1,1
6,3,1,192,4,1,2,,,1.5,1.25
6,3,1,200,4,1,3,4,,2.666666667,2
6,3,1,206,4,2,3,4,5,3.5,3
6,3,1,214,4,3,4,5,,4,4
6,3,1,220,4,3,4,5,,4,4.5
6,3,1,227,4,3,5,,,4,4.75
6,3,2,171,1,0,,,,0,0
6,3,2,178,1,1,,,,1,1
6,3,2,186,1,1,,,,1,1
6,3,2,192,1,2,,,,2,2
6,3,2,200,1,2,3,,,2.5,2.5
6,3,2,206,1,3,4,5,,4,4
6,3,2,214,1,3,4,5,,4,4.5
6,3,2,220,1,3,4,5,,4,4.75
6,3,2,227,1,3,5,,,4,4.75
6,3,2,234,1,5,6,,,5.5,5.5
6,3,2,241,1,5,6,,,5.5,5.75
6,3,2,247,1,5,6,,,5.5,5.75
6,3,6,171,4,1,,,,1,1
6,3,6,178,4,1,,,,1,1
6,3,6,186,4,1,2,,,1.5,1.25
6,3,6,192,4,1,2,,,1.5,1.75
6,3,6,200,4,2,3,4,5,3.5,3
6,3,6,206,4,3,4,5,,4,4
6,3,6,214,4,3,4,5,6,4.5,5
6,3,6,220,4,3,4,5,6,4.5,5
6,3,8,171,2,0,,,,0,0
6,3,8,178,2,1,,,,1,1
6,3,8,186,2,1,,,,1,1
6,3,8,192,2,1,2,,,1.5,1.25
6,3,8,200,2,2,3,4,,3,2.5
6,3,8,206,2,2,3,4,5,3.5,3.25
6,3,8,214,2,3,4,5,,4,4.25
6,3,8,220,2,3,4,5,,4,4.25
6,3,8,227,2,3,5,6,,4.666666667,5.5
6,3,8,234,2,3,5,6,,4.666666667,5.5
6,3,8,241,2,5,6,,,5.5,5.5
6,3,8,247,2,5,6,,,5.5,5.75
6,3,9,186,1,0,,,,0,0
6,3,9,192,1,1,2,,,1.5,1.25
6,3,9,200,1,2,3,4,,3,2.75
6,3,9,206,1,3,4,5,,4,4
6,3,9,214,1,3,4,5,,4,4.5
6,3,9,220,1,3,5,,,4,4.75
6,3,9,227,1,3,5,6,,4.666666667,5.5
6,3,9,234,1,5,6,,,5.5,5.75
6,3,9,171,3,0,,,,0,0
6,3,9,178,3,1,,,,1,1
6,3,9,186,3,1,,,,1,1
6,3,9,192,3,1,,,,1,1
6,3,9,200,3,2,,,,2,2
6,3,9,206,3,3,4,,,3.5,3.5
6,3,9,214,3,3,4,5,,4,4
6,3,9,220,3,3,5,,,4,4.75
6,3,9,171,5,1,,,,1,1
6,3,9,178,5,1,,,,1,1
6,3,9,186,5,1,,,,1,1
6,3,9,192,5,2,,,,2,2
6,3,9,200,5,2,3,4,,3,2.75
6,3,9,206,5,3,4,5,,4,4
6,3,9,214,5,3,4,5,,4,4.25
6,3,9,220,5,3,5,,,4,4.75
6,3,10,171,2,0,,,,0,0
6,3,10,178,2,1,,,,1,1
6,3,10,186,2,1,,,,1,1
6,3,10,200,2,1,2,,,1.5,1.5
6,3,10,206,2,2,3,4,5,3.5,3
6,3,10,220,2,3,5, ,,4,4.5
6,3,10,227,2,5,6,,,5.5,5.75
6,3,10,234,2,5,6,,,5.5,5.75
6,3,10,241,2,6,,,,6,6
6,3,10,247,2,6,,,,6,6
6,3,10,178,4,0,,,,0,0
6,3,10,186,4,1,,,,1,1
6,3,10,192,4,1,2,,,1.5,1.25
6,3,10,200,4,2,3,4,,3,2.75
6,3,10,206,4,2,3,4,5,3.5,3
6,3,10,214,4,3,4,5,,4,4
6,3,10,220,4,3,4,5,,4,4.75
6,3,10,227,4,3,5,,,4,5
6,3,10,234,4,3,5,,,4,5
6,3,10,241,4,5,6,,,5.5,5.75
6,3,10,247,4,6,,,,6,6
6,4,2,170,2,0,,,,0,0
6,4,2,177,2,1,,,,1,1
6,4,2,184,2,1,,,,1,1
6,4,2,192,2,1,,,,1,1
6,4,2,198,2,1,2,,,1.5,1.5
6,4,2,205,2,2,3,4,5,3.5,3.25
6,4,2,213,2,3,4,5,,4,4.75
6,4,2,219,2,3,4,5,,4,4
6,4,2,226,2,3,5,,,4,4.75
6,4,2,233,2,5,6,,,5.5,5.75
6,4,2,240,2,5,6,,,5.5,5.75
6,4,2,247,2,6,,,,6,6
6,4,2,170,4,0,,,,0,0
6,4,2,177,4,1,,,,1,1
6,4,2,184,4,1,,,,1,1
6,4,2,192,4,1,2,,,1.5,1.75
6,4,2,198,4,2,3,,,2.5,2.25
6,4,2,205,4,3,4,5,,4,4
6,4,2,213,4,3,4,5,,4,4.75
6,4,2,219,4,3,5,,,4,4.75
6,4,2,226,4,3,5,,,4,4.75
