year,site,plot,date,rep,stage1,stage2,stage3,average,overall,
8,1,1,189,1,1,2,3,2,1.75,
8,1,1,195,1,1,2,3,2,1.75,
8,1,1,203,1,2,3,,2.5,2.25,
8,1,1,208,1,2,3,,2.5,2.5,
8,1,1,217,1,2,3,,2.5,2.25,
8,1,1,222,1,2,3,4,3,3.25,
8,1,1,229,1,3,4,,3.5,3.75,
8,1,1,243,1,3,4,,3.5,3.75,
8,1,1,251,1,4,,,4,4,
8,1,1,189,2,1,2,3,2,2.25,
8,1,1,195,2,1,2,3,2,1.5,
8,1,1,203,2,2,3,,2.5,2.25,
8,1,1,208,2,2,3,4,3,2.75,
8,1,1,217,2,2,3,4,3,3.25,
8,1,1,222,2,3,4,5,4,3.5,
8,1,1,229,2,3,4,,3.5,3.5,
8,1,1,243,2,4,,,4,4,
8,1,1,189,3,1,2,3,2,1.5,
8,1,1,195,3,1,2,3,2,2.25,
8,1,1,203,3,2,3,,2.5,2.25,
8,1,1,208,3,2,3,4,3,2.75,
8,1,1,217,3,2,3,4,3,2.75,
8,1,1,222,3,3,4,,3.5,3.25,
8,1,1,229,3,3,4,,3.5,3.5,
8,1,1,243,3,4,,,4,4,
8,1,1,189,4,1,2,3,2,2.25,
8,1,1,195,4,1,2,3,2,1.75,
8,1,1,203,4,2,3,,2.5,2.25,
8,1,1,208,4,2,3,4,3,2.75,
8,1,1,217,4,2,3,,2.5,2.75,
8,1,1,222,4,3,4,,3.5,3.25,
8,1,1,229,4,3,4,,3.5,3.75,
8,1,1,243,4,3,4,,3.5,3.75,
8,1,1,251,4,4,,,4,4,
8,1,1,189,5,1,2,3,2,1.75,
8,1,1,195,5,1,2,3,2,2.25,
8,1,1,203,5,2,3,,2.5,2.25,
8,1,1,208,5,2,3,,2.5,2.5,
8,1,1,217,5,2,3,4,3,2.75,
8,1,1,222,5,3,4,,3.5,3.75,
8,1,1,229,5,4,,,4,4,
8,1,2,189,1,1,2,3,2,2.5,
8,1,2,195,1,1,2,3,2,1.75,
8,1,2,203,1,2,3,,2.5,2.25,
8,1,2,208,1,2,3,,2.5,2.25,
8,1,2,217,1,2,3,,2.5,2.25,
8,1,2,222,1,1,2,3,2,3.5,
8,1,2,229,1,4,,,4,4,
8,1,2,189,2,1,2,3,2,2.5,
8,1,2,195,2,1,2,3,2,1.75,
8,1,2,203,2,2,3,,2.5,2.25,
8,1,2,208,2,2,3,,2.5,2.25,
8,1,2,217,2,2,3,,2.5,2.5,
8,1,2,222,2,2,3,,2.5,2.75,
8,1,2,229,2,4,,,4,4,
8,1,2,189,3,1,2,3,2,2.25,
8,1,2,195,3,2,3,,2.5,2.75,
8,1,2,203,3,2,3,,2.5,2.5,
8,1,2,208,3,2,3,,2.5,2.25,
8,1,2,217,3,2,3,,2.5,2.75,
8,1,2,222,3,2,3,,2.5,2.75,
8,1,2,229,3,4,,,4,4,
8,1,2,189,4,1,2,3,2,1.5,
8,1,2,195,4,2,3,,2.5,2.25,
8,1,2,203,4,2,3,,2.5,2.25,
8,1,2,208,4,2,3,,2.5,2.25,
8,1,2,217,4,2,3,4,3,2.75,
8,1,2,222,4,2,3,,2.5,2.75,
8,1,2,229,4,3,4,,3.5,3.75,
8,1,2,243,4,4,,,4,4,
8,1,2,189,5,1,2,3,2,2.5,
8,1,2,195,5,2,3,,2.5,2.5,
8,1,2,203,5,2,3,,2.5,2.25,
8,1,2,208,5,2,3,,2.5,2.25,
8,1,2,217,5,2,3,4,3,2.75,
8,1,2,222,5,2,3,,2.5,2.75,
8,1,2,229,5,4,,,4,4,
8,1,3,189,1,1,,,1,1,
8,1,3,195,1,1,2,3,2,1.75,
8,1,3,203,1,1,2,,1.5,1.25,
8,1,3,208,1,2,3,,2.5,2.25,
8,1,3,217,1,2,3,,2.5,2.25,
8,1,3,222,1,2,3,,2.5,2.75,
8,1,3,229,1,4,,,4,4,
8,1,3,189,2,1,,,1,1,
8,1,3,195,2,2,3,,2.5,2.5,
8,1,3,203,2,2,3,,2.5,2.5,
8,1,3,208,2,2,3,,2.5,2.25,
8,1,3,217,2,2,3,,2.5,2.5,
8,1,3,222,2,2,3,,2.5,2.75,
8,1,3,229,2,3,4,,3.5,3.25,
8,1,3,243,2,4,,,4,4,
8,1,3,189,3,1,2,3,2,1.75,
8,1,3,195,3,1,2,3,2,2.25,
8,1,3,203,3,2,3,,2.5,2.25,
8,1,3,208,3,2,3,,2.5,2.25,
8,1,3,217,3,2,3,,2.5,2.5,
8,1,3,222,3,2,3,,2.5,2.75,
8,1,3,229,3,3,4,,3.5,3.25,
8,1,3,243,3,4,,,4,4,
8,1,3,189,4,1,2,3,2,1.25,
8,1,3,195,4,1,2,3,2,1.75,
8,1,3,203,4,2,3,,2.5,2.25,
8,1,3,208,4,2,3,,2.5,2.25,
8,1,3,217,4,2,3,,2.5,2.5,
8,1,3,222,4,2,3,,2.5,2.75,
8,1,3,229,4,3,4,,3.5,3.25,
8,1,3,243,4,4,,,4,4,
8,1,3,189,5,1,,,1,1,
8,1,3,195,5,1,2,,1.5,1.5,
8,1,3,203,5,2,3,,2.5,2.5,
8,1,3,208,5,2,3,,2.5,2.25,
8,1,3,217,5,2,3,,2.5,2.25,
8,1,3,222,5,2,3,,2.5,2.75,
8,1,3,229,5,3,4,,3.5,3.25,
