"site","temptreat","preciptreat","AG.type","AGtemp_max_dev","AGtemp_min_dev","AGtemp_mean_dev","BGtemp_max_dev","BGtemp_min_dev","BGtemp_mean_dev"
"chuine","1","-1","air",NA,NA,NA,NA,NA,NA
"chuine","2","-1","air",NA,NA,NA,NA,NA,NA
"sherry","0","0","air",-4.8859766025516e-17,1.15641656953355e-17,-1.25331395735504e-17,-3.16973249576271e-17,1.06716077096766e-17,-1.19451422920561e-17
"chuine","1","0","air",NA,NA,NA,NA,NA,NA
"sherry","1","0","air",-3.08672202163417,5.74143096555246,1.32735447195915,3.50444414456825,1.19951936490251,2.35198175473538
"chuine","2","0","air",NA,NA,NA,NA,NA,NA
"sherry","0","1","air",-2.36598644625728,1.10064488068131,-0.632670782787987,2.34631284188341,-2.15100716808606,0.10014230838565
"sherry","1","1","air",0.235284024329382,3.23017154123518,1.73272778278228,1.89383423350717,2.5038142904824,2.19882426199478
"clarkduke","0",NA,"air",0.368316650143284,0.164710417357076,0.26651353375018,-0.431066345581834,-0.0746923480059955,-0.252879346793915
"clarkharvard","0",NA,"air",0.268805094343162,0.176989559085462,0.222897326714312,-0.113958112904394,-0.0590185703619409,-0.0864883416331674
"ellison","0",NA,"air",-0.0616374744550408,0.287882322888283,0.113122424216621,-0.158483852616839,-0.0210072641344302,-0.0897455583756345
"marchin","0",NA,"air",-0.0294840621596716,0.165774042891849,0.0681449903660886,0.086913898674719,-0.340559889280322,-0.126822995302802
"clarkduke","1",NA,"air",2.01557778657629,2.39772080335166,2.20664929496397,2.43843086753728,2.77226068144563,2.60534577449145
"clarkharvard","1",NA,"air",1.98671950719289,1.98649769884633,1.98660860301961,3.11036317372507,2.86009901938857,2.98523109655682
"ellison","1",NA,"air",1.96600206646424,1.71637398785425,1.84118802715924,0.26924344664299,0.597900854050397,0.433572150346694
"marchin","1",NA,"air",3.58119491153124,2.71603089589772,3.14861290371448,1.70369478300579,0.985080876795163,1.34438782990048
"clarkduke","2",NA,"air",2.50730134129074,2.97257505817176,2.73993819973125,3.96401876862839,4.27021129652094,4.11711503257467
"clarkharvard","2",NA,"air",2.62982812660389,2.45518341642865,2.54250577151627,4.88870265375077,4.66187141517353,4.77528703446215
"ellison","2",NA,"air",2.13399986924686,1.90316248256625,2.01858117590656,-0.0207055435565155,0.842563489920806,0.410928973182145
"ellison","3",NA,"air",2.49749558470508,1.97508650548697,2.23629104509602,0.466306143134144,0.719524193548387,0.592915168341266
