site,genus,species,scrub.genus,scrub.species,sev.code,scrub_round
arnell,?,Liparis,Hammarbya,paludosa,na,1
bertel,Abutilon,abutiloides,Abutilon,abutiloides,na,2
washdc,Abutilon,theophrasti,Abutilon,theophrasti,na,2
concord,Abutilon,theophrasti,Abutilon,theophrasti,na,2
kochmer,Abutilon,theophrastii,Abutilon,theophrasti,na,2
kochmer,Acalypha,ostryaefolia,Acalypha,ostryifolia,na,2
kochmer,Acanthospermum,australe,Acanthospermum,australe,na,2
fargo,Acidanthera,? ,Acidanthera,na,na,1
fargo,Acnida,altissima,Amaranthus,tuberculatus,na,2
concord,Acnida,altissima,Amaranthus,tuberculatus,na,2
niwot,Acomastylis,rossii,Geum,rossii,na,2
kochmer,Aconitum,reclinatum,Aconitum,reclinatum,na,2
bertel,Acourtia,thurberi,Acourtia,thurberi,na,2
bertel,Acourtia,wrightii,Acourtia,wrightii,na,2
fargo,Actinella,acaulis,Tetraneuris,acaulis,na,2
washdc,Adlumia,fungosa,Adlumia,fungosa,na,2
kochmer,Adlumia,fungosa,Adlumia,fungosa,na,2
concord,Adlumia,fungosa,Adlumia,fungosa,na,2
kochmer,Aeschynomene,virginica,Aeschynomene,virginica,na,2
soederm,Aesculus,hippocastanaceae,Aesculus,hippocastanum,na,1
washdc,Aesculus,hybrida,Aesculus,hybrida,na,2
washdc,Aesculus,octandra,Aesculus,flava,na,2
kochmer,Agalinis,aphylla,Agalinis,aphylla,na,2
konza,Agalinis,aspera,Agalinis,aspera,na,2
kochmer,Agalinis,obtusifolia,Agalinis,obtusifolia,na,2
kochmer,Agalinis,setacea,Agalinis,setacea,na,2
kochmer,Agalinis,tenella,Agalinis,obtusifolia,na,2
kochmer,Agalinis,virgata,Agalinis,fasciculata,na,2
fargo,Agastache,anethiodora,Agastache,foeniculum,na,2
bertel,Agave,chrysantha,Agave,chrysantha,na,2
bertel,Ageratina,herbacea,Ageratina,herbacea,na,2
kochmer,Agrimonia,gryposepala,Agrimonia,gryposepala,na,2
concord,Agrimonia,grypsosepala,Agrimonia,gryposepala,na,1
kochmer,Agrimonia,microcarpa,Agrimonia,microcarpa,na,2
konza,Agrimonia,pubscens,Agrimonia,pubescens,na,1
kochmer,Agrimonia,rostellata,Agrimonia,rostellata,na,2
fargo,Agropyron,trachyeainlng,Agropyron,trachycaulus,na,1
concord,Agrostema,githago,Agrostemma,githago,na,1
arnell,Agrostis-spica,venti,Agrostis,spica-venti,na,1
washdc,Aira,caryophyllaea,Aira,caryophyllea,na,2
washdc,Alcea,rosea,Alcea,rosea,na,2
soederm,Alchemilla,acutiloba,Alchemilla,acutiloba,na,2
fargo,Alisma,subcordatum,Alisma,subcordatum,na,2
concord,Alisma,subcordatum,Alisma,subcordatum,na,2
concord,Alisma,triviale,Alisma,triviale,na,2
washdc,Alliaria,officinalis,Alliaria,petiolata,na,2
konza,Alliaria,officinalis,Alliaria,petiolata,na,2
concord,Alliaria,officinalis,Alliaria,petiolata,na,2
bertel,Allionia,incarnata,Allionia,incarnata,na,2
fargo,Allionia,nyctaginea,Mirabilis,nyctaginea,na,2
concord,Allium,canadensis,Allium,canadense,na,1
kochmer,Allium,inodorum,Allium,neapolitanum,na,2
washdc,Allium,mutabile,Allium,canadense,na,1
arnell,Allium,ursinun,Allium,ursinum,na,1
washdc,Alopecurus,geniculata,Alopecurus,bonariensis,na,1
bertel,Aloysia,wrightii,Aloysia,wrightii,na,2
concord,Althea,officinalis,Althaea,officinalis,na,1
bertel,Amaranthus,x,Amaranthus,tucsonensis,na,1
bertel,Amauriopsis,dissecta,Amauriopsis,dissecta,na,2
fargo,Ambrosia,artemisia,Ambrosia,artemisifolia,na,1
bertel,Ambrosia,confertiflora,Ambrosia,confertiflora,na,2
kochmer,Ambrosia,integradiens,Ambrosia,intergradiens,na,1
fargo,Ambrosia,psilostochys,Ambrosia,psilostachya,na,1
washdc,Amelanchier,laevis,Amelanchier,laevis,na,2
concord,Amelanchier,laevis,Amelanchier,laevis,na,2
kochmer,Amelanchier,obovalis,Amelanchier,obovalis,na,2
gothic,Amelanchier,pumila,Amelanchier,pumila,na,2
gunnar,Amelanchier,sp.,Amelanchier,NA,na,1
uwm,Amelanchier,sp.,Amelanchier,NA,na,1
uwm,Amelanchier,sp.,Amelanchier,na,na,1
kochmer,Amelanchier,spicata,Amelanchier,stolonifera,na,2
concord,Amelanchier,stolonifera,Amelanchier,humilis,na,2
kochmer,Amianthium,muscaetoxicum,Amianthium,muscaetoxicum,na,2
fargo,Ammannia,coccinea,Ammannia,coccinea,na,2
kochmer,Amorpha,glabra,Amorpha,glabra,na,2
concord,Ampelopsis,brevipunculata,Ampelopsis,brevipedunculata ,na,1
kochmer,Amsonia,ciliata,Amsonia,ciliata,na,2
concord,Anagalis,arvensis,Anagallis,arvensis,na,1
arnell,Anchusa,arvensis,Anchusa,arvensis,na,2
fargo,Andropogon,furcatus,Andropogon,gerardii,na,2
fargo,Androsace,occidentalis,Androsace,occidentalis,na,2
bertel,Androsace,occidentalis,Androsace,occidentalis,na,2
washdc,Anemone,canadensis,Anemone,canadensis,na,2
fargo,Anemone,canadensis,Anemone,canadensis,na,2
concord,Anemone,canadensis,Anemone,canadensis,na,2
konza,Anemone,caroliniana,Anemone,caroliniana,na,2
kochmer,Anemone,caroliniana,Anemone,caroliniana,na,2
kochmer,Anemone,lancifolia,Anemone,lancifolia,na,2
arnell,Anemone,ranunculoides,Anemone,ranunculoides,na,2
kochmer,Anemone,virginana,Anemone ,virginiana,na,1
washdc,Anemonella,thalictroides,Thalictrum,thalictroides,na,2
concord,Anemonella,thallictroides,Anemonella,thalictroides,na,1
kochmer,Angelica,triquinata,Angelica,triquinata,na,2
washdc,Anisostichus,capreolata,Bignonia,capreolata,na,2
kochmer,Anisostichus,capreolata,Bignonia,capreolata,na,2
kochmer,Antennaria,ambigens,Antennaria,parlinii,na,2
concord,Antennaria,fallax,Antennaria,parlinii,na,2
washdc,Antennaria,solitaria,Antennaria,solitaria,na,2
kochmer,Antennaria,solitaria,Antennaria,solitaria,na,2
bci,anthodon,panamense,anthodon,panamense,na,1
soederm,Anthoxantheum,odoratum,Anthoxanthum,odoratum,na,1
kochmer,Anthriscus,scandicina,Anthriscus ,caucalis,na,1
gothic,Anticlea,elegans,Zigadenus,elegans,na,2
fargo,Aplopappus,spinulosus,Haplopappus,spinulosus,na,2
fargo,Aplopappus ,lanceolatus,Pyrrocoma ,lanceolata,na,1
fargo,Apocynum,androsaemifoium,Apocynum ,androsaemifolium,na,1
concord,Apocynum,sibiricum,Apocynum,cannabinum,na,2
sev,Apocynum,X_floribundum,Apocynum,floribundum,APFL,1
arnell,Arabis,caucasica,Arabis,caucasica,na,2
gothic,Arabis,sp.,Arabis,na,na,1
bertel,Arbutus,arizonica,Arbutus,arizonica,na,2
concord,Arceuthobium,pusillium,Arceuthobium,pusillum  ,na,1
kochmer,Arctium,lappa,Arctium,lappa,na,2
fitter,Arctium,lappa,Arctium,lappa,na,2
arnell,Arctium,lappa,Arctium,lappa,na,2
concord,Arctium,nemerosum,Arctium,nemorosum,na,1
arnell,Arctostaphylus,uva-ursi,Arctostaphylos,uva-ursi,na,1
fargo,Arenaria,laterifolia,Arenaria ,lateriflora,na,1
fargo,Aretium,tomentosum,Arctium ,tomentosum,na,1
kochmer,Argemone,albiflora,Argemone,albiflora,na,2
concord,Arisaema,stewardsonii,Arisaema,triphyllum,na,2
bertel,Aristolochia,watsoni,Aristolochia,watsonii,na,1
concord,Armoracia,lapathifolia,Armoracia,rusticana,na,2
kochmer,Armoracia,rusticana,Armoracia,rusticana,na,2
fitter,Armoracia,rusticana,Armoracia,rusticana,na,2
arnell,Armoracia,rusticana,Armoracia,rusticana,na,2
washdc,Arnica,acaulis,Arnica,acaulis,na,2
kochmer,Arnica,acaulis,Arnica,acaulis,na,2
fargo,Artemisia,gnaphalodes,Artemisia,ludoviciana,na,2
concord,Asclepias,exaltata,Asclepias,exaltata,na,2
concord,Asclepias,purpurescens,Asclepias,purpurascens,na,1
konza,Asclepias,viridis,Asclepias,viridis,na,2
fargo,Aster,brachyactis,Symphyotrichum,ciliatum,na,2
kochmer,Aster,brevisquamus,Aster ,umbellatus,na,1
kochmer,Aster,carolinianus,Ampelaster,carolinianus,na,2
kochmer,Aster,commixtus,Eurybia,herveyi,na,2
gothic,Aster,engelmanii,Aster,engelmannii,na,1
kochmer,Aster,gracilis,Eurybia,compacta,na,2
kochmer,Aster,infirmus,Doellingeria,infirma,na,2
concord,Aster,infirmus,Doellingeria,infirma,na,2
fargo,Aster,nova.angliae,Symphyotrichum,novae-angliae,na,1
kochmer,Aster,paternus,Sericocarpus,asteroides,na,2
fargo,Aster,punicens,Symphyotrichum,puniceum,na,1
kochmer,Aster,reticulatus,Oclemena,reticulata,na,2
concord,Aster,sagitifolius,Aster,sagittifolius,na,2
kochmer,Aster,solidagineus,Sericocarpus,linifolius,na,2
kochmer,Astilbe,biternata,Astilbe,biternata,na,2
fargo,Astragalus,caryocarpus,Astragalus,crassicarpus,na,2
kochmer,Astragalus,michauxii,Astragalus,michauxii,na,2
fargo,Astragalus,triphyllus,Astragalus,gilviflorus,na,2
kochmer,Astragalus,villosus,Astragalus,villosus,na,2
kochmer,Atriplex,arenaria,Atriplex,cristata,na,2
fargo,Atriplex,confert,Atriplex ,confertifolia,na,1
fitter,Atropa,bella-donna,Atropa,bella-donna,na,1
kochmer,Aureolaria,laevigata,Aureolaria,levigata,na,1
kochmer,Bacopa,cyclophylla,Bacopa,innominata,na,2
kochmer,Bacopa,monnieri,Bacopa,monnieri,na,2
kochmer,Balduina,uniflora,Balduina,uniflora,na,2
kochmer,Baptisia,braceata,Baptisia ,bracteata,na,1
kochmer,Baptisia,cinerea,Baptisia,cinerea,na,2
washdc,Barbarea,verna,Barbarea,verna,na,2
kochmer,Barbarea,verna,Barbarea,verna,na,2
washdc,Berberis,thunbergii,Berberis,thunbergii,na,2
kochmer,Berberis,thunbergii,Berberis,thunbergii,na,2
fargo,Berberis,thunbergii,Berberis,thunbergii,na,2
concord,Berberis,thunbergii,Berberis,thunbergii,na,2
fargo,Berteroa,incana,Berteroa,incana,na,2
concord,Berteroa,incana,Berteroa,incana,na,2
concord,Bidens,artistosa,Bidens,aristosa,na,1
concord,Bidens,comosa,Bidens,tripartita,na,2
kochmer,Bidens,discoidea,Bidens,discoidea,na,2
concord,Bidens,discoidea,Bidens,discoidea,na,2
kochmer,Bidens,laevis,Bidens,laevis,na,2
concord,Bidens,laevis,Bidens,laevis,na,2
kochmer,Bidens,mitis,Bidens,mitis,na,2
bertel,Blepharoneuron,tricolepis,Blepharoneuron,tricholepis,na,1
kochmer,Boerhaavia,coccinea,Boerhavia ,coccinea,na,1
kochmer,Boerhaavia,erecta,Boerhavia ,erecta,na,1
bertel,Boerhavia,coccinea,Boerhavia,coccinea,na,2
bertel,Boerhavia,intermedia,Boerhavia,intermedia,na,2
kochmer,Boltona,asteroides,Boltonia ,asteroides,na,1
kochmer,Boltona,caroliniana,Boltonia ,caroliniana,na,1
kochmer,Bonamia,aquatica,Stylisma,aquatica,na,2
kochmer,Bonamia,humistrata,Stylisma,humistrata,na,2
kochmer,Bonamia,patens,Stylisma,patens,na,2
kochmer,Bonamia,pickeringii,Stylisma,pickeringii,na,2
bertel,Bothriochloa,barbinodis,Bothriochloa,barbinodis,na,2
bertel,Bouteloua,repens,Bouteloua,repens,na,2
bertel,Bouteloua,rothrockii,Bouteloua,rothrockii,na,2
bertel,Bouvardia,ternifolia,Bouvardia,ternifolia,na,2
kochmer,Boykinia,aconitifolia,Boykinia,aconitifolia,na,2
bertel,Brachiaria,arizonica,Urochloa,arizonica,na,2
fargo,Brauneria,angustifolia,Echinacea,angustifolia,na,2
bertel,Brickellia,betonicifolia,Brickellia,betonicifolia,na,1
bertel,Brickellia,parvula,Brickellia,parvula,na,2
bertel,Brickellia,venosa,Brickellia,venosa,na,2
bertel,Bromus,anomalus,Bromus,anomalus,na,2
fitter,Buddleia,davidii,Buddleja,davidii,na,1
bertel,Bulbostylis,funckii,Bulbostylis,funckii,na,2
kochmer,Cacalia,atriplicifolia,Arnoglossum,atriplicifolium,na,2
kochmer,Cacalia,lanceolata,Arnoglossum,ovatum,na,2
kochmer,Cacalia,muhlenbergii,Cacalia ,muehlenbergii,na,1
konza,Cacalia,plantaginea,Arnoglossum,plantagineum,na,2
kochmer,Cacalia,suaveolens,Hasteola,suaveolens,na,2
kochmer,Cakile,hakeli,Cakile,cakile,na,1
kochmer,Calepina,irregularis,Calepina,irregularis,na,2
bertel,Callitriche,heterophylla,Callitriche,heterophylla,na,2
gothic,Calochortus,gunnisonni,Calochortus,gunnisonii  ,na,1
kochmer,Calopogon,barbatus,Calopogon,barbatus,na,2
concord,Calopogon,pulchellis,Calopogon,pulchellus,na,1
konza,Calystegia,macounii,Calystegia,macounii,na,2
washdc,Calystegia,spithamea,Calystegia,spithamea,na,2
washdc,Camassia,leichtlinii,Camassia,leichtlinii,na,2
washdc,Camassia,scilloides,Camassia,scilloides,na,2
kochmer,Camassia,scilloides,Camassia,scilloides,na,2
kochmer,Camelina,microcarpa,Camelina,microcarpa,na,2
bertel,Camissonia,californica,Camissonia,californica,na,2
kochmer,Campanula,americana,Campanulastrum,americanum,na,2
konza,Campanulastrum,americanum,Campanulastrum,americanum,na,2
concord,Cannabis,sativam,Cannabis,sativa,na,1
fargo,Capsella,bursapastoris,Capsella ,bursa-pastoris,na,1
kochmer,Cardamine,arenicola,Cardamine,parviflora,na,2
washdc,Cardamine,bulbosa,Cardamine,bulbosa,na,2
kochmer,Cardamine,bulbosa,Cardamine,bulbosa,na,2
concord,Cardamine,bulbosus,Cardamine,bulbosa,na,1
washdc,Cardamine,douglassii,Cardamine,douglassii,na,2
kochmer,Cardamine,douglassii,Cardamine,douglassii,na,2
fargo,Cardamine ,bulbosa,Arabis ,bulbosa,na,1
kochmer,Carduus,altissimus,Cirsium,altissimum,na,2
kochmer,Carduus,carolinianus,Cirsium,carolinianum,na,2
kochmer,Carduus,discolor,Cirsium,discolor,na,2
kochmer,Carduus,lanceolatus,Cirsium,vulgare,na,2
kochmer,Carduus,lecontei,Cirsium,lecontei,na,2
kochmer,Carduus,nuttallii,Cirsium,nuttallii,na,2
kochmer,Carduus,repandus,Cirsium,repandum,na,2
kochmer,Carduus,virginianus,Cirsium,virginianum,na,2
fitter,Carex,acutiformis,Carex,acutiformis,na,2
washdc,Carex,blanda,Carex,blanda,na,2
fargo,Carex,blanda,Carex,blanda,na,2
fargo,Carex,deweyana ,Carex ,deweyana,na,1
fargo,Carex,eleocharis,Carex,duriuscula,na,2
fargo,Carex,gravida,Carex,gravida,na,2
fargo,Carex,laeviconica,Carex,laeviconica,na,2
arnell,Carex,montana,Carex,montana,na,2
bertel,Carnegiea,gigantea,Carnegiea,gigantea,na,2
konza,Cassia,chamaecrestia,Cassia,chamaecrista,na,1
kochmer,Cassia,hebecarpa,Senna,hebecarpa,na,2
concord,Cassia,hebecarpa,Senna,hebecarpa,na,2
kochmer,Cassia,obtusifolia,Senna,obtusifolia,na,2
harvard,Castanea,dentata,Castanea,dentata,na,2
gothic,Castilleja,linariifolia,Castilleja,linariifolia,na,1
sev,Castilleja,linariifolia,Castilleja,linariifolia,CALI4,1
gothic,Castilleja,sulphurea,Castilleja,sulphurea,na,2
fargo,Catalpa,bignoniodes,Catalpa ,bignonioides,na,1
konza,Ceanothus,herbaceous,Ceanothus,herbaceus,na,1
kochmer,Celasatrus,orbiculatus,Celastrus ,orbiculatus,na,1
kochmer,Celasatrus,scandens,Celastrus ,scandens,na,1
kochmer,Celtis,georgiana,Celtis,tenuifolia,na,2
arnell,Centarium,erythrea,Centaurium,erythraea,na,1
arnell,Centarium,pulchellum,Centaurium,pulchellum,na,1
kochmer,Centaurea,benedicta,Cnicus,benedictus,na,2
concord,Centaurium,umbellatum,Centaurium,erythraea,na,2
kochmer,Centella,asiatica,Centella,asiatica,na,2
kochmer,Ceratophyllum,echinatum,Ceratophyllum,echinatum,na,2
kochmer,Chaenorrhinum,minus,Chaenorhinum ,minus,na,1
fitter,Chaerophyllum,temulentum,Chaerophyllum,temulentum,na,2
bertel,Chaetopapa,ericoides,Chaetopappa,ericoides,na,1
washdc,Chamaelirium,luteum,Chamaelirium,luteum,na,2
kochmer,Chamaelirium,luteum,Chamaelirium,luteum,na,2
sev,Cheilanthes,eatonii,Cheilanthes,eatonii,CHEA,1
soederm,Cheledonium,majus,Chelidonium,majus,na,1
kochmer,Chelone,lyonii,Chelone,lyonii,na,1
concord,Chenopodium,boscianum,Chenopodium,berlandieri,na,2
bertel,Chenopodium,graveolens,Chenopodium,graveolens,na,2
kochmer,Chenopodium,leptophylloides,Chenopodium ,leptophyllum,na,1
concord,Chenopodium,paganum,Chenopodium,album,na,2
soederm,Chenopodium,sp.,Chenopodium,NA,na,1
kochmer,Chenopodium,standleyanum,Chenopodium,standleyanum,na,2
kochmer,Chondrophora,nudata,Bigelowia,nudata,na,2
concord,Chryosplenium,americanum,Chrysosplenium,americanum,na,1
kochmer,Chrysobalanus,oblongifolius,Licania,michauxii,na,2
fargo,Chrysothamnus,graveolens,Ericameria,nauseosa,na,2
kochmer,Cimicifuga,americana,Cimicifuga,americana,na,2
fargo,Circaea,latifolia,Circaea ,latifolia,na,1
gothic,Cirsium,,Cirsium,na,na,1
fitter,Cirsium,dissectum,Cirsium,dissectum,na,2
arnell,Cirsium,helenoides,Cirsium,helenioides,na,1
concord,Cirsium,pumilum,Cirsium,pumilum,na,2
bertel,Cissus,trifoliata,Cissus,trifoliata,na,2
kochmer,Cladrastis,lutea,Cladrastis,kentukea,na,2
kochmer,Clematis,crispa,Clematis,crispa,na,2
kochmer,Clematis,glaucophylla,Clematis,glaucophylla,na,2
konza,Clematis,pitcheri,Clematis,pitcheri,na,2
kochmer,Clematis,reticulata,Clematis,reticulata,na,2
kochmer,Cleome,gynandra,Cleome,gynandra,na,2
luquillo,clusia,gundlachii,clusia,calyptrata,na,1
bertel,Cnidoscolus,angustidens,Cnidoscolus,angustidens,na,2
kochmer,Cnidoscolus,stimulosus,Cnidoscolus,stimulosus,na,2
kochmer,Cocculus,carolinus,Cocculus,carolinus,na,2
concord,Colchium,autumnale,Colchicum,autumnale,na,1
fargo,Commandra,pallida,Commandra,pallida,na,1
washdc,Comptonia,peregrina,Comptonia,peregrina,na,2
concord,Comptonia,peregrina,Comptonia,peregrina,na,2
concord,Convolvulus,pellitus,Calystegia,pellita,na,2
fargo,Convolvulus,repens,Calystegia,sepium,na,2
concord,Coptis,groenlandica,Coptis,trifolia,na,2
kochmer,Corallorhiza,wisteriana,Corallorhiza,wisteriana,na,1
mohonk,Cornus,ÌÙorida,Cornus,florida,na,1
concord,Cornus,ammonum,Cornus,amomum,na,1
washdc,Cornus,amomum,Cornus,amomum,na,2
kochmer,Cornus,amomum,Cornus,amomum,na,2
kochmer,Cornus,asperifolia,Cornus,asperifolia,na,2
konza,Cornus,drummondii,Cornus,drummondii,na,2
washdc,Cornus,racemosa,Cornus,racemosa,na,2
uwm,Cornus,racemosa,Cornus,racemosa,na,2
kochmer,Cornus,racemosa,Cornus,racemosa,na,2
fargo,Cornus,racemosa,Cornus,racemosa,na,2
concord,Cornus,racemosa,Cornus,racemosa,na,2
concord,Cornus,rugosa,Cornus,rugosa,na,2
kochmer,Cornus,stricta,Cornus,foemina,na,2
arnell,Cornus,suecica,Cornus,suecica,na,2
kochmer,Corydalis,australis,Corydalis,micrantha,na,1
arnell,Corydalis,intermedia,Corydalis,intermedia,na,2
kochmer,Corydalis,sempervirens,Corydalis,sempervirens,na,2
concord,Corydalis,sempervirens,Corydalis,sempervirens,na,2
soederm,Corydalis,sp.,Corydalis,NA,na,1
bertel,Cosmos,parviflorus,Cosmos,parviflorus,na,2
fargo,Cotoneaster,acutifolius ,Cotoneaster ,acutifolius,na,1
arnell,Crassula,aquatica,Crassula,aquatica,na,2
washdc,Crataegus,crus-gallii,Crataegus,crus-galli,na,1
kochmer,Crataegus,flabellata,Crataegus,flabellata,na,2
kochmer,Crataegus,flava,Crataegus,flava,na,2
concord,Crataegus,macrosperma,Crataegus,macrosperma,na,2
washdc,Crataegus,phaenopyrum,Crataegus,phaenopyrum,na,2
kochmer,Crataegus,phaenopyrum,Crataegus,phaenopyrum,na,2
uwm,Crataegus,sp.,Crataegus,na,na,1
uwm,Crataegus,spp.,Crataegus,NA,na,1
kochmer,Crataegus,uniflora,Crataegus,uniflora,na,2
konza,Crategus,molle,Crataegus,mollis,na,1
kochmer,Crepis,pulchra,Crepis,pulchra,na,2
concord,Crotolaria,sagittalis,Crotalaria,sagittalis,na,1
konza,Croton,monanthogynus,Croton,monanthogynus,na,2
kochmer,Croton,monanthogynus,Croton,monanthogynus,na,2
kochmer,Croton,septentrionalis,Croton ,glandulosus,na,1
kochmer,Crotonopsis,elliptica,Croton,willdenowii,na,2
kochmer,Crotonopsis,linearis,Croton,michauxii,na,2
bertel,Cryptantha,angustifolia,Cryptantha,angustifolia,na,2
bertel,Cryptantha,barbigera,Cryptantha,barbigera,na,2
kochmer,Cunila,origanoides,Cunila,origanoides,na,2
kochmer,Cuscuta,,Cuscuta ,na,na,1
kochmer,Cuscuta,cephalanthii,Cuscuta ,cephalanthi,na,1
kochmer,Cuscuta,corylii,Cuscuta ,coryli,na,1
concord,Cuscuta,polygonorum,Cuscuta,polygonorum,na,2
kochmer,Cycloloma,artriplicifolium,Cycloloma ,atriplicifolium,na,1
bci,cydista,aequinoctalis,cydista,aequinoctialis,na,1
soederm,Cydonia,vulgaris,Cydonia,oblonga,na,2
bertel,Cylindropuntia,fulgida,Cylindropuntia,fulgida,na,2
bertel,Cynanchum,arizonicum,Cynanchum,arizonicum,na,2
concord,Cynanchum,nigrum,Cynanchum,louiseae,na,2
arnell,Cynosuras,cristatus,Cynosurus,cristatus,na,1
bertel,Cyperus,dipsaceus,Cyperus,dipsaceus,na,2
bertel,Cyperus,pringlei,Cyperus,mutisii,na,2
fargo,Cyperus,schweinitzii,Cyperus,schweinitzii,na,2
concord,Cypredium ,acaule,Cypripedium,acaule,na,1
kochmer,Cypripdeium,acaule,Cypripedium ,acaule,na,1
kochmer,Cypripdeium,pubescens,Cypripedium ,pubescens,na,1
kochmer,Cypripdeium,reginae,Cypripedium ,reginae,na,1
washdc,Cypripedium,acaule,Cypripedium,acaule,na,2
fargo,Cypripedium,candidum,Cypripedium,candidum,na,2
washdc,Cypripedium,pubescens,Cypripedium,pubescens,na,2
fargo,Cypripedium,pubescens,Cypripedium,pubescens,na,2
fargo,Dalea,alopecurioides,Dalea ,alopecuroides,na,1
sev,Dalea,brachystachya,Dalea,brachystachya,DABR,1
konza,Dalea,candida,Dalea,candida,na,2
konza,Dalea,multiflora,Dalea,multiflora,na,2
konza,Dalea,purpurea,Dalea,purpurea,na,2
kochmer,Dalibarda,repens,Dalibarda,repens,na,2
washdc,Danthonia,compressa,Danthonia,compressa,na,2
kochmer,Dasistoma,macrophylla,Dasistoma,macrophylla,na,2
bertel,Dasyochloa,pulchella,Dasyochloa,pulchella,na,2
sev,Dasyocholoa,pulchella,Dasyochloa,pulchella,DAPU7,1
kochmer,Daubentonia,punicea,Sesbania,punicea,na,2
washdc,Delphinium,ajacis,Consolida,ajacis,na,2
gothic,Delphinium,barbeyi,Delphinium,barbeyi,na,2
konza,Delphinium,virescens,Delphinium,carolinianum,na,2
fargo,Delphinium,virescens,Delphinium,carolinianum,na,2
sev,Delphinium,wootonii,Delphinium,wootonii,DEWO,1
kochmer,Delphinum,ajacis,Delphinium ,ajacis,na,1
kochmer,Delphinum,carolinianum,Delphinium ,carolinianum,na,1
kochmer,Delphinum,exaltatum,Delphinium ,exaltatum,na,1
kochmer,Delphinum,tricorne,Delphinium ,tricorne,na,1
concord,Dentaria,diphylla,Cardamine,diphylla,na,2
washdc,Dentaria,heterophylla,Cardamine,angustata,na,2
arnell,Deschampsia,bottnica,Deschampsia,bottnica,na,2
arnell,Descuarinia,sophia,Descurainia,sophia,na,1
konza,Desmanthus,illinoensis,Desmanthus,illinoensis,na,2
kochmer,Desmanthus,illinoensis,Desmanthus,illinoensis,na,2
bertel,Desmodium,batocaulon,Desmodium,batocaulon,na,2
bertel,Desmodium,grahamii,Desmodium,grahamii,na,1
konza,Desmodium,illinoense,Desmodium,illinoense,na,2
kochmer,Desmodium,nuttallii,Desmodium,nuttallii,na,2
kochmer,Desmodium,obtusum,Desmodium,obtusum,na,2
konza,Desmodium,sessillifolium,Desmodium,sessilifolium,na,1
konza,Dicanthelium,oligosanthes,Dichanthelium,oligosanthes,na,1
kochmer,Dichondra,carlinensis,Dichondra ,carolinensis,na,1
kochmer,Diervillia,lonicera,Diervilla ,lonicera,na,1
kochmer,Diervillia,sessilifolia,Diervilla ,sessilifolia,na,1
bertel,Dieteria,asteroides,Psilactis,asteroides,na,2
kochmer,Diospyros,viriginiana,Diospyros ,virginiana,na,1
kochmer,Disporum,maculatum,Disporum,maculatum,na,2
fargo,Distichlis,stricta,Distichlis,spicata,na,2
bertel,Ditaxis,neomexicana,Argythamnia,neomexicana,na,2
bertel,Drymaria,molluginea,Drymaria,molluginea,na,2
gothic,Dugaldia,hoopesii,Hymenoxys,hoopesii,na,2
kochmer,Dyschoriste,humistrata,Dyschoriste,humistrata,na,2
kochmer,Dyschoriste,oblongifolia,Dyschoriste,oblongifolia,na,2
konza,Dyssodia,papposa,Dyssodia,papposa,na,2
konza,Echinacea,angustifolia,Echinacea,angustifolia,na,2
bertel,Echinochloa,colona,Echinochloa,colona,na,2
sev,Echinochloa,crus-gallii,Echinochloa,crus-gallii,ECCRC,1
fargo,Echinochloa ,crusgalli,Echinochloa ,crus-galli,na,1
fargo,Elaeagnus ,angustifolia,Elaeagnus ,angustifolia,na,1
kochmer,Elephantopus,nudatus,Elephantopus,nudatus,na,2
fargo,Elsholtzia,stauntonii,Elsholtzia ,stauntoni,na,1
washdc,Enemion,biternatum,Enemion,biternatum,na,2
bertel,Enneapogon,desvauxii,Enneapogon,desvauxii,na,2
kochmer,Epilobium,augustifolium,Epilobium ,angustifolium,na,1
gothic,Epilobium,brachycarpum,Epilobium,brachycarpum,na,2
gothic,Epilobium,lactiflorum,Epilobium,lactiflorum,na,2
fitter,Epipactis,purpurata,Epipactis,purpurata,na,2
bertel,Eragrostis,cillianensis,Eragrostis,cilianensis,na,1
bertel,Eragrostis,echinochloidea,Eragrostis,echinochoidea,na,1
fargo,Eragrostis,hypnoides,Eragrostis,hypnoides,na,2
kochmer,Erechtites,hieracifolia,Erechtites,hieracifolia,na,2
