Genus,Species
Acer,barbatum
Acer,pensylvanicum
Acer,rubrum
Acer,saccharum
Acer,spp
Achillea,millefolium
Amaranthus,deflexus
Amaranthus,retroflexus
Ambrosia,psilostchya
Amelanchier,grandifolia
Andropogon,gerardii
Artemesia,annua
Artemesia,tridentata
Artemesia,vulgaris
Avena,NA
Betula,alleghaniensis
Betula,lenta
Betula,papyrifera
Betula,spp
Bromus,diandrus
Bromus,hordeaceus
Campanula,rotundifolia
Carya ,spp
Carya,glabra
Carya,ovata
Carya,tomentosa
Castanea,dentata
Cercis,canadensis
Chimaphila,maculata
Claytonia,lanceolata
Cornus,florida
Crepis,vessicaria
Delphinium,nelsonii
Diospyros,virginiana
Erigeron,strigosus
Eriogonum,subalpinum
Erodium,brachycarpum
Erythronium,grandiflorum
Fagus,grandifolia
Fraxinus,americana
Geranium,dissectum
Hexastylis,arifolia
Hieracium,venosum
Ilex,opaca
Ilex,vomitoria
Ipomopsis,aggregata
Juniperus,virginiana
Lathyrus,leucanthus
Liquidambar,styraciflua
Liriodendron,tulipifera
Lolium,multiflorum
Lolium,perenne
Lolium,rigidum
Magnolia,grandiflora
Magnolia,spp
Magnolia,virginiana
Mertensia,fusiformes
Nyssa,sylvatica
Oxydendrum,arboreum
Panicum,virgatum
Pinus,echinata
Pinus,palustris
Pinus,resinosa
Pinus,spp
Pinus,strobus
Pinus,taeda
Pinus,virginiana
Potentilla,gracilis
Prunus,pensylvanica
Prunus,serotina
Prunus,spp
Quercus,alba
Quercus,coccinea
Quercus,falcata
Quercus,laurifolia
Quercus,nigra
Quercus,phellos
Quercus,rubra
Quercus,spp
Quercus,stellata
Quercus,velutina
Schizachyrium,scoparium
Setaria,parviflora
Setaria,viridis
Sorbus,americana
Thalictrum,thalictroides
Tipularia,discolor
Ulmus,americana
Ulmus,spp
Unknown,Unknown
Vaccinium,corymbosum
Vaccinium,pallidum
Vaccinium,stamineum
Vaccinium,vacillans
Viburnum,acerifolium
Viburnum,lentago
Vicia,sativa
Vulpia,myuros
