"x"
"Acer pensylvanicum"
"Acer rubrum"
"Acer saccharum"
"Betula alleghaniensis"
"Betula lenta"
"Betula papyrifera"
"Carya glabra"
"Carya ovata"
"Carya tomentosa"
"Castanea dentata"
"Cercis canadensis"
"Cornus florida"
"Cornus racemosa"
"Diospyros virginiana"
"Fagus grandifolia"
"Fraxinus americana"
"Hamamelis virginiana"
"Ilex opaca"
"Ilex verticillata"
"Juniperus virginiana"
"Liquidambar styraciflua"
"Liriodendron tulipifera"
"Magnolia virginiana"
"Nyssa sylvatica"
"Ostrya virginiana"
"Pinus strobus"
"Pinus taeda"
"Pinus virginiana"
"Populus grandidentata"
"Populus tremuloides"
"Prunus pensylvanica"
"Prunus serotina"
"Quercus alba"
"Quercus coccinea"
"Quercus falcata"
"Quercus nigra"
"Quercus phellos"
"Quercus rubra"
"Quercus stellata"
"Quercus velutina"
"Rhus glabra"
"Sambucus canadensis"
"Sassafras albidum"
"Ulmus americana"
"Ulmus rubra"
"Viburnum lentago"
"Viburnum prunifolium"
