"","clim_gdd0_JFM","clim_gdd5_JFM","clim_gdd0_JanMay","clim_gdd5_JanMay","clim_prec_OctMar","clim_prec_AprSep","clim_tmean_warm","clim_tmean_cold","clim_chill_SOND"
"acerpens",72.3926526381016,14.9839207106122,639.93404368762,313.064727129978,500.891852916392,564.768895212196,19.858730659648,-7.50266445049347,57.6390375339162
"acersacr",175.261786333746,53.0122461858466,888.347036360547,479.125724541058,459.02768290722,562.432777715622,21.7883792374034,-4.41245079318772,47.5159628351641
"betualle",64.9798165558355,12.6130599265625,615.80257316975,297.785710373592,484.877739611856,544.395123866191,19.7444576993227,-7.78441162133153,58.1647271630992
"betulent",214.539952609358,64.5992683493893,953.527073284747,510.04342572045,484.620883409401,585.112722571981,21.8695836304176,-2.70463546982343,42.9501596226235
"caryglab",610.429713091471,296.361566669735,1642.73909723526,1024.75720884601,571.186766814257,641.222217625291,25.2690049721359,3.37386098775992,22.5039531102935
"caryovat",540.293043893002,245.217362535735,1557.04309850299,957.931079401532,564.719371920495,618.682099480205,25.3313890171763,2.19649821166299,25.8387182158165
"carytome",530.075059283784,238.962712117269,1530.25004318693,935.527168075234,552.090219758073,621.314229136749,25.0711858508112,2.15154324331462,25.9549062658335
"castdent",327.214539515573,117.651660941322,1158.15887213502,649.419355476706,512.941130426482,603.22123641773,22.8760410030194,-0.625412195567655,36.2225767772878
"cerccana",765.655841743334,401.759180330176,1913.24200077188,1244.46140752089,584.5583245434,629.895268017201,26.9257081920457,5.28009188677846,16.1494264663145
"cornflor",748.793856512101,391.462530643382,1864.37431912739,1202.28855116423,603.802921601901,660.971376671601,26.177332683942,5.26282991645718,16.8504985337243
"cornrace",140.540151422184,36.0505802026264,864.362039701855,469.656628495524,357.163185374802,552.454792599066,22.1776756740201,-5.40476753377729,49.3730211300258
"diosvirg",808.84068436619,436.636146796671,1956.35999639902,1279.29508644728,628.337263053344,670.377799212834,26.4540913877144,6.05208349768689,14.7427138034509
"fagugran",572.905940127794,274.932086817689,1577.7301362141,976.735322839417,569.361069689769,636.830295392839,24.9808075123896,2.83863625559505,24.2739192710317
"fraxamer",345.666745322529,138.290895901503,1203.93574217534,698.809548588745,509.403651547588,592.042472742422,23.4862278196075,-0.869671440361611,36.004614026641
