"","clim_gdd0_JFM","clim_gdd5_JFM","clim_gdd0_JanMay","clim_gdd5_JanMay","clim_prec_OctMar","clim_prec_AprSep","clim_tmean_warm","clim_tmean_cold","clim_chill_SOND"
"acerpens",406.536330371913,149.370034807333,1261.10920018243,700.567848006018,582.310618688324,635.170463069793,22.3118116304785,0.872540755997292,32.9949869224063
"acersacr",549.639586490158,241.890673219399,1537.76153618642,925.347842746812,681.397728304806,660.052539939463,24.6106961378158,2.72861929513532,25.2639834270494
"betualle",414.73576373605,155.085426111063,1285.03603253286,721.852897640717,576.82021730412,631.239612396427,22.654873124599,0.932939266292461,32.5160200523104
"betulent",517.225625260876,217.940063860493,1450.371137272,846.82781492664,668.948654336148,670.582284782164,23.413312587738,2.47445966895914,27.5338709677419
"caryglab",1331.68335243028,884.104030448656,2688.96271388671,1936.38338827534,544.15711381042,853.099584116393,27.7125564536336,12.8961851039128,0.81748726655348
"caryovat",1399.69041285361,949.039977781234,2677.33145417244,1921.6810268279,177.342886250332,604.788513565063,22.1741372123841,13.6192936158949,0.245161290322581
"carytome",1105.22551605964,670.53650084663,2394.81372306509,1655.12471278892,627.84118065447,717.351123851407,27.7485841463719,9.86851229966882,3.82707191684086
"castdent",872.983670009568,477.786049471229,2055.63805589808,1355.44769282422,713.761455380045,663.719974359609,26.7784919284639,6.89003464817325,11.9196108550947
"cerccana",1454.2050399482,1004.04600415272,2788.13036609698,2032.97194722344,119.125474368111,465.10894959227,23.2554884299505,14.1076091237199,0.459799608993157
"cornflor",1396.10441786243,944.895056693785,2574.80297851562,1818.59360331874,289.898014881572,1032.84853313815,19.5237295127684,13.8899542670096,0.0201612903225806
"cornrace",439.45441126922,166.488184812939,1425.30468029762,847.953216430731,472.873892091011,604.057833431508,25.3530653003559,0.710165467988955,30.2275985663082
"diosvirg",1702.64018894578,1251.45139087619,3172.37969773816,2416.19089890174,395.98613460498,953.37036668554,28.1129427597357,17.6245397255255,0.0066213921901528
"fagugran",1379.30303536692,928.100499060846,2600.35623316611,1844.15365994361,272.545892107682,881.29447555542,20.5783846570599,13.4331251229009,0.0161290322580645
"fraxamer",1035.59703768481,610.041833620778,2304.66011609056,1574.10533490517,655.093230275941,672.468064153578,27.7705652363625,8.90383961363305,5.80639390616885
"hamavirg",1566.86793736049,1115.71246337891,2982.25566698769,2226.10021832022,180.483502544341,620.500395146383,25.207401433848,15.4788085326621,0.0253456221198157
"ilexopac",1362.44916517196,913.213583062285,2737.93110161238,1983.69551366991,521.435356223779,829.983224796992,27.8923554533271,13.247302826502,0.370564516129032
"ilexvert",941.014647037611,529.46070270702,2151.23553262684,1434.68429971849,659.014420991698,683.144005898789,26.9712291222488,7.881711841371,8.8620893755549
"junivirg",1016.00798545818,591.174041735094,2279.80839784684,1549.97481267141,605.501169720128,633.030481409992,27.9138192520201,8.63725460265832,5.94717252187541
"liqustyr",1815.87694406817,1364.66788284372,3214.57280698152,2458.36373741044,578.372830188581,1562.10052684309,23.0892492208613,19.0234622819083,0.00253456221198157
"lirituli",1175.82163305007,735.486599759572,2481.89462322464,1736.55958534755,626.632868393802,794.169518367286,27.5471967237486,10.8597747330567,2.59954964390448
"magnvirg",1645.49336379602,1194.3362464256,3096.75535706103,2340.59823780228,407.919141131542,941.502347598258,28.0032968546288,16.92188459869,0.0102639296187683
"nysssylv",1361.31724314536,910.159790131354,2509.87096109698,1753.71351888103,391.153376313507,1075.62037301833,19.1003409614486,13.5526329432764,0.0483870967741935
"pinustrb",478.133369747844,192.07032694495,1396.47177885844,806.315290884538,594.298926424518,637.833839626256,23.3619190631025,1.90792892559239,28.9733321114369
"pinutaed",1298.97177023455,851.675526797564,2657.22629461955,1904.93004698276,536.622315199283,789.341484135335,27.9798318763763,12.3863079514131,0.72360176375029
"pinuvirg",842.997946388491,459.399072364069,2003.68128701487,1315.08601763325,710.953002754587,649.650187609273,26.6261638856703,6.49018722379941,13.8338709677419
