"","clim_gdd0_JFM","clim_gdd5_JFM","clim_gdd0_JanMay","clim_gdd5_JanMay","clim_prec_OctMar","clim_prec_AprSep","clim_tmean_warm","clim_tmean_cold","clim_chill_SOND"
"acerpens",83.2239872101814,12.4999089394846,717.03575281943,357.405503795993,494.430908203125,603.140336559665,20.5508859695927,-5.23634862659439,52.5322580645161
"acersacr",180.562043712985,46.8494252850932,902.578118108934,477.754060314548,483.906694506035,616.577090355658,21.6096499350763,-3.000375712711,44.1612903225806
"betualle",41.6114871117377,5.36434296638735,566.27296890751,260.798829601657,514.575415064077,613.450253394342,18.7989901573427,-7.45756430010642,61.8225806451613
"betulent",150.402275823778,35.7575304585118,830.976729854461,426.815130910566,470.653726671563,579.861451671969,20.9853991539248,-3.81123154922839,48.3709677419355
"caryglab",432.450946438697,153.405351700321,1275.08143861832,692.239814019972,677.695033339203,713.419945501512,21.5691659373622,1.7271507013469,32.2258064516129
"caryovat",865.390941989037,469.955475345735,2026.27377811555,1325.83833559098,695.491171915023,656.548437795331,26.4057619340958,6.93510228539667,12.5
"carytome",481.421889274351,195.09522468813,1444.54951329385,853.528249432964,599.222195609671,644.100015947896,24.529763098686,1.68623825871656,29.1612903225806
"castdent",390.280433408676,139.253596152029,1264.80524666079,709.829208866242,484.56318064205,577.537475093719,23.0318516146752,0.699385151154392,31.9838709677419
"cerccana",1036.19898543819,604.274112332252,2292.4862218057,1555.56136002079,751.225047877577,734.865334295457,27.1925743779828,9.03022464629142,4.88709677419355
"cornflor",1060.60835512223,628.257996097688,2327.59460252331,1590.24422134892,680.440830043105,751.776490734469,27.4240630365187,9.40268545766031,4.67741935483871
"cornrace",99.857910648469,19.7066094183153,795.638015254851,424.171475810389,335.345772352375,497.834649362872,21.700167932818,-5.17227511047836,51.2258064516129
"diosvirg",875.371578093498,480.107954948179,2046.9096148091,1346.64601184476,703.252338597032,651.567998578471,26.5867702114967,6.99479360445853,12.2258064516129
"fagugran",956.324392995527,526.47693264869,2169.10121204007,1434.25376055318,498.219806858751,732.596165810862,27.1481534281085,8.42944760476389,4.51612903225806
"fraxamer",224.720204507151,63.978268038842,921.356770177041,463.592860560263,504.743546407731,616.889743927986,20.1909603303479,-2.25450173296755,46.1935483870968
"hamavirg",758.818323443013,379.33111375378,1878.67579503213,1194.18885754001,561.165973225578,613.964539066438,26.3037645586075,5.7740101482599,15.9032258064516
"ilexopac",692.238944268996,331.140834685295,1747.95320572392,1081.93626354587,733.806149592165,688.340167137884,25.2057810444986,4.94613368304506,18.3387096774194
"ilexvert",362.758452876922,118.960647090789,1262.91810657132,714.988822690902,517.192623451108,588.928145377867,24.8788231880434,0.825531129424851,29.4354838709677
"junivirg",433.224993305822,163.178112399194,1441.09178112399,866.225296512727,570.226562249856,609.981887817383,25.6737534615301,0.662803592385664,29.741935483871
"liqustyr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lirituli",416.668068178238,149.195976503434,1274.68045142389,703.073305191532,530.517957843718,611.235929919827,22.1632571374216,1.12951971818843,32.4677419354839
"magnvirg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nysssylv",1124.97784128497,684.687032884167,2410.94445407006,1665.65356445312,635.821696297067,805.892293130198,27.5000145819879,10.256642118577,2.67741935483871
"pinustrb",41.6114871117377,5.36434296638735,566.27296890751,260.798829601657,514.575415064077,613.450253394342,18.7989901573427,-7.45756430010642,61.8225806451613
"pinutaed",791.645216418851,422.309198687153,1925.64695690524,1251.31291149509,734.076903296299,660.162108882781,26.3645627114081,5.80820642748187,15.4032258064516
"pinuvirg",442.637414747669,165.416468958701,1321.70951006489,740.227861958165,526.611719725562,620.026126000189,22.5891035141483,1.54968482832755,30.6129032258065
"popugran",75.4682449833039,13.4888783116494,621.267047512916,290.877024988974,463.797161414975,551.687143141223,19.452910207933,-5.8407651195603,55.8387096774194
"queralba",460.249794744676,184.468765751008,1415.97307758947,835.866959110383,496.919848707856,599.001194123299,24.3661836193454,1.34492337744262,28.6129032258065
"quercocc",334.66921160298,112.548540669103,1142.2283394106,617.690220002205,480.237665145124,584.926084949124,21.7157893027029,-0.429994353844273,36.8709677419355
"querfalc",696.747468025454,346.641901323872,1770.90201888546,1115.82568556263,738.743200583536,679.970554474861,25.6969243326495,4.69501117857233,18.8225806451613
"quernigr",847.674547749181,465.119133241715,2007.90945729902,1320.35472648375,712.87239074707,651.416895220357,26.6365445660007,6.53508123641293,13.9516129032258
"querphel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"querrubr",184.800137427545,50.6471670827558,875.01555116715,448.825925765499,484.867080938621,614.630503500662,20.6386536936606,-3.18424073174115,47.3387096774194
