"","V1","V2","V3","V4","V5","V6"
"62007","mohonk","Kalmia","latifolia","ffd",1965,160
"62008","mohonk","Sambucus","racemosa","ffd",1965,132
"62009","mohonk","Amelanchier","arborea","ffd",1966,124
"62010","mohonk","Kalmia","latifolia","ffd",1966,160
"62011","mohonk","Thalictrum","thalictroides","ffd",1966,124
"62012","mohonk","Amelanchier","arborea","ffd",1967,124
"62013","mohonk","Aquilegia","canadensis","ffd",1967,143
"62014","mohonk","Erythronium","americanum","ffd",1967,110
"62015","mohonk","Hedyotis","caerulea","ffd",1967,128
"62016","mohonk","Kalmia","latifolia","ffd",1967,165
"62017","mohonk","Polygala","paucifolia","ffd",1967,144
"62018","mohonk","Rhododendron","nudiflorum","ffd",1967,144
"62019","mohonk","Sambucus","racemosa","ffd",1967,137
"62020","mohonk","Sanguinaria","canadensis","ffd",1967,110
"62021","mohonk","Thalictrum","thalictroides","ffd",1967,123
"62022","mohonk","Trillium","erectum","ffd",1967,123
"62023","mohonk","Viburnum","acerifolium","ffd",1967,165
"62024","mohonk","Amelanchier","arborea","ffd",1968,118
"62025","mohonk","Caltha","palustris","ffd",1968,111
"62026","mohonk","Erythronium","americanum","ffd",1968,110
"62027","mohonk","Hedyotis","caerulea","ffd",1968,110
"62028","mohonk","Hepatica","acutiloba","ffd",1968,101
"62029","mohonk","Kalmia","latifolia","ffd",1968,158
"62030","mohonk","Polygala","paucifolia","ffd",1968,117
"62031","mohonk","Rhododendron","nudiflorum","ffd",1968,130
"62032","mohonk","Thalictrum","thalictroides","ffd",1968,107
"62033","mohonk","Trillium","undulatum","ffd",1968,117
"62034","mohonk","Viburnum","acerifolium","ffd",1968,147
"62035","mohonk","Amelanchier","arborea","ffd",1969,116
"62036","mohonk","Aquilegia","canadensis","ffd",1969,126
"62037","mohonk","Cornus","florida","ffd",1969,133
"62038","mohonk","Kalmia","latifolia","ffd",1969,155
"62039","mohonk","Rhododendron","nudiflorum","ffd",1969,137
"62040","mohonk","Sambucus","racemosa","ffd",1969,123
"62041","mohonk","Thalictrum","thalictroides","ffd",1969,110
"62042","mohonk","Trillium","erectum","ffd",1969,119
"62043","mohonk","Trillium","undulatum","ffd",1969,119
"62044","mohonk","Viburnum","lantanoides","ffd",1969,122
"62045","mohonk","Cornus","florida","ffd",1970,126
"62046","mohonk","Hedyotis","caerulea","ffd",1970,118
"62047","mohonk","Kalmia","latifolia","ffd",1970,155
"62048","mohonk","Polygala","paucifolia","ffd",1970,125
"62049","mohonk","Amelanchier","arborea","ffd",1971,127
"62050","mohonk","Kalmia","latifolia","ffd",1971,161
"62051","mohonk","Sambucus","racemosa","ffd",1971,136
"62052","mohonk","Sanguinaria","canadensis","ffd",1971,108
"62053","mohonk","Amelanchier","arborea","ffd",1972,127
"62054","mohonk","Kalmia","latifolia","ffd",1972,159
"62055","mohonk","Polygala","paucifolia","ffd",1972,135
"62056","mohonk","Rhododendron","nudiflorum","ffd",1972,142
"62057","mohonk","Rhododendron","indicum","ffd",1972,196
"62058","mohonk","Amelanchier","arborea","ffd",1973,113
"62059","mohonk","Kalmia","latifolia","ffd",1973,159
"62060","mohonk","Polygala","paucifolia","ffd",1973,127
"62061","mohonk","Rhododendron","nudiflorum","ffd",1973,130
"62062","mohonk","Rhododendron","indicum","ffd",1973,174
"62063","mohonk","Sambucus","racemosa","ffd",1973,121
"62064","mohonk","Amelanchier","arborea","ffd",1974,111
"62065","mohonk","Aquilegia","canadensis","ffd",1974,121
"62066","mohonk","Erythronium","americanum","ffd",1974,108
"62067","mohonk","Hedyotis","caerulea","ffd",1974,121
"62068","mohonk","Sanguinaria","canadensis","ffd",1974,108
"62069","mohonk","Thalictrum","thalictroides","ffd",1974,115
"62070","mohonk","Trillium","undulatum","ffd",1974,127
"62071","mohonk","Viburnum","acerifolium","ffd",1974,172
"62072","mohonk","Viburnum","lantanoides","ffd",1974,127
"62073","mohonk","Amelanchier","arborea","ffd",1975,124
"62074","mohonk","Hepatica","acutiloba","ffd",1975,113
"62075","mohonk","Kalmia","latifolia","ffd",1975,154
"62076","mohonk","Polygala","paucifolia","ffd",1975,134
"62077","mohonk","Rhododendron","nudiflorum","ffd",1975,138
"62078","mohonk","Trillium","undulatum","ffd",1975,138
"62079","mohonk","Viburnum","acerifolium","ffd",1975,151
"62080","mohonk","Viburnum","lantanoides","ffd",1975,138
"62081","mohonk","Amelanchier","arborea","ffd",1976,107
"62082","mohonk","Aquilegia","canadensis","ffd",1976,116
"62083","mohonk","Caltha","palustris","ffd",1976,118
"62084","mohonk","Hedyotis","caerulea","ffd",1976,110
"62085","mohonk","Hepatica","acutiloba","ffd",1976,105
