"Site","orig.Genus","orig.Species","clean.Genus","clean.Species"
"marchin","Acer","rubrum","Acer","rubrum"
"bace","Acer","rubrum","Acer","rubrum"
"farnsworth","Acer","pensylvanicum","Acer","pensylvanicum"
"farnsworth","Acer","rubrum","Acer","rubrum"
"clarkduke","Acer","barbatum","Acer","saccharum"
"clarkduke","Acer","rubrum","Acer","rubrum"
"clarkduke","Acer","sp","Acer",NA
"clarkharvard","Acer","barbatum","Acer","saccharum"
"clarkharvard","Acer","rubrum","Acer","rubrum"
"clarkharvard","Acer","sp","Acer",NA
"force","Acer","rubrum","Acer","rubrum"
"force","Acer","saccharum","Acer","saccharum"
"ellison","Acer","pensylvanicum","Acer","pensylvanicum"
"ellison","Acer","rubrum","Acer","rubrum"
"sherry","Achillea","millefolium","Achillea","millefolium"
"dunne","Achillea","sp","Achillea",NA
"force","Actea","racemosa","Actaea","racemosa"
"force","Alliaria","petiolata","Alliaria","petiolata"
"force","Allium","vineale","Allium","vineale"
"chuine","Amaranthus","deflexus","Amaranthus","deflexus"
"chuine","Amaranthus","retroflexus","Amaranthus","retroflexus"
"sherry","Ambrosia","psilostchya","Ambrosia","psilostachya"
"force","Ambrosia","artemisiifolia","Ambrosia","artemisiifolia"
"farnsworth","Amelanchier","grandifolia","Amelanchier","amabilis"
"force","Amphicarpa","bracteata","Amphicarpaea","bracteata"
"sherry","Andropogon","gerardii","Andropogon","gerardii"
"force","Anemone","americana","Anemone","americana"
"force","Arctium","minus","Arctium","minus"
"price","Artemesia","tridentata","Artemisia","tridentata"
"chuine","Artemesia","annua","Artemisia","annua"
"chuine","Artemesia","vulgaris","Artemisia","vulgaris"
"dunne","Artemisia","tridentata","Artemisia","tridentata"
"force","Asclepias","quadrifolia","Asclepias","quadrifolia"
"cleland","Avena",NA,"Avena",NA
"bace","Betula","lenta","Betula","lenta"
"clarkduke","Betula","alleghaniensis","Betula","alleghaniensis"
"clarkharvard","Betula","alleghaniensis","Betula","alleghaniensis"
"clarkharvard","Betula","lenta","Betula","lenta"
"clarkharvard","Betula","papyrifera","Betula","papyrifera"
"clarkharvard","Betula","sp","Betula",NA
"force","Betula","lenta","Betula","lenta"
"ellison","Betula","lenta","Betula","lenta"
"force","Boehmeria","cylindrica","Boehmeria","cylindrica"
"cleland","Bromus","diandrus","Bromus","diandrus"
"cleland","Bromus","hordeaceus","Bromus","hordeaceus"
"price","Campanula","rotundifolia","Campanula","rotundifolia"
"force","Carduus","acanthoides","Carduus","acanthoides"
"marchin","Carya","tomentosa","Carya","tomentosa"
"clarkduke","Carya","glabra","Carya","glabra"
"clarkduke","Carya","ovata","Carya","ovata"
"clarkduke","Carya","sp","Carya",NA
"clarkduke","Carya","tomentosa","Carya","tomentosa"
"clarkharvard","Carya","glabra","Carya","glabra"
"force","Carya","ovata","Carya","ovata"
"force","Carya","sp","Carya",NA
"force","Carya","tomentosa","Carya","tomentosa"
"farnsworth","Castanea","dentata","Castanea","dentata"
"force","Ceanothus","americana","Ceanothus","americanus"
"force","Celastrus","orbiculatus","Celastrus","orbiculatus"
"clarkduke","Cercis","canadensis","Cercis","canadensis"
"marchin","Chimaphila","maculata","Chimaphila","maculata"
"force","Circaea","canadensis","Circaea","canadensis"
"force","Cirsium","arvense","Cirsium","arvense"
"force","Cirsium","vulgare","Cirsium","vulgare"
"price","Claytonia","lanceolata","Claytonia","lanceolata"
"dunne","Claytonia","lanceolata","Claytonia","lanceolata"
"force","Clematis","virginiana","Clematis","virginiana"
