"Site","orig.Genus","orig.Species","clean.Genus","clean.Species"
"washdc","Abutilon","theophrasti","Abutilon","theophrasti"
"concord","Acalypha","rhomboidea","Acalypha","rhomboidea"
"fitter","Acer","campestre","Acer","campestre"
"fitter","Acer","platanoides","Acer","platanoides"
"fitter","Acer","pseudoplatanus","Acer","pseudoplatanus"
"harvard","Acer","pensylvanicum","Acer","pensylvanicum"
"harvard","Acer","rubrum","Acer","rubrum"
"harvard","Acer","saccharum","Acer","saccharum"
"hubbard","Acer","saccharum","Acer","saccharum"
"konza","Acer","negundo","Acer","negundo"
"mikesell","Acer","negundo","Acer","negundo"
"mikesell","Acer","saccharinum","Acer","saccharinum"
"mikesell","Acer","saccharum","Acer","saccharum"
"concord","Acer","campestre","Acer","campestre"
"concord","Acer","negundo","Acer","negundo"
"concord","Acer","pensylvanicum","Acer","pensylvanicum"
"marsham","Acer","campestre","Acer","campestre"
"marsham","Acer","pseudoplatanus","Acer","pseudoplatanus"
"fargo","Acer","ginnala","Acer","ginnala"
"fargo","Acer","negundo","Acer","negundo"
"fargo","Acer","saccharinum","Acer","saccharinum"
"fargo","Acer","saccharum","Acer","saccharum"
"washdc","Acer","negundo","Acer","negundo"
"washdc","Acer","palmatum","Acer","palmatum"
"washdc","Acer","pensylvanicum","Acer","pensylvanicum"
"washdc","Acer","platanoides","Acer","platanoides"
"washdc","Acer","rubrum","Acer","rubrum"
"washdc","Acer","saccharinum","Acer","saccharinum"
"washdc","Acer","saccharum","Acer","saccharum"
"uwm","Acer","saccharum","Acer","saccharum"
"fitter","Achillea","millefolium","Achillea","millefolium"
"fitter","Achillea","ptarmica","Achillea","ptarmica"
"konza","Achillea","millefolium","Achillea","millefolium"
"concord","Achillea","millefolium","Achillea","millefolium"
"fargo","Achillea","millefolium","Achillea","millefolium"
"washdc","Achillea","millefolium","Achillea","millefolium"
"gothic","Achillea","millefolium","Achillea","millefolium"
"gothic","Achnatherum","lettermanii","Achnatherum","lettermanii"
"fargo","Acidanthera","sp","Gladiolus",NA
"gothic","Aconitum","columbianum","Aconitum","columbianum"
"concord","Acorus","calamus","Acorus","calamus"
"washdc","Acorus","calamus","Acorus","calamus"
"concord","Actaea","pachypoda","Actaea","pachypoda"
"concord","Actaea","rubra","Actaea","rubra"
"fargo","Actaea","rubra","Actaea","rubra"
"washdc","Actaea","pachypoda","Actaea","pachypoda"
"gothic","Adenolinum","lewisii","Linum","lewisii"
"concord","Adlumia","fungosa","Adlumia","fungosa"
"washdc","Adlumia","fungosa","Adlumia","fungosa"
"fitter","Adoxa","moschatellina","Adoxa","moschatellina"
"fitter","Aegopodium","podagraria","Aegopodium","podagraria"
"concord","Aegopodium","podagraria","Aegopodium","podagraria"
"washdc","Aegopodium","podagraria","Aegopodium","podagraria"
"fitter","Aesculus","hippocastanum","Aesculus","hippocastanum"
"konza","Aesculus","glabra","Aesculus","glabra"
"mikesell","Aesculus","glabra","Aesculus","glabra"
"marsham","Aesculus","hippocastanum","Aesculus","hippocastanum"
"fargo","Aesculus","glabra","Aesculus","glabra"
"washdc","Aesculus","flava","Aesculus","flava"
"fitter","Aethusa","cynapium","Aethusa","cynapium"
"konza","Agalinis","aspera","Agalinis","aspera"
"konza","Agalinis","densiflora","Agalinis","densiflora"
"konza","Agastache","nepetoides","Agastache","nepetoides"
"fargo","Agastache","foeniculum","Agastache","foeniculum"
"gothic","Agastache","urticifolia","Agastache","urticifolia"
"fargo","Agoseris","glauca","Agoseris","glauca"
"gothic","Agoseris","aurantiaca","Agoseris","aurantiaca"
"gothic","Agoseris","glauca","Agoseris","glauca"
"fitter","Agrimonia","eupatoria","Agrimonia","eupatoria"
"konza","Agrimonia","pubescens","Agrimonia","pubescens"
"fargo","Agrimonia","striata","Agrimonia","striata"
"fargo","Agropyron","repens","Elymus","repens"
"fargo","Agropyron","smithii","Pascopyrum","smithii"
"fargo","Agropyron","trachycaulus","Elymus","trachycaulus"
"washdc","Agropyron","repens","Elymus","repens"
"concord","Agrostemma","githago","Agrostemma","githago"
"fargo","Agrostemma","githago","Agrostemma","githago"
"konza","Agrostis","hyemalis","Agrostis","hyemalis"
"fargo","Agrostis","alba","Poa","nemoralis"
"fargo","Agrostis","scabra","Agrostis","scabra"
"washdc","Agrostis","gigantea","Agrostis","gigantea"
"washdc","Ailanthus","altissima","Ailanthus","altissima"
"washdc","Aira","caryophyllea","Aira","caryophyllea"
"fitter","Ajuga","reptans","Ajuga","reptans"
"concord","Ajuga","reptans","Ajuga","reptans"
"washdc","Ajuga","reptans","Ajuga","reptans"
"washdc","Akebia","quinata","Akebia","quinata"
"washdc","Alcea","rosea","Alcea","rosea"
"concord","Alisma","triviale","Alisma","triviale"
"fargo","Alisma","subcordatum","Alisma","subcordatum"
"fitter","Alliaria","petiolata","Alliaria","petiolata"
"konza","Alliaria","petiolata","Alliaria","petiolata"
"concord","Alliaria","petiolata","Alliaria","petiolata"
"washdc","Alliaria","petiolata","Alliaria","petiolata"
"fargo","Allionia","hirsuta","Mirabilis","albida"
"konza","Allium","canadense","Allium","canadense"
"konza","Allium","stellatum","Allium","stellatum"
"concord","Allium","canadense","Allium","canadense"
"fargo","Allium","schoenoprasum","Allium","schoenoprasum"
"fargo","Allium","stellatum","Allium","stellatum"
"fargo","Allium","textile","Allium","textile"
"fargo","Allium","tricoccum","Allium","tricoccum"
"washdc","Allium","canadense","Allium","canadense"
"washdc","Allium","cepa","Allium","cepa"
"washdc","Allium","tricoccum","Allium","tricoccum"
"washdc","Allium","vineale","Allium","vineale"
"gothic","Allium","geyeri","Allium","geyeri"
"fitter","Alnus","glutinosa","Alnus","glutinosa"
