site,temptreat,preciptreat,AG.type,AGtemp_max_dev,AGtemp_min_dev,AGtemp_mean_dev,BGtemp_max_dev,BGtemp_min_dev,BGtemp_mean_dev
ellison,3,NA,air,2.497495585,1.975086505,2.236291045,0.466306143,0.719524194,0.592915168
ellison,4,NA,air,3.550769333,2.47114832,3.010958826,1.19999914,1.001922988,1.100961064
ellison,5,NA,air,3.238718766,2.835603431,3.037161098,0.589486831,1.634189081,1.111837956
ellison,6,NA,air,4.473482775,3.298088878,3.885785826,2.237498427,1.286756967,1.762127697
ellison,7,NA,air,4.622174609,3.135231142,3.878702875,1.656489068,1.59693683,1.626712949
ellison,8,NA,air,5.286547347,3.735180061,4.510863704,2.042787023,2.076708567,2.059747795
ellison,9,NA,air,5.753477916,4.023752798,4.888615357,1.967375913,1.769365005,1.868370459
clarkduke,ambient,NA,air,-0.455460552,-0.203680984,-0.329570768,0.533634191,0.092484152,0.313059171
clarkharvard,ambient,NA,air,-0.294291087,-0.193770322,-0.244030705,0.125052861,0.064764507,0.094908684
bace,0,-1,NA,NA,NA,NA,0.277574158,0.644590618,0.461082388
bace,1,-1,NA,NA,NA,NA,3.112412317,2.269735829,2.691074073
bace,2,-1,NA,NA,NA,NA,3.153908693,2.939598636,3.046753664
bace,3,-1,NA,NA,NA,NA,4.770760573,4.8138186,4.792289587
chuine,ambient,-1,NA,NA,NA,NA,NA,NA,NA
bace,0,0,NA,NA,NA,NA,-0.549610705,0.263278381,-0.143166162
force,0,0,NA,NA,NA,NA,1.83E-17,2.68E-18,-5.24E-17
sherry,0,0,NA,NA,NA,NA,NA,NA,NA
bace,1,0,NA,NA,NA,NA,0.573493324,1.701956638,1.137724981
force,1,0,NA,NA,NA,NA,0.979635762,1.67897351,1.329304636
jasper,1,0,NA,NA,NA,NA,NA,NA,NA
sherry,1,0,NA,NA,NA,NA,1.7029539,2.746267742,2.224610821
bace,2,0,NA,NA,NA,NA,3.322518867,3.391819152,3.35716901
bace,3,0,NA,NA,NA,NA,3.33646657,3.962681746,3.649574158
jasper,ambient,0,NA,NA,NA,NA,NA,NA,NA
bace,0,1,NA,NA,NA,NA,0.979983259,0.609699469,0.794841364
force,0,1,NA,NA,NA,NA,-0.22766223,0.015141431,-0.106260399
sherry,0,1,NA,NA,NA,NA,-0.475137944,1.012993226,0.268927641
bace,1,1,NA,NA,NA,NA,-0.117789378,2.517059922,1.199635272
force,1,1,NA,NA,NA,NA,1.234602649,1.491390728,1.362996689
jasper,1,1,NA,NA,NA,NA,NA,NA,NA
sherry,1,1,NA,NA,NA,NA,2.17439217,2.388104783,2.281248477
bace,2,1,NA,NA,NA,NA,1.724650622,2.472896022,2.098773322
bace,3,1,NA,NA,NA,NA,3.608802773,3.4658782,3.537340487
jasper,ambient,1,NA,NA,NA,NA,NA,NA,NA
chuine,ambient,ambient,NA,NA,NA,NA,NA,NA,NA
ellison,ambient,ambient,NA,NA,NA,NA,0.093430556,0.206935185,0.15018287
marchin,ambient,ambient,NA,NA,NA,NA,0.500214286,1.102357143,0.801285714
clarkduke,0,NA,NA,NA,NA,NA,-1.694305556,-0.447395833,-1.070850694
clarkharvard,0,NA,NA,NA,NA,NA,-0.066328009,-0.095565173,-0.080946591
ellison,0,NA,NA,NA,NA,NA,-0.342171053,0.070675439,-0.135747807
farnsworth,0,NA,NA,NA,NA,NA,NA,NA,NA
marchin,0,NA,NA,NA,NA,NA,NA,NA,NA
clarkduke,1,NA,NA,NA,NA,NA,0.14299537,2.273604167,1.208299769
clarkharvard,1,NA,NA,NA,NA,NA,3.052977883,3.085970055,3.069473969
dunne,1,NA,NA,NA,NA,NA,0.719070969,0.959597088,0.839334028
ellison,1,NA,NA,NA,NA,NA,0.32,-0.77525,-0.227625
farnsworth,1,NA,NA,NA,NA,NA,NA,NA,NA
marchin,1,NA,NA,NA,NA,NA,0.4726958,1.369483585,0.921089692
price,1,NA,NA,NA,NA,NA,0.331111649,0.539354916,0.435233283
clarkduke,2,NA,NA,NA,NA,NA,-1.915476852,1.146381944,-0.384547454
clarkharvard,2,NA,NA,NA,NA,NA,4.953543077,4.924891393,4.939217235
ellison,2,NA,NA,NA,NA,NA,-0.622684211,0.704033626,0.040674708
ellison,3,NA,NA,NA,NA,NA,1.087856771,1.448351563,1.268104167
ellison,4,NA,NA,NA,NA,NA,0.4615,0.292336538,0.376918269
ellison,5,NA,NA,NA,NA,NA,0.4905,1.786977273,1.138738636
ellison,6,NA,NA,NA,NA,NA,NA,NA,NA
ellison,7,NA,NA,NA,NA,NA,1.146673077,1.37400641,1.260339744
ellison,8,NA,NA,NA,NA,NA,3.800333333,0,1.900166667
ellison,9,NA,NA,NA,NA,NA,2.270166667,0.781666667,1.525916667
clarkduke,ambient,NA,NA,NA,NA,NA,-2.425375,-0.42375,-1.4245625
clarkharvard,ambient,NA,NA,NA,NA,NA,0.066328009,0.095565173,0.080946591
dunne,ambient,NA,NA,NA,NA,NA,1.67E-17,6.14E-18,-8.52E-18
farnsworth,ambient,NA,NA,NA,NA,NA,NA,NA,NA
price,ambient,NA,NA,NA,NA,NA,1.42E-17,8.80E-18,8.86E-18
bace,0,-1,canopy,2.117678006,0.521431451,1.319554729,2.313072161,0.720480764,1.516776463
bace,1,-1,canopy,3.155027483,2.062810661,2.608919072,3.409586283,2.256372631,2.832979457
bace,2,-1,canopy,4.320701723,2.631475634,3.476088678,4.644986945,2.828112516,3.73654973
bace,3,-1,canopy,5.592926588,3.397111012,4.4950188,5.710719715,3.898114633,4.804417174
bace,0,0,canopy,-2.53E-17,1.24E-17,3.37E-17,0.004466305,-0.002139481,0.001163412
bace,1,0,canopy,0.838835889,0.733343023,0.786089456,0.889338325,0.730120749,0.809729537
bace,2,0,canopy,2.886637684,2.693651542,2.790144613,3.05489125,2.684272121,2.869581686
bace,3,0,canopy,3.167650961,2.973105545,3.070378253,4.011543793,3.29155797,3.651550882
bace,0,1,canopy,0.14432445,0.064104554,0.104214502,0.497179461,0.301714669,0.399447065
bace,1,1,canopy,0.628748928,1.396543255,1.012646091,1.002174612,1.619181911,1.310678262
bace,2,1,canopy,1.575752916,1.480624729,1.528188822,2.013816693,1.716301115,1.865058904
bace,3,1,canopy,3.043274251,3.249692146,3.146483199,3.173336849,2.838720267,3.006028558
force,0,0,surface,-1.18E-17,-3.82E-18,6.34E-18,-3.67E-18,-1.25E-17,3.73E-17
force,1,0,surface,1.11880531,2.326327434,1.722566372,2.170042328,2.841277778,2.505660053
force,0,1,surface,-0.212041719,-0.233217446,-0.222629583,0.280421559,0.246881942,0.263651751
force,1,1,surface,0.748735777,2.296207332,1.522471555,1.474915398,2.046129442,1.76052242
