1992 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,
LATHYRUS LEUCANTHUS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PLOT,#,SPE,DIST,5/28/92,6/1/92,COMMENT,6/8/92,COMMENT,6/15/92,COMMENT,6/22/92,COMMENTS,6/29/92,COMMENTS,7/6/92,COMMENTS,7/13/92,COMMENTS,7/21/92,COMMENTS
1,1,LL,2.6,1,1,,1,,5,,2,,0,,0,,0,,0,
,2,LL,3.4,1,1,,1,,12,,1,2 FROZ,2,,5,,0,,0,
,3,LL,5.7,1,1,,1,,1,,1,,2,,2,FROZ,5,TAPEMARK,5,2 FRUITS
,4,LL,6.5,1,1,,1,,1,,2,,0,,0,,0,,0,
,5,LL,7.9,1,1,,1,,1,,,1 FROZ,2,,0,,0,,0,
2,1,LL,2.6,1,1,,1,,12,,1,,,EATEN,,,,,,
,2,LL,3.4,1,1,,1,,1,FRZ?,,NOTHING,0,,0,,0,,0,
,3,LL,5.7,1,1,,1,,1,,12,,,BUDSABORT,2,,3,MAYBEFRZ,5,1 FRUIT
,4,LL,6.7,1,1,,1,,1,,1,,2,,2,SHRIV,0,,0,
,5,LL,7.8,1,1,,1,,1,,1,,12,,23,,34,MAYBEFRZ,5,3 FRUIT
3,1,LL,1.3,1,1,,1,,1,,1,FROZ,0,,0,,0,,0,
,2,LL,2.7,1,1,,1,,1,,1,FROZ,0,,2,SHRIV,0,,0,
,3,LL,4.6,1,1,,1,,1,,3,,,EATEN,,,,,,
,4,LL,5.7,1,1,,1,,1,,2,,2,,0,,0,,0,
,5,LL,6.2,1,1,,1,,15,,1,,1234,,0,,,EATEN,,CLIPPED
4,1,LL,1.3,1,1,,1,,1,,,,0,,0,,0,,0,
,2,LL,2.5,1,1,,1,,1,,,NADA,0,,0,,0,,0,
,3,LL,3.9,1,1,,1,,1,,1,,0,,0,,0,,0,
,4,LL,5.2,1,1,,1,,1,,12,,34,,5,,5,,0,
,5,LL,6.2,1,1,,1,,1,,12,,3,,0,,0,,MISSING,
5,1,LL,1.5,1,1,,1,,1,,,NOTHING,0,,0,,0,,MISSING,
,2,LL,3.1,1,1,,1,BUDS FRZ,1,FRZ?,,BUDS,1,,23,,2,,0,
,3,LL,4.4,1,1,,1,,1,FRZ?,,NOTHING,0,,0,,0,,0,
,4,LL,5.2,1,1,,1,,1,FRZ?,1,,2,,0,,0,,0,
,5,LL,5.8,1,1,,1,NEW(D=5.7),1,FRZ?,,NOTHING,0,,0,,0,,0,
6,1,LL,1.5,1,1,,1,,,BUDS EAT.,,NADA,0,,0,,0,,0,
,2,LL,3.2,1,1,,1,,1,,,NADA,0,,0,,0,,0,
,3,LL,4.2,1,1,,1,,1,,,NADA,0,,0,,0,,0,
,4,LL,5.6,1,1,,1,,1,,,NADA,2,,3,,0,,0,
,5,LL,6.5,1,1,,1,,1,,,NADA,0,,0,,0,,0,
7,1,LL,1.3,1,1,,3 BDSFL,NEW(D=1.3),1,,1,FROZ,0,,0,,0,,0,
,2,LL,3.9,1,1,,1 FRZ,NEW(D=4),1,FRZ,1,SOME FROZ,2,,3,,0,,0,
,3,LL,5.5,1,1,,1,,1,,1,FROZ,0,,0,,0,,0,
,4,LL,7.2,1,1,,1,,1,,,NADA,,GONE,,GONE,,,,
,5,LL,7.9,1,1,,1,,1,,1,FROZ,0,,0,,0,,0,
8,1,LL,1.4,1,1,,,"NO BUDS,FRZ?",,NO BUDS,,NO BUDS,0,,0,,0,,0,
,2,LL,3.6,1,1,,1,,,NO BUDS,,NO BUDS,0,,0,,0,,0,
,3,LL,5.3,1,1,,1,,1,FRZ?,,NO BUDS,0,,0,,0,,0,
,4,LL,6.8,1,1,,1,,1,FRZ,1,FROZ,0,,3,,,SHRVFLW,0,CLIPPED
,5,LL,7.5,1,1,,1,,1,FRZ,,EATEN,,,,,,,,
