1990 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,
LATHYRUS LEUCANTHUS,,,,,,,,,,,
KEY:  0=NOTFLOWERING; 1=BUD; 2=FLOWER; 3=OLDFLOWER; 4=INITIATED FRUIT; 5=EXPANDING FRUIT; 6=DEHISCED FRUIT,,,,,,,,,,,
PLOT,SP,IND,06/26/90,07/03/90,07/10/90,07/17/90,07/24/90,08/01/90,08/08/90,08/14/90,08/23/90
1,LL,1,12,3,0,0,0,0,,,
1,LL,2,2,0,0,0,0,0,,,
1,LL,3,12,3,0,0,0,0,,,
1,LL,4,1,3,0,0,0,0,,,
1,LL,5,1,2,0,0,0,0,,,
1,LL,x,1.4,2.8,,,,,,,
2,LL,1,12,0,0,0,0,0,,,
2,LL,2,123,3,0,0,0,0,,,
2,LL,3,23,0,0,0,0,0,,,
2,LL,4,12,35,0,0,0,0,,,
2,LL,5,12,0,0,0,0,0,,,
2,LL,x,1.8,3.5,,,,,,,
3,LL,1,3,0,0,0,0,0,,,
3,LL,2,1,3,0,0,0,0,,,
3,LL,3,12,23,0,0,0,0,,,
3,LL,4,1,2,0,0,0,0,,,
3,LL,5,12,35,5,5,0,0,,,
3,LL,x,1.6,2.9,5,5,,,,,
4,LL,1,12,3,0,0,0,0,,,
4,LL,2,12,13,0,0,0,0,,,
4,LL,3,1,3,3,0,0,0,,,
4,LL,4,12,235,5,5,5,5,5,5,5
4,LL,5,12,34,5,5,5,5,5,5,5
4,LL,x,1.4,3,4.3,5,5,5,5,5,5
5,LL,1,1,2,4,0,0,0,,,
5,LL,2,12,23,45,0,0,0,,,
5,LL,3,12,23,3,0,0,0,,,
5,LL,4,2,3,0,0,0,0,,,
5,LL,5,2,3,0,0,0,0,,,
5,LL,x,1.6,2.6,3.8,,,,,,
6,LL,1,1,0,0,0,0,0,,,
6,LL,2,12,3,0,0,0,0,,,
6,LL,3,12,3,0,0,0,0,,,
6,LL,4,12,23,0,0,0,0,,,
6,LL,5,1,2,0,0,0,0,,,
6,LL,x,1.3,2.6,,,,,,,
7,LL,1,12,0,0,0,0,0,,,
7,LL,2,1,0,0,0,0,0,,,
7,LL,3,2,3,0,0,0,0,,,
7,LL,4,2,3,0,0,0,0,,,
7,LL,5,1,0,0,0,0,0,,,
7,LL,x,1.5,3,,,,,,,
8,LL,1,2,34,5,5,5,5,5,5,
8,LL,2,12,3,0,0,0,0,0,,
8,LL,3,2,3,0,0,0,0,0,,
8,LL,4,2,3,0,0,0,0,0,,
8,LL,5,1,0,0,0,0,0,0,,
8,LL,x,1.7,3.1,5,5,5,5,5,5,
9,LL,1,0,0,0,0,0,0,,,
9,LL,2,0,0,0,0,0,0,,,
9,LL,3,0,0,0,0,0,0,,,
9,LL,4,0,0,0,0,0,0,,,
9,LL,5,0,0,0,0,0,0,,,
9,LL,x,,,,,,,,,
10,LL,1,0,0,0,0,0,0,,,
10,LL,2,0,0,0,0,0,0,,,
10,LL,3,0,0,0,0,0,0,,,
10,LL,4,0,0,0,0,0,0,,,
10,LL,5,0,0,0,0,0,0,,,
