1990 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,
ERIGERON SPECIOSUS,,,,,,,,,,,,,
KEY:  0=NOTFLOWERING; 1=BUD; 2=FLOWER; 3=OLDFLOWER; 4=INITIATED FRUIT; 5=EXPANDING FRUIT; 6=DEHISCED FRUIT,,,,,,,,,,,,,
PLOT,SP,IND,07/10/90,07/17/90,07/24/90,COMMENT,08/01/90,08/08/90,COMMENT,08/14/90,COMMENT,08/23/90,COMMENT
1,ES,1,1,1,12,,12,4,,6,,5,
1,ES,2,1,12,3,A;NEW PL,5,5,,6,,5,
1,ES,3,1,1,12,,12,5,,6,,56,
1,ES,4,1,1,12,,124,1,,23456,,456,
1,ES,5,1,1,12,,124,1245,,23456,,356,
2,ES,1,1,1,1,,1,12,,234,,34,
2,ES,2,1,1,12,,124,24,,45,,56,
2,ES,3,1,1,12,,1,1234,,2345,,56,
2,ES,4,1,1,1,,12,1234,,23456,,2345,
2,ES,5,1,1,1,,12,25,,56,,5,
3,ES,1,1,1,1,,12,1234,,2345,,0,GONE
3,ES,2,1,1,1,,12,0,,0,GONE,0,GONE
3,ES,3,1,1,12,,124,4,,56,,56,
3,ES,4,1,1,1,,124,4,,456,,56,
3,ES,5,1,1,1,,12,234,,456,,5,
4,ES,1,,1,123,,24,5,,6,,6,
4,ES,2,,1,1,,12,4,,56,,5,
4,ES,3,,1,1,,12,234,,56,,5,
4,ES,4,,1,12,,12,2345,,2356,,235,
4,ES,5,,1,1,,12,234,,6,,5,
5,ES,1,1,1,1,,12,1234,,2345,,45,
5,ES,2,1,1,123,,24,6,,6,,6,
5,ES,3,1,1,1,,1,123,,123,,45,
5,ES,4,1,1,0,ABORT,0,6,,0,,0,
5,ES,5,1,12,123,,12345,234,,56,,5,
6,ES,1,1,12,123,,34,5,,6,,6,
6,ES,2,1,123,123,,123,2345,,56,,56,
6,ES,3,1,1,12,,234,1234,,234,,456,
6,ES,4,1,1,123,,34,5,,56,,5,
6,ES,5,1,123,234,,234,45,,6,,6,
7,ES,1,1,1,12,,345,45,,6,,6,
7,ES,2,1,1,1,,123,12345,,123456,,2345,
7,ES,3,12,23,34,,45,56,,6,,6,
7,ES,4,1,123,1234,,34,345,,56,,5,
7,ES,5,1,1,123,,34,123,,2456,,45,
8,ES,1,1,123,1234,,45,345,,6,,6,
8,ES,2,12,23,34,,5,6,,6,,6,
8,ES,3,1,123,1234,,12345,12345,,345,,456,
8,ES,4,12,123,1234,,345,45,,6,,56,
8,ES,5,1,123,123,,34,45,,6,,5,
9,ES,1,1,123,234,,45,5,,6,,6,
9,ES,2,1,1,1,,123,2345,,6,,6,
9,ES,3,1,123,1234,,345,12345,,345,,56,
9,ES,4,1,1,12,,123,12345,,456,,56,
9,ES,5,1,1,1,,3,56,,6,,6,
10,ES,1,1,0,0,,6,6,,6,,0,
10,ES,2,12,23,34,,345,0,GOPHER,6,,,GONE
10,ES,3,12,23,34,,345,5,,345,,6,
10,ES,4,1,123,123,,345,0,BROKEN,456,,,GONE
10,ES,5,1,123,123,,345,5,,6,,5,
