1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,
POTENTILLA, GRACILIS,,,FRUIT SET=VIABLE FRS./TOTAL FRS.,,,FLOWERS,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PLOT,SP,IND,DIST,7/5/93,7/12/93,comments,7/20/93,7/26/93,comments,8/2/93,comments,8/9/93,comments,8/16/93,comments,fruitset,comments
1,PG,1,4.4,1,123,,1234,1245,,23456,,3456,,56,,23/24,
1,PG,2,5.1,1,123,,124,1345,,345,,56,,56,,11-Sep,
1,PG,3,6.9,1,12,,123,245,,1245,,135,,345,,9-Jun,
1,PG,4,8,12,123,,135,1345,,12345,,45,,456,,16/19,
1,PG,5,8.5,1,1,,123,1256,,12345,,1345,,1456,,14/15,
2,PG,1,5.3,13,123,,1234,1245,,2345,,456,,56,,12-Dec,
2,PG,2,5.8,1,12,,134,145,,125,,1456,,56,,16/18,
2,PG,3,7.2,12,1234,,1234,1245,,1245,,245,,3456,,15/16,
2,PG,4,8.5,1,1,,12,134,,12345,,145,,456,,10-Aug,
2,PG,5,8.9,1,12,,1234,1245,,345,,3456,,456,,18/19,
3,PG,1,4.3,1,12,,1234,1245,,345,,5,,56,,14/14,
3,PG,2,5.2,1,12,,1235,12345,,245,,456,,56,,13-Nov,
3,PG,3,6.3,1,1,,1234,1245,,345,,45,,56,,24/24,
3,PG,4,7,1,1,,12345,1235,,45,,,,,,,
3,PG,5,8,1,12,,1234,1345,,145,,13456,,456,,16-Oct,
4,PG,1,4.8,1,13,,14,145,,134,,4,,,clipped,14-Jul,
4,PG,2,5,1,13,,13,1245,,1345,,12456,,456,,24/24,
4,PG,3,5.9,1,123,,245,345,,5,8 fr/8 fl,,,,,,
4,PG,4,6.5,123,1234,,1245,12456,,3456,,456,,456,,22/23,
4,PG,5,8.4,1,1234,,1234,12345,,145,,123456,,12456,,13/15,
5,PG,1,5.8,1,1,,1345,12345,,2345,,1356,,56,,18/18,
5,PG,2,6.2,1,1,,134,1245,,2345,,245,,56,,13/14,
5,PG,3,7.4,1,13,,1234,12345,,1245,,1245,,2456,,20/20,
5,PG,4,8,1,1,,124,1245,,234,,145,,345,,13-Aug,
5,PG,5,8.4,1,1,,123,124,,1235,,1245,,1456,,15/15,
6,PG,1,5.9,13,13,,1345,1245,aphids,1456,,456,,56,,14/15,
6,PG,2,6.7,13,14,,12345,1245,,135,,345,,56,,14/14,
6,PG,3,7.4,1234,1234,,12345,145,,13456,,123456,,1456,,30/30,
6,PG,4,8,1,13,,234,1245,,45,,3456,,356,,15-Sep,
6,PG,5,8.7,1,1,buried in Sedum,123,124,,245,,145,,23456,,18/19,
7,PG,1,5.9,2,123,,134,125,,456,,456,,56,,15/17,
7,PG,2,6.3,2,123,,234,125,,45,,56,,56,,6-Apr,
7,PG,3,7.5,2,13,,1234,12345,,1345,,123456,broken,123456,,23/23,
7,PG,4,8.2,0,1,,123,145,,1345,,1235,,3456,,12-Nov,
7,PG,5,8.8,1,123,,134,1245,,,missing,,,,,,
8,PG,1,6.2,124,134,,34,235,,456,,456,bent,56,,8-Jul,
8,PG,2,6.4,12,1234,,134,145,,3456,,23456,,456,,20/24,
8,PG,3,7.7,13,134,,145,145,,256,,23456,,3456,,14/21,
8,PG,4,9,1,134,,1234,145,,245,,456,,56,,12-Nov,
8,PG,5,8.7,1,12,,1234,1245,,12456,,1245,,2456,,19/20,
9,PG,1,6.6,12,134,,134,15,,56,5 fr/14 fl,,,,,,
9,PG,2,7.2,1,13,,1234,145,,345,,45,,56,,16/17,
9,PG,3,7.7,1,134,,1234,145,,2345,,3456,,456,,22/25,
9,PG,4,8.5,1,14,,1234,145,,145,,123456,broken,2456,,10-Oct,
9,PG,5,9.1,1,13,,1234,1245,,1345,,12345,,123456,,21/26,
10,PG,1,6.8,1,13,,2345,1345,,456,,3456,,56,,10-Aug,
10,PG,2,7.5,1,34,,34,15,,456,,56,,56,,7-Jun,
10,PG,3,7.9,12,13,,345,125,,456,,456,,56,,22/23,
10,PG,4,8.5,1,13,,134,12345,,245,,345,,56,,20/23,
10,PG,5,9,1,12,,1234,1245,,1235,,12345,,56,,32/32,
