1990 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,
IPOMOPSIS AGGREGATA,,,,,,,,,,,,,,
KEY:  0=NOTFLOWERING; 1=BUD; 2=FLOWER; 3=OLDFLOWER; 4=INITIATED FRUIT; 5=EXPANDING FRUIT; 6=DEHISCED FRUIT,,,,,,,,,,,,,,
PLOT,SP,IND,6/20/90,6/26/90,7/3/90,COMMENT,7/10/90,7/17/90,7/24/90,8/1/90,8/8/90,8/14/90,COMMENT,8/23/90
1,IA,1,1,12,1245,,12345,12345,145,125,12456,56,,56
1,IA,2,1,12,124,EAT;NEWPLT,1234,1234,14,125,12345,125,,1456
1,IA,3,1,1,124,,12345,12345,245,5,4,1256,,2456
1,IA,4,1,1,12,,1234,12345,12345,1245,256,15,BROKEN,123
1,IA,5,1,1,12,,124,12345,145,25,15,125,,1456
2,IA,1,1,1,124,,124,1234,245,45,15,125,,2456
2,IA,2,1,1,12,,124,12345,145,25,1245,125,,2456
2,IA,3,1,2,1,,124,12345,124,,12,12345,,12345
2,IA,4,1,2,12,,124,12345,12345,1245,125,123456,,1234
2,IA,5,1,2,124,,12345,12345,12345,125,125,1256,,3456
3,IA,1,1,12,1245,,12345,12345,1245,125,125,125,,12345
3,IA,2,1,1,1,,1234,12345,145,15,125,125,,1245
3,IA,3,1,1,124,,124,12345,12345,125,,,GONE,
3,IA,4,1,12,1245,,12345,12345,5,15,125,1256,,356
3,IA,5,1,1,123,,1245,12345,1245,25,125,1256,,456
4,IA,1,1,1,12,,1234,1234,1234,12,12,23,,234
4,IA,2,1,1,124,,12345,12345,145,125,12456,125,,456
4,IA,3,1,1,124,,12345,12345,5,15,12345,125,,12456
4,IA,4,1,1,12,,1234,12345,1245,5,125,25,,56
4,IA,5,,,12,NEW PLT,124,1234,124,345,125,125,,5
5,IA,1,1,125,12345,,12345,12345,12345,5,156,1256,,23456
5,IA,2,1,1,12,EAT;NEWPLT,12345,12345,12345,124,23456,56,,5
5,IA,3,1,1,1234,,12345,12345,12345,124,12456,56,,56
5,IA,4,,,124,,12345,12345,12345,124,156,56,,6
6,IA,1,1,1,1234,,12345,12345,1345,15,12345,1256,,12456
6,IA,2,1,1,12,,14,14,GONE,0,0,0,,
6,IA,3,,1,1234,,,1234,145,1245,12456,23456,,56
7,IA,1,1,1,12,,12,1234,12345,1245,125,25,,125
7,IA,2,1,124,1234,,1234,12345,1245,1345,123456,12456,,56
7,IA,3,1,1,124,,124,12345,145,12345,125,125,,1256
7,IA,4,1,1,123,,1234,145,5,15,125,1256,,12456
7,IA,5,1,1,124,,12345,12345,12345,1245,12456,1256,,456
9,IA,1,1,12,1234,,124,,4,1,123,125,,35
9,IA,2,1,12,12345,,12345,12345,245,156,156,1256,,5
9,IA,3,1,1234,12345,,12345,12345,1245,12456,123456,1256,,45
9,IA,4,1,12,12345,,12345,12345,145,13456,1256,456,,45
9,IA,5,12,12345,12345,,12345,12345,5,56,56,6,,5
