1990 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,
DELPHINIUM NELSONII,,,,,,,,,,,,,,
KEY:  0=NOTFLOWERING; 1=BUD; 2=FLOWER; 3=OLDFLOWER; 4=INITIATED FRUIT; 5=EXPANDING FRUIT; 6=DEHISCED FRUIT,,,,,,,,,,,,,,
PLOT,SP,IND,05/31/90,06/06/90,COMMENT,06/13/90,COMMENT,06/20/90,FRT/FLOW,06/26/90,COMMENT,07/03/90,COMMENT,07/10/90
1,DN,1,0,1,,1,SHRIV,0,,0,,0,,
1,DN,2,1,1,,1,SHRIV,0,,0,,0,,
1,DN,3,1,1,,1,SHRIV,0,,0,,0,,
1,DN,4,1,1,,2,SHRIV,0,,0,,0,,
1,DN,5,1,1,,1,SHRIV,0,,0,,0,,
2,DN,1,0,1,,0,SHRIV,0,0/?,0,,0,,
2,DN,2,1,1,,0,SHRIV,0,0/?,0,,0,,
2,DN,3,1,1,,0,SHRIV,0,0/?,0,,0,,
3,DN,1,1,1,,1,,12,,45,,0,,
3,DN,2,1,1,,1,,0,,0,,0,,
3,DN,3,1,1,,1,,0,,0,,0,,
3,DN,4,1,1,,1,,12,,34,,4,,
3,DN,5,1,1,,1,,0,,0,,0,,
4,DN,1,1,1,,1,NEW;SHRIV,3,,0,,0,,
4,DN,2,1,1,NEW PL,1,,0,,0,,0,,
4,DN,3,1,1,,0,,0,,0,,0,,
4,DN,4,1,1,,1,,2,,0,,0,,
4,DN,5,1,1,,1,,12,,345,,5,,6
5,DN,1,1,1,,12,,3,,0,,0,,
5,DN,2,1,1,,1,,0,,0,,0,,
5,DN,3,1,1,,1,,0,,0,,0,,
5,DN,4,1,1,,1,,13,,0,,0,,
5,DN,5,1,1,,1,NEW;SHRIV,2,,35,2 FRT,5,,6
6,DN,1,1,1,,1,,2,,5,1/2,5,FRTEAT,
6,DN,2,1,1,,1,,2,,5,1/2,5,,6
6,DN,3,1,1,,1,NEW;SHRIV,2,,5,1/3,0,,
6,DN,4,1,1,,2,,234,,,,6,,
6,DN,5,1,1,,1,NEW;SHRIV,2,,5,,0,,
7,DN,1,1,1,,2,,4,?/1,0,,0,,
7,DN,2,1,1,,2,,4,?/1,0,,0,,
7,DN,3,1,1,,1,NEW;SHRIV,2,,0,,0,,
7,DN,4,1,1,,1,,2,,0,,0,,
7,DN,5,1,0,EATEN,12,NEW,2,,3,1/2,0,,
8,DN,1,1,12,,2,,45,2/3,0,,0,,
8,DN,2,1,12,,234,,45,3/5,6,1/5,6,,
8,DN,3,12,12,,12,,0,0/6,0,,0,,
8,DN,4,1,1,,14,SHRIV,0,0/3,0,,0,,
8,DN,5,1,1,,12,NEW;SHRIV,24,1/2,5,,6,,
9,DN,1,1,1,,2,,345,1/4,5,,6,,
9,DN,2,1,1,,2,,345,2/4,5,3/4,6,,
9,DN,3,1,12,,24,,45,4/7,56,,6,,
9,DN,4,1,12,,24,,45,1/2,6,,6,,
9,DN,5,12,1,,4,,5,2/2,6,,6,,
10,DN,1,1,2,,4,,5,1/1,0,,0,,
10,DN,2,12,2,,34,,0,0/3,0,,0,,
10,DN,3,12,23,,24,SHRIV,0,0/3,0,,0,,
10,DN,4,1,12,,24,,45,1/2,6,,6,,
10,DN,5,1,2,,24,,5,1/3,0,,0,,
