plot,melt91,melt92,melt93,melt94,melt95,melt96,melt97,melt98
1,137,120,147,134,163,139,142,141
2,134,119,139,128,152,135,134,139
3,139,123,145,137,165,138,150,138
4,133,119,136,122,155,134,128,128
5,137,120,147,133,162,138,140,133
6,132,118,130,123,135,124,116,117
7,133,117,143,131,156,130,137,118
8,127,100,135,122,118,116,103,108
9,129,105,138,126,152,128,132,115
10,125,100,115,113,135,119,110,108
