Amaranthus deflexus,1,France- HŽrault,Montpellier,Campus Fac (entrŽe transfusion),10/10/02,,,Amaranthus retroflexus,1,France-HŽrault,Montpellier,route de Laverune champ d'asperge,?-09-02,
,2,France-2Sevres,Saint Varent,Xavier,9/15/02,,,,2,France-2Sevres,Saint Varent,,9/15/02,
,3,France-Lozere,Florac,a cote centre de Formation Parc des Cevennes,9/25/02,,,,3,France-Nord,wavrin,bac,31-08-02+26-10-02,
,,,,,,,,,6,Espagne,Alicante,,25-09-02,
Artemisia vulgaris,1,France-Nord,Wavrin,marais,10/26/02,,,,7,France-Loire&Cher,Mer,gare,10/18/02,
,2,France-Loire&Cher,Mer,derrire maison,10/18/02,,,,,,,,,
,,,,,,,,Artemisia annua,1,France-HŽrault,Montpellier,Campus UMII entree transfusion,11/15/02,
Lolium perenne,1,France-Loire&Cher,Mer,gare,10/18/02,,,,,,,,,
,2,France-Nord,Wavrin,"marais, champs",10/26/02,,,Lolium rigidum,1,France-HŽrault,Valflaunes,-,-,
,,,,,,,,,2,Espagne-Catalogne,?,?,juillet 2002,
,,,,,,,,,,,,,,
,,,,,,,,Setaria viridis,1,France-HŽrault,route de Laverune,lotissement + champ asperge,,
Quercus pubescens,1,France-HŽrault,Jacques/Laurette,,?-10-02,,,,2,France-2Sevres,Saint Varent,Xavier,9/15/02,
,2,France-Loire&Cher,Ch‰teau de MŽnars,a droite devant le mur a 50 m,10/18/02,,,,3,France-Loire&Cher,Duyson,le long du mur du cimetire,10/18/02,
,,,,,,,,,4,France-Var,Mougin,chemin des cabrires,aout 2002,
Quercus ilex,1,France-HŽrault,Montpellier,CEFE-TE,10/25/02,,,,,,,,,
,2,France-Charente,Ile d'Oleron,,11/11/02,,,,,,,,,
,3,Portugal,Alentejo,Herdade da Mitra ,11/3/02,,,,,,,,,
,,,,,,,,,,,,,,
Quercus robur,1,France-Nord,Phalempin+Wavrin+Clair Marais+Motte au Bois,Bois,10/27/02,,,,,,,,,
,2,Rep. Tchque-south Bohemia,Ceske Budejovice,forest 2 km NE,>20-10-02,,,,,,,,,
,3,Estonie ,Tartu,,>1-11-02,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
