Block,Plot,humidity treatment,temperature treatment,species,population,sowing,9,55,65,85,95
a,1,H,T+,ar,1,8-mars,28-Mar,16-Jun,27-Jun,,18-Jul
a,1,H,T+,ar,1,8-mars,28-Mar,26-May,,,30-Jun
a,1,H,T+,ar,1,8-mars,28-Mar,,,,30-Jun
a,1,H,T+,ar,1,8-mars,28-Mar,,,,27-Jun
a,1,H,T+,ar,2,8-mars,28-Mar,,22-Jun,,5-Jul
a,1,H,T+,ar,2,8-mars,28-Mar,,,,27-Jun
a,1,H,T+,ar,2,8-mars,30-Mar,21-May,2-Jun,18-Jul,21-Jul
a,1,H,T+,ar,3,8-mars,28-Mar,,,,7-Jul
a,1,H,T+,ar,3,8-mars,28-Mar,,,,18-Jul
a,1,H,T+,ar,3,8-mars,28-Mar,,,,21-Jul
a,1,H,T+,ar,3,8-mars,28-Mar,,,,2-Aug
a,1,H,T+,sv,1,8-mars,28-Mar,26-May,6-Jan,,13-Aug
a,1,H,T+,sv,1,8-mars,28-Mar,2-Jun,6-Jun,,8-Aug
a,1,H,T+,sv,1,8-mars,28-Mar,2-Jun,6-Jun,,8-Aug
a,1,H,T+,sv,2,8-mars,28-Mar,<22/6,,,2-Aug
a,1,H,T+,sv,2,8-mars,25-avr.,16-Jun,27-Jun,,14-Aug
a,1,H,T+,sv,2,8-mars,28-Mar,25-May,,,16-Aug
a,1,H,T+,sv,2,8-mars,25-avr.,,,,
a,2,S,T++,ar,1,8-mars,28-Mar,,,,
a,2,S,T++,ar,1,8-mars,28-Mar,25-May,,,30-Jun
a,2,S,T++,ar,1,8-mars,28-Mar,,,,
a,2,S,T++,ar,1,8-mars,28-Mar,10-May,,,
a,2,S,T++,ar,2,8-mars,28-Mar,,,,7-Jul
a,2,S,T++,ar,2,8-mars,28-Mar,,2-Jun,,5-Jul
a,2,S,T++,ar,2,8-mars,28-Mar,9-May,25-May,,28-Jul
a,2,S,T++,ar,2,8-mars,25-avr.,,,,
a,2,S,T++,ar,3,8-mars,28-Mar,,,,25-Jul
a,2,S,T++,ar,3,8-mars,28-Mar,9-May,15-May,,17-Aug
a,2,S,T++,ar,3,8-mars,28-Mar,10-May,,,
a,2,S,T++,ar,3,8-mars,25-avr.,27-Jun,7-Jul,25-Jul,2-Aug
a,2,S,T++,sv,1,8-mars,30-mars,2-Jun,<16/6,30-Jun,18-Aug
a,2,S,T++,sv,1,8-mars,28-mars,27-May,13-Jun,30-Jun,16-Aug
a,2,S,T++,sv,1,8-mars,28-mars,4-May,16-May,,15-Aug
a,2,S,T++,sv,2,8-mars,6-May,,,,<2/8
a,2,S,T++,sv,2,8-mars,7-avr.,,25-May,,11-Aug
a,2,S,T++,sv,2,8-mars,30-mars,,,,25-Jul
a,3,S,T,aa,1,8-mars,8-May,,,,
a,3,S,T,aa,,8-mars,12-May,,,,
a,3,S,T,aa,,8-mars,7-May,12-Sep,26-Sep,26-Oct,21-Nov
a,3,S,T,aa,,8-mars,12-May,,,,
a,3,S,T,ar,1,8-mars,28-mars,6-May,,,22-Jun
a,3,S,T,ar,1,8-mars,21-avr.,26-May,,,30-Jun
a,3,S,T,ar,1,8-mars,28-mars,11-May,27-May,,?
a,3,S,T,ar,1,8-mars,28-mars,11-May,21-Jul,?,
a,3,S,T,ar,2,8-mars,28-mars,6-Jun,16-Jun,,18-Jul
a,3,S,T,ar,2,8-mars,28-Mar,,,,8-Aug
a,3,S,T,ar,2,8-mars,28-Mar,11-May,11-Jul,2-Aug,12-Sep
a,3,S,T,ar,2,8-mars,28-mars,26-May,22-Jun,25-Jul,26-Oct
a,3,S,T,ar,3,8-mars,28-mars,,,,18-Jul
a,3,S,T,ar,3,8-mars,30-avr.,,,8-Aug,
a,3,S,T,ar,3,8-mars,28-mars,7-Jul,18-Jul,2-Aug,30-Aug
a,3,S,T,ar,3,8-mars,<11/4,26-May,,,
a,3,S,T,sv,1,8-mars,4-avr.,27-May,2-Jun,5-Jul,24-Aug
a,3,S,T,sv,1,8-mars,11-avr.,6-Jun,13-Jun,5-Jul,17-Aug
a,3,S,T,sv,1,8-mars,28-mars,26-May,2-Jun,27-Jun,8-Aug
a,3,S,T,sv,1,8-mars,30-mars,19-May,27-May,<5/7,16-Aug
a,3,S,T,sv,2,8-mars,30-mars,7-Jul,18-Jul,,8-Aug
a,3,S,T,sv,2,8-mars,7-avr.,16-Jun,22-Jun,18-Jul,24-Aug
a,3,S,T,sv,2,8-mars,25-avr.,30-Jun,5-Jul,25-Jul,8-Aug
a,4,H,T++,ar,1,8-mars,28-mars,,,,
a,4,H,T++,ar,1,8-mars,18-avr.,20-May,,,30-Jun
a,4,H,T++,ar,1,8-mars,28-mars,18-Jul,25-Jul,,
a,4,H,T++,ar,1,8-mars,28-mars,,,,
a,4,H,T++,ar,2,8-mars,21-avr.,,,,21-Jul
a,4,H,T++,ar,2,8-mars,18-avr.,,23-Sep,,17-Nov
a,4,H,T++,ar,2,8-mars,28-mars,,2-Jun,,18-Jul
a,4,H,T++,ar,2,8-mars,28-mars,,,,
a,4,H,T++,ar,3,8-mars,18-avr.,,,,10-Jan
a,4,H,T++,ar,3,8-mars,18-avr.,,,,
a,4,H,T++,ar,3,8-mars,18-avr.,,,,18-Jul
a,4,H,T++,ar,3,8-mars,28-mars,9-May,,,25-Jul
a,4,H,T++,sv,1,8-mars,7-avr.,9-May,16-May,,24-Aug
a,4,H,T++,sv,1,8-mars,2-May,<22/6,,18-Jul,2-Aug
a,4,H,T++,sv,1,8-mars,28-mars,9-May,21-May,,13-Aug
a,4,H,T++,sv,1,8-mars,30-Mar,14-May,21-May,,8-Aug
a,4,H,T++,sv,2,8-mars,5-May,,22-Jun,,22-Aug
a,4,H,T++,sv,2,8-mars,5-May,13-Jun,22-Jun,5-Jul,
a,4,H,T++,sv,2,8-mars,<5/5,,,,
a,5,H,T,aa,,8-mars,8-May,31-Aug,23-Sep,3-Nov,17-Nov
a,5,H,T,aa,,8-mars,12-May,31-Aug,19-Sep,20-Oct,17-Nov
a,5,H,T,aa,,8-mars,25-Apr,30-Aug,19-Sep,26-Oct,17-Nov
a,5,H,T,ar,1,8-mars,28-mars,,,,
a,5,H,T,ar,1,8-mars,28-mars,12-May,13-Jun,,117/7
a,5,H,T,ar,1,8-mars,28-mars,,,,7-Jul
a,5,H,T,ar,1,8-mars,28-mars,,,,7-Jul
a,5,H,T,ar,2,8-mars,28-mars,,,,11-Jul
a,5,H,T,ar,2,8-mars,30-mars,,,,11-Jul
a,5,H,T,ar,2,8-mars,30-mars,,,,
a,5,H,T,ar,2,8-mars,30-mars,,,,
a,5,H,T,ar,3,8-mars,30-mars,,,,5-Jul
a,5,H,T,ar,3,8-mars,25-avr.,,,,
a,5,H,T,ar,3,8-mars,28-mars,,,,24-Aug
a,5,H,T,ar,3,8-mars,28-mars,,,,25-Jul
a,5,H,T,sv,1,8-mars,31-mars,,2-Jun,30-Jun,8-Aug
a,5,H,T,sv,1,8-mars,31-mars,22-May,<2/6,27-Jun,8-Aug
a,5,H,T,sv,1,8-mars,25-avr.,16-Jun,22-Jun,11-Jul,17-Aug
a,5,H,T,sv,1,8-mars,30-mars,19-May,2-Jun,27-Jun,12-Sep
a,5,H,T,sv,2,8-mars,31-mars,,23-Jun,7-juil.,8-Aug
a,5,H,T,sv,2,8-mars,2-avr.,,,,22-Aug
a,5,H,T,sv,2,8-mars,9-May,,,,
a,5,H,T,sv,2,8-mars,30-Mar,28-May,6-Jun,5-Jul,2-Aug
a,6,S,T+,aa,,8-mars,29-avr.,25-Aug,19-Sep,26-Oct,<17/11
a,6,S,T+,ar,1,8-mars,28-mars,9-May,,,
a,6,S,T+,ar,1,8-mars,28-mars,,,,
a,6,S,T+,ar,1,8-mars,28-mars,9-May,,,30-Jun
a,6,S,T+,ar,1,8-mars,30-mars,,,,
a,6,S,T+,ar,2,8-mars,28-mars,,,,18-Jul
a,6,S,T+,ar,2,8-mars,28-mars,26-May,16-Jun,,18-Jul
a,6,S,T+,ar,2,8-mars,30-mars,27-Jun,5-Jul,18-Jul,21-Jul
a,6,S,T+,ar,2,8-mars,30-mars,,,,
a,6,S,T+,ar,3,8-mars,28-mars,,,,2-Jul
a,6,S,T+,ar,3,8-mars,18-avr.,,,,
a,6,S,T+,ar,3,8-mars,28-mars,5-Sep,,,
a,6,S,T+,ar,3,8-mars,18-avr.,,,,
a,6,S,T+,sv,1,8-mars,30-mars,20-May,6-Jun,27-Jun,22-Aug
a,6,S,T+,sv,1,8-mars,30-Mar,27-May,6-Jun,30-Jun,17-Aug
a,6,S,T+,sv,1,8-mars,28-Mar,21-May,2-Jun,27-Jun,8-Aug
a,6,S,T+,sv,1,8-mars,4-avr.,24-May,6-Jun,27-Jun,8-Aug
a,6,S,T+,sv,2,8-mars,31-mars,1-Aug,,,14-Sep
a,6,S,T+,sv,2,8-mars,4-avr.,,,,8-Aug
a,6,S,T+,sv,2,8-mars,9-May,,,,24-Aug
b,1,H,T,aa,1,8-mars,1-May,25-Aug,19-Sep,26-Oct,
b,1,H,T,aa,,8-mars,,1-Sep,19-Sep,26-Oct,17-Nov
b,1,H,T,aa,,8-mars,25-avr.,19-Sep,29-Sep,3-Nov,21-Nov
b,1,H,T,ar,1,8-mars,28-mars,12-May,,,
b,1,H,T,ar,1,8-mars,21-avr.,20-May,,,30-Jun
b,1,H,T,ar,1,8-mars,28-mars,,,,7-Jul
b,1,H,T,ar,1,8-mars,24-avr.,,,,
b,1,H,T,ar,2,8-mars,30-mars,13-Jun,<11/7,,18-Jul
b,1,H,T,ar,2,8-mars,4-avr.,22-Apr,7-Jul,,11-Jul
b,1,H,T,ar,2,8-mars,30-mars,,,,5-Jul
b,1,H,T,ar,2,8-mars,30-Mar,,,,
b,1,H,T,ar,3,8-mars,30-mars,26-May,,,28-Jul
b,1,H,T,ar,3,8-mars,7-avr.,21-Apr,,,18-Aug
b,1,H,T,ar,3,8-mars,30-mars,,,,7-Jul
b,1,H,T,ar,3,8-mars,7-avr.,,,,
b,1,H,T,sv,1,8-mars,30-mars,2-Jun,6-Jun,,22-Aug
b,1,H,T,sv,1,8-mars,11-avr.,6-Jun,13-Jun,,24-Aug
b,1,H,T,sv,1,8-mars,7-avr.,<6/6,<13/6,,17-Aug
b,1,H,T,sv,1,8-mars,4-avr.,26-May,2-Jun,,5-Sep
b,1,H,T,sv,2,8-mars,25-avr.,,16-Jun,,
b,1,H,T,sv,2,8-mars,11-avr.,,13-Jun,,22-Aug
b,1,H,T,sv,2,8-mars,11-avr.,2-Jun,6-Jun,27-Jun,
b,2,S,T+,aa,1,8-mars,16-May,,,,
b,2,S,T+,aa,,8-mars,10-May,19-Sep,<3/10,3-Nov,28-Nov
b,2,S,T+,aa,,8-mars,25-May,,,,
b,2,S,T+,aa,,8-mars,15-May,,,,
b,2,S,T+,ar,1,8-mars,28-mars,5-May,22-Jun,,25-Jul
b,2,S,T+,ar,1,8-mars,28-mars,5-May,,,
b,2,S,T+,ar,1,8-mars,28-Mar,15-May,,,
b,2,S,T+,ar,1,8-mars,28-mars,5-May,,,
b,2,S,T+,ar,2,8-mars,28-mars,27-Jun,,,28-Jul
b,2,S,T+,ar,2,8-mars,28-mars,11-May,22-Jun,25-Jul,2-Aug
b,2,S,T+,ar,2,8-mars,28-mars,<22/6,7-Jul,25-Jul,
b,2,S,T+,ar,2,8-mars,30-mars,<22/6,7-Jul,25-Jul,5-Sep
b,2,S,T+,ar,3,8-mars,28-mars,,,,5-Sep
b,2,S,T+,ar,3,8-mars,28-mars,,,,18-Jul
b,2,S,T+,ar,3,8-mars,28-mars,,,,18-Jul
b,2,S,T+,ar,3,8-mars,28-mars,5-May,,,
b,2,S,T+,sv,1,8-mars,25-avr.,,,,8-Aug
b,2,S,T+,sv,1,8-mars,28-mars,24-May,2-Jun,,8-Aug
b,2,S,T+,sv,1,8-mars,30-mars,<20/5,26-May,,8-Aug
b,2,S,T+,sv,1,8-mars,28-mars,,,,
b,2,S,T+,sv,2,8-mars,4-avr.,,<27/4,,18-Aug
b,2,S,T+,sv,2,8-mars,4-avr.,26-May,6-Jun,2-Aug,
b,2,S,T+,sv,2,8-mars,28-mars,16-May,21-May,,2-Aug
b,3,S,T++,ar,1,8-mars,30-mars,9-May,,,8-Aug
b,3,S,T++,ar,1,8-mars,28-mars,4-May,,,22-Jun
b,3,S,T++,ar,1,8-mars,28-mars,4-May,,,
b,3,S,T++,ar,1,8-mars,28-mars,5-May,,,
b,3,S,T++,ar,2,8-mars,30-mars,11-Jul,21-Jul,,2-Aug
b,3,S,T++,ar,2,8-mars,22-avr.,26-May,7-Jul,25-Jul,22-Aug
b,3,S,T++,ar,2,8-mars,21-avr.,,,,11-Jul
b,3,S,T++,ar,2,8-mars,21-avr.,,,,2-Jul
b,3,S,T++,ar,3,8-mars,30-mars,,,,5-Jul
b,3,S,T++,ar,3,8-mars,28-mars,13-Jun,22-Jun,,5-Jul
b,3,S,T++,ar,3,8-mars,30-mars,26-May,,,18-Jul
b,3,S,T++,sv,1,8-mars,4-avr.,19-May,26-May,,27-Jul
b,3,S,T++,sv,1,8-mars,2-May,2-Jun,<22/6,5-Jul,8-Aug
b,3,S,T++,sv,1,8-mars,4-avr.,13-May,17-May,,28-Jul
b,3,S,T++,sv,2,8-mars,9-May,,,,
b,3,S,T++,sv,2,8-mars,25-avr.,26-May,,,25-Jul
b,3,S,T++,sv,2,8-mars,<11/4,16-May,,,
b,3,S,T++,sv,2,8-mars,25-avr.,,,,
b,4,H,T+,ar,1,8-mars,30-mars,,16-Jun,18-Jul,28-Nov
b,4,H,T+,ar,1,8-mars,28-mars,22-Jun,27-Jun,,25-Jul
b,4,H,T+,ar,1,8-mars,28-mars,,,,25-Jul
b,4,H,T+,ar,1,8-mars,28-mars,19-May,,,
b,4,H,T+,ar,2,8-mars,7-avr.,,2-Jun,18-Jul,24-Oct
b,4,H,T+,ar,2,8-mars,28-mars,20-May,30-Jun,18-Jul,20-Aug
b,4,H,T+,ar,2,8-mars,28-mars,30-Jun,,,
b,4,H,T+,ar,2,8-mars,28-mars,30-Jun,21-Jul,,8-Sep
b,4,H,T+,ar,3,8-mars,<11/4,18-Jul,,,2-Aug
b,4,H,T+,ar,3,8-mars,21-avr.,,,,28-Nov
b,4,H,T+,ar,3,8-mars,28-mars,,,,11-Jul
b,4,H,T+,ar,3,8-mars,8-mars,,,,
b,4,H,T+,sv,1,8-mars,10-May,21-May,,,
b,4,H,T+,sv,1,8-mars,4-avr.,,22-May,,2-Aug
b,4,H,T+,sv,1,8-mars,28-mars,21-May,2-Jun,,24-Aug
b,4,H,T+,sv,1,8-mars,28-mars,26-May,2-Jun,,8-Aug
b,4,H,T+,sv,2,8-mars,4-May,16-Jun,22-Jun,,2-Aug
b,4,H,T+,sv,2,8-mars,4-May,,,,
b,4,H,T+,sv,2,8-mars,8-May,16-Jun,,,2-Aug
b,4,H,T+,sv,2,8-mars,7-avr.,,,,18-Aug
b,5,S,T,ar,1,8-mars,28-mars,19-May,,,21-Jul
b,5,S,T,ar,1,8-mars,7-avr.,9-May,,,7-Jul
b,5,S,T,ar,1,8-mars,28-mars,,,,5-Jul
b,5,S,T,ar,1,8-mars,28-mars,26-May,,,
b,5,S,T,ar,2,8-mars,7-avr.,23-May,2-Jun,18-Jul,25-Jul
b,5,S,T,ar,2,8-mars,30-mars,22-Jun,5-Jul,,25-Jul
