block,Plot,humidity treatment,temperature treatment,line,column,species,population,transplanted following germination failure,sowing,9,55,65,85,95
a,1,H,T+,2,4,qp,3,0,,, , , ,
a,1,H,T+,8,7,qp,2,0,,, , , ,
a,1,H,T+,14,1,qp,1,0,,, , , ,
a,1,H,T+,2,7,qr,3,0,,, , , ,
a,1,H,T+,8,1,qr,1,0,,, , , ,
a,1,H,T+,14,4,qr,2,0,,, , , ,
a,1,H,T+,2,6,sp,3,1,15/4/02,3/5/02,23/6/02,26/6/02, ,
a,1,H,T+,4,3,sp,1,0,15/4/02,25/4/02,15/6/02,18/6/02, ,
a,1,H,T+,6,1,sp,2,0,15/4/02,2/5/02,2/7/02,5/7/02, ,
a,1,H,T+,6,5,sp,1,0,15/4/02,8/5/02,28/6/02,30/6/02, ,
a,1,H,T+,6,7,sp,2,0,15/4/02,2/5/02,9/7/02,12/7/02, ,
a,1,H,T+,8,2,sp,3,0,15/4/02,3/5/02,19/6/02,21/6/02, ,
a,1,H,T+,10,3,sp,1,0,15/4/02,2/5/02,12/7/02,15/7/02, ,
a,1,H,T+,10,5,sp,3,1,15/4/02,3/5/02,24/7/02,26/7/02, ,
a,1,H,T+,11,3,sp,3,1,15/4/02,16/5/02,7/8/02,9/8/02, ,
a,1,H,T+,12,7,sp,1,0,15/4/02,26/4/02,2/8/02,9/8/02, ,
a,1,H,T+,13,1,sp,1,0,15/4/02,25/4/02,12/7/02,23/7/02, ,
a,1,H,T+,15,6,sp,2,0,15/4/02,25/4/02,19/6/02,21/6/02, ,
a,1,H,T+,1,3,sv,2,0,15/4/02,18/5/02, , , ,
a,1,H,T+,3,2,sv,1,0,15/4/02,8/5/02,9/7/02,12/7/02,20/8/02,
a,1,H,T+,3,8,sv,1,0,15/4/02,2/5/02,9/7/02,12/7/02,6/8/02,8/10/02
a,1,H,T+,4,4,sv,4,1,15/4/02,17/6/02, , , ,
a,1,H,T+,5,7,sv,4,0,15/4/02,8/5/02,9/7/02, , ,
a,1,H,T+,6,6,sv,2,1,15/4/02,24/5/02, , , ,
a,1,H,T+,7,3,sv,3,0,15/4/02,29/4/02,1/6/02,8/6/02,6/8/02,8/10*
a,1,H,T+,8,5,sv,3,1,15/4/02,13/5/02,13/6/02,18/6/02,9/8/02,15/10/02
a,1,H,T+,9,1,sv,2,1,15/4/02,17/6/02, , , ,
a,1,H,T+,10,7,sv,4,1,15/4/02,27/5/02, , , ,
a,1,H,T+,11,4,sv,1,1,15/4/02,13/5/02,15/7/02,18/7/02,9/8/02,8/10/02
a,1,H,T+,12,1,sv,4,0,15/4/02,22/5/02, , , ,
a,1,H,T+,14,5,sv,1,1,15/4/02,13/5/02,7/8/02,9/8/02,20/8/02,8/10/02
a,1,H,T+,15,1,sv,3,0,15/4/02,29/4/02,10/6/02,13/6/02,6/8/02,24/10/02
a,1,H,T+,15,5,sv,2,0,15/4/02,22/5/02, , , ,
a,1,H,T+,15,8,sv,3,0,15/4/02,2/5/02, , , ,14/11/02
a,2,S,T++,1,4,aa,1,1,15/4/02,13/5/02,4/9/02,25/9/02, ,26/11/02
a,2,S,T++,3,5,aa,2,1,15/4/02,13/5/02,10/9/02,26/9/02, ,26/11/02
a,2,S,T++,4,1,aa,3,1,15/4/02,13/5/02,17/9/02,1/10/02, ,14/11/02
a,2,S,T++,4,7,aa,3,1,15/4/02,13/5/02,4/9/02,20/9/02, ,26/11/02
a,2,S,T++,6,3,aa,2,1,15/4/02,13/5/02,4/9/02,25/9/02, ,26/11/02
a,2,S,T++,7,6,aa,1,1,15/4/02,13/5/02,4/9/02,24/9/02, ,26/11/02
a,2,S,T++,9,3,aa,2,1,15/4/02,13/5/02,1/10/02, , ,16/12/02
a,2,S,T++,9,8,aa,1,1,15/4/02,13/5/02,4/9/02,20/9/02, ,26/11/02
a,2,S,T++,11,7,aa,2,1,15/4/02,13/5/02,10/9/02,26/9/02, ,
a,2,S,T++,13,2,aa,1,1,15/4/02,13/5/02,4/9/02,24/9/02, ,26/11/02
a,2,S,T++,13,4,aa,3,1,15/4/02,13/5/02,10/9/02,26/9/02, ,26/11/02
a,2,S,T++,13,6,aa,3,1,15/4/02,13/5/02,4/9/02,24/9/02, ,26/11/02
a,2,S,T++,1,5,ad,1,1,15/4/02,3/5/02,22/6/02, , ,
a,2,S,T++,3,6,ad,2,0,15/4/02,13/5/02,26/6/02, , ,
a,2,S,T++,5,3,ad,2,0,15/4/02,17/5/02, , , ,
a,2,S,T++,5,8,ad,3,0,,, , , ,
a,2,S,T++,7,1,ad,2,1,15/4/02,21/5/02, , , ,
a,2,S,T++,7,4,ad,1,1,15/4/02,3/5/02,10/6/02,9/7/02, ,
a,2,S,T++,9,2,ad,1,1,15/4/02,3/5/02,10/6/02, , ,
a,2,S,T++,9,6,ad,3,1,15/4/02,24/5/02, , , ,
a,2,S,T++,10,4,ad,3,1,15/4/02,21/5/02, , , ,
a,2,S,T++,12,6,ad,2,0,15/4/02,21/5/02, , , ,
a,2,S,T++,13,3,ad,2,0,15/4/02,13/6/02, , , , 
a,2,S,T++,15,7,ad,1,1,15/4/02,3/5/02, , , , 
a,2,S,T++,1,2,ar,2,1,15/4/02,21/5/02,*02/07/2002, , ,
a,2,S,T++,2,5,ar,3,0,15/4/02,22/4/02,28/6/02,2/7/02,26/7/02,26/11/02
a,2,S,T++,3,7,ar,1,0,15/4/02,25/4/02,26/6/02,28/6/02,26/7/02,16/11/02
a,2,S,T++,4,2,ar,3,0,15/4/02,19/4/02, , , ,
a,2,S,T++,5,1,ar,1,0,15/4/02,22/4/02,28/6/02,2/7/02,5/8/02,7/10/02
a,2,S,T++,5,5,ar,2,0,15/4/02,20/5/02,*2/7,,*30/7,
a,2,S,T++,8,6,ar,2,1,15/4/02,24/5/02,*2/7,,*6/8,
a,2,S,T++,10,2,ar,2,1,15/4/02,21/5/02,24/6/02,26/6/02,30/7/02,
a,2,S,T++,11,1,ar,1,0,15/4/02,19/4/02,18/6/02,21/6/02,23/7/02,6/11/02
a,2,S,T++,12,4,ar,3,0,15/4/02,25/4/02,4/6/02,18/6/02,12/7/02,8/11/02
a,2,S,T++,13,7,ar,1,0,15/4/02,25/4/02,15/6/02,18/6/02,23/7/02,4/9*
a,2,S,T++,15,3,ar,1,0,15/4/02,22/4/02,19/6/02,22/6/02,23/7/02,8/10/02
