Block,Plot,humidity treatment,temperature treatment,line,column,Species,Population,sowing,09,55,65,85,91,95,death ,,
a,1,H,T+,1,4,aa,1,20/03/03,,,,,,,,,
a,1,H,T+,7,6,aa,1,20/03/03,,,,,,,,,
a,1,H,T+,9,8,aa,1,20/03/03,,,,,,,,,
a,1,H,T+,13,2,aa,1,20/03/03,,,,,,,,,
a,2,S,T++,1,4,aa,1,20/03/03,,,,,,,,,
a,2,S,T++,7,6,aa,1,20/03/03,,,,,,,,,
a,2,S,T++,9,8,aa,1,20/03/03,,,,,,,,,
a,2,S,T++,13,2,aa,1,20/03/03,,,,,,,,,
a,3,S,T,1,4,aa,1,20/03/03,,,,,,,,,
a,3,S,T,7,6,aa,1,20/03/03,,,,,,,,,
a,3,S,T,9,8,aa,1,20/03/03,,,,,,,,,
a,3,S,T,13,2,aa,1,20/03/03,,,,,,,,,
a,4,H,T++,1,4,aa,1,20/03/03,,,,,,,,,
a,4,H,T++,7,6,aa,1,20/03/03,,,,,,,,,
a,4,H,T++,9,8,aa,1,20/03/03,,,,,,,,,
a,4,H,T++,13,2,aa,1,20/03/03,,,,,,,,,
a,5,H,T,1,4,aa,1,20/03/03,,,,,,,,,
a,5,H,T,7,6,aa,1,20/03/03,,,,,,,,,
a,5,H,T,9,8,aa,1,20/03/03,,,,,,,,,
a,5,H,T,13,2,aa,1,20/03/03,,,,,,,,,
a,6,S,T+,1,4,aa,1,20/03/03,,,,,,,,,
a,6,S,T+,7,6,aa,1,20/03/03,,,,,,,,,
a,6,S,T+,9,8,aa,1,20/03/03,,,,,,,,,
a,6,S,T+,13,2,aa,1,20/03/03,,,,,,,,,
b,1,H,T,1,4,aa,1,21/03/03,,,,,,,,,
b,1,H,T,7,6,aa,1,21/03/03,,,,,,,,,
b,1,H,T,9,8,aa,1,21/03/03,,,,,,,,,
b,1,H,T,13,2,aa,1,21/03/03,,,,,,,,,
b,2,S,T+,1,4,aa,1,21/03/03,,,,,,,,,
b,2,S,T+,7,6,aa,1,21/03/03,,,,,,,,,
b,2,S,T+,9,8,aa,1,21/03/03,,,,,,,,,
b,2,S,T+,13,2,aa,1,21/03/03,,,,,,,,,
b,3,S,T++,1,4,aa,1,21/03/03,,,,,,,,,
b,3,S,T++,7,6,aa,1,21/03/03,,,,,,,,,
b,3,S,T++,9,8,aa,1,21/03/03,,,,,,,,,
b,3,S,T++,13,2,aa,1,21/03/03,,,,,,,,,
b,4,H,T+,1,4,aa,1,21/03/03,,,,,,,,,
b,4,H,T+,7,6,aa,1,21/03/03,,,,,,,,,
b,4,H,T+,9,8,aa,1,21/03/03,,,,,,,,,
b,4,H,T+,13,2,aa,1,21/03/03,,,,,,,,,
b,5,S,T,1,4,aa,1,21/03/03,,,,,,,,,
b,5,S,T,7,6,aa,1,21/03/03,,,,,,,,,
b,5,S,T,9,8,aa,1,21/03/03,,,,,,,,,
b,5,S,T,13,2,aa,1,21/03/03,,,,,,,,,
b,6,H,T++,1,4,aa,1,21/03/03,,,,,,,,,
b,6,H,T++,3,5,aa,1,21/03/03,,,,,,,,,
b,6,H,T++,9,8,aa,1,21/03/03,,,,,,,,,
b,6,H,T++,13,2,aa,1,21/03/03,,,,,,,,,
c,1,S,T,1,4,aa,1,25/03/03,,,,,,,,,
c,1,S,T,7,6,aa,1,25/03/03,,,,,,,,,
c,1,S,T,9,8,aa,1,25/03/03,,,,,,,,,
c,1,S,T,13,2,aa,1,25/03/03,,,,,,,,,
c,2,H,T++,1,4,aa,1,25/03/03,,,,,,,,,
c,2,H,T++,7,6,aa,1,25/03/03,,,,,,,,,
c,2,H,T++,9,8,aa,1,25/03/03,,,,,,,,,
c,2,H,T++,13,2,aa,1,25/03/03,,,,,,,,,
c,3,H,T,1,4,aa,1,25/03/03,,,,,,,,,
c,3,H,T,7,6,aa,1,25/03/03,,,,,,,,,
c,3,H,T,9,8,aa,1,25/03/03,,,,,,,,,
c,3,H,T,13,2,aa,1,25/03/03,,,,,,,,,
c,4,S,T++,1,4,aa,1,25/03/03,,,,,,,,,
c,4,S,T++,7,6,aa,1,25/03/03,,,,,,,,,
c,4,S,T++,9,8,aa,1,25/03/03,,,,,,,,,
c,4,S,T++,13,2,aa,1,25/03/03,,,,,,,,,
c,5,H,T+,1,4,aa,1,25/03/03,,,,,,,,,
c,5,H,T+,7,6,aa,1,25/03/03,,,,,,,,,
c,5,H,T+,9,8,aa,1,25/03/03,,,,,,,,,
c,5,H,T+,13,2,aa,1,25/03/03,,,,,,,,,
c,6,S,T+,1,4,aa,1,25/03/03,,,,,,,,,
c,6,S,T+,7,6,aa,1,25/03/03,,,,,,,,,
c,6,S,T+,9,8,aa,1,25/03/03,,,,,,,,,
c,6,S,T+,13,2,aa,1,25/03/03,,,,,,,,,
d,1,S,T++,1,4,aa,1,26/03/03,,,,,,,,,
