2005,,Camp Redon,,mini,,,,,,,,
date,janvier ,f_vrier,mars,avril,mai,juin,juillet,ao_t,sept,oct,nov,dec
1,-0.5,-2,-5,4.5,12,12,20,15.5,19,,,
2,3,-1,-8,8,12.5,13,20,18.5,18,,,
3,5,2,-6.5,9.5,14,15.5,20,20,18,,,
4,-1.5,-3,0,9.5,13,16,20.5,21.5,19,,,
5,-2.5,-1,0.5,7,12.5,17.5,15,14.5,21.5,,,
6,-1.5,3,-2,6.5,11,13,18.5,17,17.5,,,
7,1.5,4,-4,10,11,16.5,18,19.5,16.5,,,
8,5,4.5,0.5,10.5,11,13,17.5,19,16.5,,,
9,0,2,-1.5,7,7,12,15.5,15.5,16,,,
10,0.5,-1,-2.5,7,12,11.5,16,18,15.5,,,
11,4.5,-1,-2,8,13,11,19.5,18,15.5,,,
12,3.5,9,-3,7.5,13.5,13,18,15,12,,,
13,3,11,-1,8.5,12,17,17,19,14,,,
14,-2.5,4,2.5,6,12,16,19,17,15,,,
15,-2,3,2.5,8,10.5,16.5,19,16.5,13.5,,,
16,2.5,2.5,3.5,6.5,12,20,20,13,13.5,,,
17,3,-0.5,2,6.5,12,17,19,16.5,15,,,
18,3,-6,5.5,6,10.5,20,21,19,9.5,,,
19,4,-4.5,6.5,8.5,6,19,20.5,16,10.5,,,
20,3.5,2.5,7.5,7.5,10,19.5,15,17.5,11.5,,,
21,10.5,-0.5,7,7.5,9,20,17.5,17.5,8.5,,,
22,12,-4,10,5.5,13,18.5,18,18,9.5,,,
23,10,-5.5,7,9.5,12,19,17,18.5,11,,,
24,-2.5,-7,9,11,9,20.5,18,15.5,11.5,,,
25,0.5,-6.5,7,8.5,11.5,22.5,21,15,16.5,,,
26,-1,-4,8.5,8,10,17.5,21.5,16.5,15,,,
27,-6,-6.5,8,8.5,11.5,20,20,17,14.5,,,
28,-7,-5,6.5,8.5,14,21,21.5,16,,,,
29,-4.5,,6.5,11,12.5,20,21.5,16,,,,
30,-7,,8,12.5,16.5,19.5,18,16,,,,
31,-6.5,,11,,12.5,,17,16.5,,,,
,,,,,,,,,,,,
somme,30,-11.5,84,243,359,507.5,580,529,394,0,0,0
moyenne,0.967741935,-0.410714286,2.709677419,8.1,11.58064516,16.91666667,18.70967742,17.06451613,14.59259259,#DIV/0!,#DIV/0!,#DIV/0!
TÁ min,-7,-7,-8,4.5,6,11,15,13,8.5,0,0,0
