placette,rep,plot,hum,temp,date,30 cm,15 cm,,placette,rep,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030325,19.9,17,,a1,A,H,T+,21.34723719,19.41202673,,hum,Données,T,T+,T++,Total,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030325,29.9,29.7,,a2,A,S,T++,23.75477932,21.01491375,,H,Moyenne de 30 cm,24.74080811,24.1880047,23.03456463,23.98779248,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030325,29.7,31.1,,a3,A,S,T,23.16984008,23.11094889,,,Moyenne de 15 cm,24.51351411,22.99903681,22.69994459,23.40416517,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030325,19.6,16.8,,a4,A,H,T++,22.95848645,21.82821432,,S,Moyenne de 30 cm,23.58384387,23.85038481,21.62709567,23.02044145,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030325,25.4,22.1,,a5,A,H,T,24.60065725,25.02590258,,,Moyenne de 15 cm,23.62480936,22.5812056,20.68826094,22.29809197,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030325,24.5,19.2,,a6,A,S,T+,24.76542115,24.03916542,,Total Moyenne de 30 cm,,24.16232599,24.01919475,22.33083015,23.50411696,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030325,33.4,21.3,,b1,B,H,T,24.02100614,24.27969451,,Total Moyenne de 15 cm,,24.06916173,22.79012121,21.69410276,22.85112857,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030325,27.3,28.3,,b2,B,S,T+,22.35082465,20.43537157,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030325,26,20.6,,b3,B,S,T++,20.73959873,19.80394355,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030325,28.1,25.7,,b4,B,H,T+,24.20480376,22.51102463,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030325,28.9,23.4,,b5,B,S,T,23.05024578,23.13735647,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030325,26.4,22.3,,b6,B,H,T++,23.33237557,21.74736306,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030325,29.1,30.4,,c1,C,S,T,24.98489165,25.3363338,,,,,,,,,,,,,,,,,,,,,,,,,,
