placette,rep,plot,hum,temp,date,30 cm,15 cm,,placette,rep,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030325,21.9,21.7,,c2,C,H,T++,23.10258014,23.18601071,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030325,20.9,21,,c3,C,H,T,24.40071725,24.92744881,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030325,23.9,20.9,,c4,C,S,T++,21.65459457,20.89793055,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030325,25.8,22.7,,c5,C,H,T+,24.14684162,23.66222613,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030325,28.1,23.5,,c6,C,S,T+,24.58950377,23.4691092,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030325,27.1,26.7,,d1,D,S,T++,21.11807044,20.729425,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030325,21.9,19.9,,d2,D,S,T+,23.59059883,22.83692149,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030325,27,27.6,,d3,D,H,T++,22.85632669,23.59380088,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030325,29.8,29.5,,d4,D,S,T,24.78742039,24.13091663,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030325,29.3,30.5,,d5,D,H,T+,25.51698269,24.20468743,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030325,25.3,21.6,,d6,D,H,T,25.03779006,24.18204413,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030325,24.7,19,,e1,E,H,T+,25.72415822,25.20521913,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030325,28.1,24.8,,e2,E,H,T,25.64386987,24.15248052,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030325,25.2,22,,e3,E,H,T++,22.92305429,23.14433397,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030325,28.4,29,,e4,E,S,T++,20.86843532,20.99509185,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030325,27.7,23.8,,e5,E,S,T+,23.95557565,22.12546033,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030325,21.9,20.7,,e6,E,S,T,21.92682147,22.408491,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030404,27.4,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030404,31.2,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030404,30.9,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030404,24.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030404,28.6,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030404,27.7,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030404,26.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030404,27.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030404,27.8,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030404,32.2,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030404,30.1,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030404,28,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030404,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030404,27.4,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030404,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030404,27.1,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030404,24.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030404,27.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030404,31.7,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030404,27.4,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030404,31.4,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030404,30.9,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030404,28,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030404,28.8,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030404,28.5,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030404,29.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030404,27.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030404,29.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030404,30.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030404,28.1,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030414,27.2,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030414,32,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030414,30.8,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030414,27.5,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030414,30.3,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030414,28,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030414,26.7,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030414,28.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030414,31.1,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030414,30.2,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030414,31.9,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030414,28.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030414,30.1,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030414,28,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030414,28.3,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030414,27.7,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030414,27.9,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030414,28.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030414,32.8,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030414,26.8,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030414,33.2,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030414,32.2,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030414,28.9,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030414,28.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030414,25.1,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030414,30.9,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030414,26.7,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030414,29,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030414,31.1,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030414,28.1,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030425,27.4,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030425,31.2,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030425,30.9,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030425,24.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030425,28.6,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030425,27.7,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030425,26.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030425,27.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030425,27.8,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030425,32.2,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030425,30.1,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030425,28,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030425,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030425,27.4,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030425,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030425,27.1,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030425,24.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030425,27.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030425,31.7,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030425,27.4,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030425,31.4,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030425,30.9,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030425,28,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030425,28.8,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030425,28.5,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030425,29.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030425,27.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030425,29.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030425,30.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030425,28.1,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030502,25.8,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030502,30.2,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030502,30.4,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030502,22.6,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030502,29.8,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030502,26.9,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030502,25.2,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030502,28.7,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030502,26.2,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030502,31.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030502,31.1,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030502,27.1,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030502,32.7,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030502,27.4,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030502,26.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030502,26.3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030502,27.2,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030502,26,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030502,31.2,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030502,25,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030502,31.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030502,31.1,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030502,28.6,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030502,32.5,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030502,27.7,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030502,28.5,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030502,27.1,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030502,28.7,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030502,30.5,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030502,28.1,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030507,22.3,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030507,25.2,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030507,26.3,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030507,20.2,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030507,24.1,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030507,18.1,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030507,18.4,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030507,21.1,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030507,20.0,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030507,28.1,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030507,21.7,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030507,24.6,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030507,25.7,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030507,27.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030507,19.8,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030507,21.9,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030507,23.5,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030507,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030507,21.0,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030507,19.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030507,21.4,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030507,23.5,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030507,23.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030507,22.6,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030507,20.5,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030507,19.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030507,22.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030507,20.9,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030507,25.4,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030507,22.6,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030516,16,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030516,18.8,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030516,22.1,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030516,15.3,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030516,22.3,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030516,19.1,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030516,17.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030516,17.9,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030516,18.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030516,21.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030516,19.3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030516,17,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030516,19.5,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030516,18.4,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030516,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030516,18.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030516,19.6,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030516,15.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030516,21.7,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030516,12.9,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030516,18.2,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030516,21.4,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030516,20.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030516,22.4,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030516,19.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030516,20.2,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030516,19.1,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030516,21.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,6,H,T,030516,20.4,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,6,S,T,030516,16.3,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,1,H,T+,030528,16.8,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,1,H,T,030528,18.8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,1,S,T,030528,24.6,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,1,S,T++,030528,16.7,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,1,H,T+,030528,22.4,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,2,S,T++,030528,20.3,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,2,S,T+,030528,17.7,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,2,H,T++,030528,20,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,2,S,T+,030528,20.3,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,2,H,T,030528,22.6,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,3,S,T,030528,20.7,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,3,S,T++,030528,16.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,3,H,T,030528,19.1,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,3,H,T++,030528,16.8,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,3,H,T++,030528,19,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,4,H,T++,030528,20,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,4,H,T+,030528,21,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,4,S,T++,030528,18,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,4,S,T,030528,21.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,4,S,T++,030528,16.7,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,5,H,T,030528,21.3,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,5,S,T,030528,20.7,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,5,H,T+,030528,19.9,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,5,H,T+,030528,23,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,5,S,T+,030528,21.6,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,6,S,T+,030528,21.3,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,6,H,T++,030528,19,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,6,S,T+,030528,22.7,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
