2004,,Météo Camp Redon,,,pluie,,,,,,,,
date,janvier,février,mars,avril,mai,juin,juillet,août,sept,octobre,nov,dec,total
1,,2.8,,1,4,1.8,,,,,3.2,2,
2,3.2,0.3,,1.2,,,,,15.3,,,17,
3,,,,17,1,,,,,,1.2,,
4,,,,,7.5,,,,,0.2,2,,
5,,,,,,,,4.5,,,0.5,,
6,,,,,,,,,,,,,
7,,,19,,,,1.2,,,42,,,
8,,,,,,,,3,,0.3,,27,
9,0.1,,,,,,,,,,,3,
10,3,,,,,,,,,0.2,T,0.2,
11,,,,,,,,32,,11,,,
12,0.2,,3.5,,,23,,,27,1.5,,,
13,0.3,,6,,,,,,,8.5,,,
14,,,8.5,,,,,,28,1.4,,,
15,,,,1,,0.5,,,22,12,,2.5,
16,,,,,,,,,,,,11.5,
17,,,,18.5,,,,,,5.5,,0.1,
18,5.3,,,,,,,3.5,,,,,
19,,,,2.5,,,,T,,4.5,,1,
20,,,,0.2,,,,0.5,,T,,,
21,,18,,,,,,,,,,,
22,,10,,,,T,,,,,,,
23,5.5,5,,0.2,6,T,,,,,,,
24,,,,,,,,2.2,,0.5,,,
25,3.5,,,,,,,2.4,,0.3,,,
26,10,,,,,,,,,20,,2,
27,8.5,,,,,,,,,7.5,,,
28,,,,,2.5,,,,,12,,,
29,,,,10,,,,,,0.5,2.5,,
30,,,4.5,55,,,,,,,,,
31,,,29,,0.7,,,,,14,,,
,,,,,,,,,,,,,
somme,39.6,36.1,70.5,106.6,21.7,25.3,1.2,48.1,92.3,141.9,9.4,66.3,659
nb. jours,10,5,6,10,6,3,1,7,4,18,5,10,85
