2005,,Camp Redon,,maxi,,,,,,,,,,mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,janvier ,f_vrier,mars,avril,mai,juin,juillet,ao_t,sept,oct,nov,dec,,janvier ,f_vrier,mars,avril,mai,juin,juillet,ao_t,sept,oct,nov,dec,,janvier ,f_vrier,mars,avril,mai,juin,juillet,ao_t,sept,oct,nov,dec,,janvier ,f_vrier,mars,avril,mai,juin,juillet,ao_t,sept,oct,nov,dec,
1,13,12.5,3,18,23.5,29,31,30,28,,,,,-0.5,-2,-5,4.5,12,12,20,15.5,19,,,,,6.25,5.25,-1,11.25,17.75,20.5,25.5,22.75,23.5,,,,,6.25,5.25,0,11.25,17.75,20.5,25.5,22.75,,,,,
2,17.5,14,7,19,20.5,29,28.5,28,29.5,,,,,3,-1,-8,8,12.5,13,20,18.5,18,,,,,10.25,6.5,-0.5,13.5,16.5,21,24.25,23.25,23.75,,,,,10.25,6.5,0,13.5,16.5,21,24.25,23.25,,,,,
3,16,13.5,9,15,22.5,27.5,34.5,27.5,31,,,,,5,2,-6.5,9.5,14,15.5,20,20,18,,,,,10.5,7.75,1.25,12.25,18.25,21.5,27.25,23.75,24.5,,,,,10.5,7.75,1.25,12.25,18.25,21.5,27.25,23.75,,,,,
4,13,12,11.5,16,25,27.5,32.5,31,29.5,,,,,-1.5,-3,0,9.5,13,16,20.5,21.5,19,,,,,5.75,4.5,5.75,12.75,19,21.75,26.5,26.25,24.25,,,,,5.75,4.5,5.75,12.75,19,21.75,26.5,26.25,,,,,
5,13,13,9,16.5,24,29,27,32.5,28,,,,,-2.5,-1,0.5,7,12.5,17.5,15,14.5,21.5,,,,,5.25,6,4.75,11.75,18.25,23.25,21,23.5,24.75,,,,,5.25,6,4.75,11.75,18.25,23.25,21,23.5,,,,,
6,12.5,12.5,8.5,18.5,23,30,27,33,25,,,,,-1.5,3,-2,6.5,11,13,18.5,17,17.5,,,,,5.5,7.75,3.25,12.5,17,21.5,22.75,25,21.25,,,,,5.5,7.75,3.25,12.5,17,21.5,22.75,25,,,,,
7,16.5,6.5,10,16,23.5,29,28,34.5,23.5,,,,,1.5,4,-4,10,11,16.5,18,19.5,16.5,,,,,9,5.25,3,13,17.25,22.75,23,27,20,,,,,9,5.25,3,13,17.25,22.75,23,27,,,,,
8,14.5,11.5,11.5,15,25,29,25,31.5,24,,,,,5,4.5,0.5,10.5,11,13,17.5,19,16.5,,,,,9.75,8,6,12.75,18,21,21.25,25.25,20.25,,,,,9.75,8,6,12.75,18,21,21.25,25.25,,,,,
9,14,10,12.5,16.5,24.5,25,27.5,30.5,20,,,,,0,2,-1.5,7,7,12,15.5,15.5,16,,,,,7,6,5.5,11.75,15.75,18.5,21.5,23,18,,,,,7,6,5.5,11.75,15.75,18.5,21.5,23,,,,,
10,13,15,15,12.5,21,26.5,27.5,26.5,24.5,,,,,0.5,-1,-2.5,7,12,11.5,16,18,15.5,,,,,6.75,7,6.25,9.75,16.5,19,21.75,22.25,20,,,,,6.75,7,6.25,9.75,16.5,19,21.75,22.25,,,,,
11,10,16,15,15.5,21,24,28.5,27,22.5,,,,,4.5,-1,-2,8,13,11,19.5,18,15.5,,,,,7.25,7.5,6.5,11.75,17,17.5,24,22.5,19,,,,,7.25,7.5,6.5,11.75,17,17.5,24,22.5,,,,,
12,13,12.5,12.5,19,24,23,32.5,25.5,23,,,,,3.5,9,-3,7.5,13.5,13,18,15,12,,,,,8.25,10.75,4.75,13.25,18.75,18,25.25,20.25,17.5,,,,,8.25,10.75,4.75,13.25,18.75,18,25.25,20.25,,,,,
13,12.5,15,13,19,20,23,32,33,25.5,,,,,3,11,-1,8.5,12,17,17,19,14,,,,,7.75,13,6,13.75,16,20,24.5,26,19.75,,,,,7.75,13,6,13.75,16,20,24.5,26,,,,,
14,14.5,12.5,15,19,19,23,31.5,32.5,26,,,,,-2.5,4,2.5,6,12,16,19,17,15,,,,,6,8.25,8.75,12.5,15.5,19.5,25.25,24.75,20.5,,,,,6,8.25,8.75,12.5,15.5,19.5,25.25,24.75,,,,,
15,14,9.5,13.5,18,23.5,25.5,28,31,28.5,,,,,-2,3,2.5,8,10.5,16.5,19,16.5,13.5,,,,,6,6.25,8,13,17,21,23.5,23.75,21,,,,,6,6.25,8,13,17,21,23.5,23.75,,,,,
16,10,9,18,13.5,22,29.5,28.5,30,28.5,,,,,2.5,2.5,3.5,6.5,12,20,20,13,13.5,,,,,6.25,5.75,10.75,10,17,24.75,24.25,21.5,21,,,,,6.25,5.75,10.75,10,17,24.75,24.25,21.5,,,,,
17,11,8,18,14,20.5,30,29,31,28.5,,,,,3,-0.5,2,6.5,12,17,19,16.5,15,,,,,7,3.75,10,10.25,16.25,23.5,24,23.75,21.75,,,,,7,3.75,10,10.25,16.25,23.5,24,23.75,,,,,
18,12,8.5,20,18,16,32,31.5,27.5,21,,,,,3,-6,5.5,6,10.5,20,21,19,9.5,,,,,7.5,1.25,12.75,12,13.25,26,26.25,23.25,15.25,,,,,7.5,1.25,12.75,12,13.25,26,26.25,23.25,,,,,
19,14,7,18.5,20.5,22.5,31.5,30,27,21.5,,,,,4,-4.5,6.5,8.5,6,19,20.5,16,10.5,,,,,9,1.25,12.5,14.5,14.25,25.25,25.25,21.5,16,,,,,9,1.25,12.5,14.5,14.25,25.25,25.25,21.5,,,,,
20,11,10,16,18.5,23,31,30.5,30,20.5,,,,,3.5,2.5,7.5,7.5,10,19.5,15,17.5,11.5,,,,,7.25,6.25,11.75,13,16.5,25.25,22.75,23.75,16,,,,,7.25,6.25,11.75,13,16.5,25.25,22.75,23.75,,,,,
21,17,13,16,17,23.5,32,34.5,27,25,,,,,10.5,-0.5,7,7.5,9,20,17.5,17.5,8.5,,,,,13.75,6.25,11.5,12.25,16.25,26,26,22.25,16.75,,,,,13.75,6.25,11.5,12.25,16.25,26,26,22.25,,,,,
22,15,8.5,13.5,20.5,18.5,30.5,32,22.5,24,,,,,12,-4,10,5.5,13,18.5,18,18,9.5,,,,,13.5,2.25,11.75,13,15.75,24.5,25,20.25,16.75,,,,,13.5,2.25,11.75,13,15.75,24.5,25,20.25,,,,,
23,16,6.5,14.5,18,21,32,34,27,23.5,,,,,10,-5.5,7,9.5,12,19,17,18.5,11,,,,,13,0.5,10.75,13.75,16.5,25.5,25.5,22.75,17.25,,,,,13,0.5,10.75,13.75,16.5,25.5,25.5,22.75,,,,,
24,12,8,16,13.5,22,29,29.5,29,23.5,,,,,-2.5,-7,9,11,9,20.5,18,15.5,11.5,,,,,4.75,0.5,12.5,12.25,15.5,24.75,23.75,22.25,17.5,,,,,4.75,0.5,12.5,12.25,15.5,24.75,23.75,22.25,,,,,
25,8,7.5,13,14.5,25,27,27.5,29.5,24.5,,,,,0.5,-6.5,7,8.5,11.5,22.5,21,15,16.5,,,,,4.25,0.5,10,11.5,18.25,24.75,24.25,22.25,20.5,,,,,4.25,0.5,10,11.5,18.25,24.75,24.25,22.25,,,,,
26,5,7.5,17,19,27,28.5,28,27,24,,,,,-1,-4,8.5,8,10,17.5,21.5,16.5,15,,,,,2,1.75,12.75,13.5,18.5,23,24.75,21.75,19.5,,,,,2,1.75,12.75,13.5,18.5,23,24.75,21.75,,,,,
27,3.5,9.5,13,20,28,31.5,29.5,30.5,24.5,,,,,-6,-6.5,8,8.5,11.5,20,20,17,14.5,,,,,-1.25,1.5,10.5,14.25,19.75,25.75,24.75,23.75,19.5,,,,,0,1.5,10.5,14.25,19.75,25.75,24.75,23.75,,,,,
28,4.1,8,20,22,27,31,28.5,21.5,,,,,,-7,-5,6.5,8.5,14,21,21.5,16,,,,,,-1.45,1.5,13.25,15.25,20.5,26,25,18.75,,,,,,0,1.5,13.25,15.25,20.5,26,25,18.75,,,,,
29,6,,20,23.5,28,32.5,28,30.5,,,,,,-4.5,,6.5,11,12.5,20,21.5,16,,,,,,0.75,,13.25,17.25,20.25,26.25,24.75,23.25,,,,,,0.75,,13.25,17.25,20.25,26.25,24.75,23.25,,,,,
30,6,,20,27.5,27.5,33,29,29,,,,,,-7,,8,12.5,16.5,19.5,18,16,,,,,,-0.5,,14,20,22,26.25,23.5,22.5,,,,,,0,,14,20,22,26.25,23.5,22.5,,,,,
31,8.5,,18,,24.5,,31.5,29.5,,,,,,-6.5,,11,,12.5,,17,16.5,,,,,,1,,14.5,,18.5,,24.25,23,,,,,,1,,14.5,,18.5,,24.25,23,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somme,366.1,297,437.5,533.5,716,861,922.5,902.5,677.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.25,142.75,262.25,388.25,537.5,684.25,751.25,715.75,0,0,0,0,GDD0
moyenne,11.80967742,10.60714286,14.11290323,17.78333333,23.09677419,28.7,29.75806452,29.11290323,25.09259259,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÁ max,17.5,16,20,27.5,28,33,34.5,34.5,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
