Block,Plot,humidity treatment,temperature treatment,species,population,sowing,transplanted following germination failure,9,55,65,85,95
a,1,H,T+,aa,1,,,15-Mar,,,,
a,1,H,T+,aa,1,,,15-Mar,,,,
a,1,H,T+,aa,1,,,,,,,
a,1,H,T+,aa,1,,,5-Apr,,,,
a,2,S,T++,aa,1,,,,,,,
a,2,S,T++,aa,1,,,,,,,
a,2,S,T++,aa,1,,,,,,,
a,2,S,T++,aa,1,,,,,,,
a,3,S,T,aa,1,,,,,,,
a,3,S,T,aa,1,,,,,,,
a,3,S,T,aa,1,,,,,,,
a,3,S,T,aa,1,,,,,,,
a,4,H,T++,aa,1,,,,,,,
a,4,H,T++,aa,1,,,,,,,
a,4,H,T++,aa,1,,,,,,,
a,4,H,T++,aa,1,,,,,,,
a,5,H,T,aa,1,,,,,,,
a,5,H,T,aa,1,,,,,,,
a,5,H,T,aa,1,,,,,,,
a,5,H,T,aa,1,,,29-Mar,,,,
a,6,S,T+,aa,1,,,,,,,
a,6,S,T+,aa,1,,,,,,,
a,6,S,T+,aa,1,,,,,,,
a,6,S,T+,aa,1,,,,,,,
b,1,H,T,aa,1,,,,,,,
b,1,H,T,aa,1,,,,,,,
b,1,H,T,aa,1,,,,,,,
b,1,H,T,aa,1,,,23-Mar,,,,
b,2,S,T+,aa,1,,,,,,,
b,2,S,T+,aa,1,,,,,,,
b,2,S,T+,aa,1,,,,,,,
b,2,S,T+,aa,1,,,,,,,
b,3,S,T++,aa,1,,,,,,,
b,3,S,T++,aa,1,,,,,,,
b,3,S,T++,aa,1,,,,,,,
b,3,S,T++,aa,1,,,,,,,
b,4,H,T+,aa,1,,,,,,,
b,4,H,T+,aa,1,,,,,,,
b,4,H,T+,aa,1,,,,,,,
b,4,H,T+,aa,1,,,,,,,
b,5,S,T,aa,1,,,,,,,
b,5,S,T,aa,1,,,,,,,
b,5,S,T,aa,1,,,,,,,
b,5,S,T,aa,1,,,15-May,,,,
b,6,H,T++,aa,1,,,,,,,
b,6,H,T++,aa,1,,,,,,,
b,6,H,T++,aa,1,,,,,,,
b,6,H,T++,aa,1,,,,,,,
c,1,S,T,aa,1,,,,,,,
c,1,S,T,aa,1,,,,,,,
c,1,S,T,aa,1,,,,,,,
c,1,S,T,aa,1,,,,,,,
c,2,H,T++,aa,1,,,,,,,
c,2,H,T++,aa,1,,,,,,,
c,2,H,T++,aa,1,,,,,,,
c,2,H,T++,aa,1,,,,,,,
c,3,H,T,aa,1,,,,,,,
c,3,H,T,aa,1,,,,,,,
c,3,H,T,aa,1,,,,,,,
c,3,H,T,aa,1,,,,,,,
c,4,S,T++,aa,1,,,,,,,
