,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,plt
203541,mohonk,Hepatica,acutiloba,ffd,1928.0,117.0,,,,
203542,mohonk,Amelanchier,arborea,ffd,1930.0,123.0,,,,
203543,mohonk,Amelanchier,arborea,ffd,1931.0,112.0,,,,
203544,mohonk,Cornus,florida,ffd,1931.0,126.0,,,,
203545,mohonk,Hepatica,acutiloba,ffd,1931.0,124.0,,,,
203546,mohonk,Kalmia,latifolia,ffd,1931.0,160.0,,,,
203547,mohonk,Polygala,paucifolia,ffd,1931.0,137.0,,,,
203548,mohonk,Rhododendron,nudiflorum,ffd,1931.0,128.0,,,,
203549,mohonk,Rhododendron,indicum,ffd,1931.0,184.0,,,,
203550,mohonk,Sanguinaria,canadensis,ffd,1931.0,107.0,,,,
203551,mohonk,Trillium,erectum,ffd,1931.0,121.0,,,,
203552,mohonk,Viburnum,lantanoides,ffd,1931.0,115.0,,,,
203553,mohonk,Erythronium,americanum,ffd,1932.0,119.0,,,,
203554,mohonk,Erythronium,americanum,ffd,1933.0,120.0,,,,
203555,mohonk,Hedyotis,caerulea,ffd,1933.0,111.0,,,,
203556,mohonk,Hepatica,acutiloba,ffd,1933.0,111.0,,,,
203557,mohonk,Kalmia,latifolia,ffd,1933.0,156.0,,,,
203558,mohonk,Polygala,paucifolia,ffd,1933.0,134.0,,,,
203559,mohonk,Rhododendron,nudiflorum,ffd,1933.0,136.0,,,,
203560,mohonk,Viburnum,lantanoides,ffd,1933.0,133.0,,,,
203561,mohonk,Amelanchier,arborea,ffd,1938.0,118.0,,,,
203562,mohonk,Aquilegia,canadensis,ffd,1938.0,119.0,,,,
203563,mohonk,Cornus,florida,ffd,1938.0,118.0,,,,
203564,mohonk,Erythronium,americanum,ffd,1938.0,111.0,,,,
203565,mohonk,Hepatica,acutiloba,ffd,1938.0,91.0,,,,
203566,mohonk,Kalmia,latifolia,ffd,1938.0,154.0,,,,
203567,mohonk,Sambucus,racemosa,ffd,1938.0,119.0,,,,
203568,mohonk,Amelanchier,arborea,ffd,1939.0,124.0,,,,
203569,mohonk,Hepatica,acutiloba,ffd,1939.0,111.0,,,,
203570,mohonk,Kalmia,latifolia,ffd,1939.0,154.0,,,,
203571,mohonk,Rhododendron,nudiflorum,ffd,1939.0,143.0,,,,
203572,mohonk,Rhododendron,indicum,ffd,1939.0,184.0,,,,
203573,mohonk,Sambucus,racemosa,ffd,1939.0,139.0,,,,
203574,mohonk,Viburnum,acerifolium,ffd,1939.0,153.0,,,,
203575,mohonk,Cornus,florida,ffd,1940.0,139.0,,,,
203576,mohonk,Hedyotis,caerulea,ffd,1940.0,130.0,,,,
203577,mohonk,Hepatica,acutiloba,ffd,1940.0,126.0,,,,
203578,mohonk,Rhododendron,nudiflorum,ffd,1940.0,139.0,,,,
203579,mohonk,Sambucus,racemosa,ffd,1940.0,139.0,,,,
203580,mohonk,Trillium,erectum,ffd,1940.0,126.0,,,,
203581,mohonk,Viburnum,lantanoides,ffd,1940.0,140.0,,,,
203582,mohonk,Cornus,florida,ffd,1941.0,114.0,,,,
203583,mohonk,Hedyotis,caerulea,ffd,1941.0,114.0,,,,
203584,mohonk,Rhododendron,nudiflorum,ffd,1941.0,121.0,,,,
203585,mohonk,Sambucus,racemosa,ffd,1941.0,119.0,,,,
203586,mohonk,Viburnum,lantanoides,ffd,1941.0,121.0,,,,
203587,mohonk,Amelanchier,arborea,ffd,1942.0,113.0,,,,
203588,mohonk,Hedyotis,caerulea,ffd,1942.0,97.0,,,,
203589,mohonk,Hepatica,acutiloba,ffd,1942.0,113.0,,,,
203590,mohonk,Kalmia,latifolia,ffd,1942.0,149.0,,,,
203591,mohonk,Rhododendron,nudiflorum,ffd,1942.0,122.0,,,,
203592,mohonk,Amelanchier,arborea,ffd,1943.0,129.0,,,,
203593,mohonk,Kalmia,latifolia,ffd,1943.0,157.0,,,,
203594,mohonk,Rhododendron,nudiflorum,ffd,1943.0,144.0,,,,
203595,mohonk,Rhododendron,indicum,ffd,1943.0,189.0,,,,
203596,mohonk,Sambucus,racemosa,ffd,1943.0,135.0,,,,
203597,mohonk,Sanguinaria,canadensis,ffd,1943.0,124.0,,,,
203598,mohonk,Amelanchier,arborea,ffd,1944.0,124.0,,,,
203599,mohonk,Kalmia,latifolia,ffd,1944.0,156.0,,,,
203600,mohonk,Trillium,erectum,ffd,1944.0,126.0,,,,
203601,mohonk,Hedyotis,caerulea,ffd,1945.0,97.0,,,,
203602,mohonk,Hepatica,acutiloba,ffd,1945.0,97.0,,,,
203603,mohonk,Rhododendron,nudiflorum,ffd,1945.0,139.0,,,,
203604,mohonk,Amelanchier,arborea,ffd,1946.0,93.0,,,,
203605,mohonk,Cornus,florida,ffd,1946.0,121.0,,,,
203606,mohonk,Hepatica,acutiloba,ffd,1946.0,93.0,,,,
203607,mohonk,Kalmia,latifolia,ffd,1946.0,153.0,,,,
203608,mohonk,Viburnum,lantanoides,ffd,1946.0,120.0,,,,
203609,mohonk,Amelanchier,arborea,ffd,1947.0,121.0,,,,
203610,mohonk,Amelanchier,arborea,ffd,1948.0,116.0,,,,
203611,mohonk,Kalmia,latifolia,ffd,1948.0,157.0,,,,
203612,mohonk,Polygala,paucifolia,ffd,1948.0,133.0,,,,
203613,mohonk,Rhododendron,nudiflorum,ffd,1948.0,134.0,,,,
203614,mohonk,Rhododendron,indicum,ffd,1948.0,197.0,,,,
203615,mohonk,Sambucus,racemosa,ffd,1948.0,130.0,,,,
203616,mohonk,Amelanchier,arborea,ffd,1949.0,105.0,317.02415161133166,88.76287231445565,42.0,
203617,mohonk,Amelanchier,arborea,ffd,1950.0,126.0,388.2206359863295,129.77553100586067,41.0,
203618,mohonk,Rhododendron,nudiflorum,ffd,1950.0,151.0,754.8810058593772,371.43590087890834,41.0,
203619,mohonk,Amelanchier,arborea,ffd,1951.0,117.0,405.0136901855468,131.47301635742082,44.0,
203620,mohonk,Cornus,florida,ffd,1951.0,123.0,486.8347900390619,183.2941162109359,44.0,
203621,mohonk,Hedyotis,caerulea,ffd,1951.0,99.0,231.92371215820452,48.383038330078534,44.0,
203622,mohonk,Kalmia,latifolia,ffd,1951.0,155.0,997.5599975585903,534.0193237304644,44.0,
203623,mohonk,Polygala,paucifolia,ffd,1951.0,129.0,562.158514404296,228.61784057617,44.0,
203624,mohonk,Rhododendron,nudiflorum,ffd,1951.0,133.0,615.4160278320301,261.8753540039041,44.0,
203625,mohonk,Sambucus,racemosa,ffd,1951.0,131.0,588.57344970703,245.03277587890403,44.0,
203626,mohonk,Viburnum,lantanoides,ffd,1951.0,127.0,533.343585205078,209.802911376952,44.0,
203627,mohonk,Amelanchier,arborea,ffd,1952.0,113.0,351.15955810546825,122.57683715820258,49.0,
203628,mohonk,Erythronium,americanum,ffd,1952.0,113.0,351.15955810546825,122.57683715820258,49.0,
203629,mohonk,Hedyotis,caerulea,ffd,1952.0,117.0,397.26564331054635,148.68292236328068,49.0,
203630,mohonk,Kalmia,latifolia,ffd,1952.0,159.0,998.3672546386712,539.7845336914056,49.0,
203631,mohonk,Rhododendron,nudiflorum,ffd,1952.0,136.0,628.0078063964838,284.42508544921805,49.0,
203632,mohonk,Rhododendron,indicum,ffd,1952.0,192.0,1716.4364807128918,1092.8537597656261,49.0,
203633,mohonk,Sambucus,racemosa,ffd,1952.0,126.0,504.95482788085855,211.37210693359287,49.0,
203634,mohonk,Trillium,erectum,ffd,1952.0,124.0,484.0184387207025,200.4357177734368,49.0,
203635,mohonk,Trillium,undulatum,ffd,1952.0,124.0,484.0184387207025,200.4357177734368,49.0,
203636,mohonk,Viburnum,acerifolium,ffd,1952.0,160.0,1017.8965454101551,554.3138244628894,49.0,
203637,mohonk,Viburnum,lantanoides,ffd,1952.0,123.0,473.78770141601444,195.20498046874877,49.0,
203638,mohonk,Amelanchier,arborea,ffd,1953.0,116.0,413.5475769043019,134.45590209961097,44.0,
203639,mohonk,Caltha,palustris,ffd,1953.0,104.0,299.2484252929746,80.1567504882837,44.0,
203640,mohonk,Erythronium,americanum,ffd,1953.0,114.0,387.00465087891183,117.91297607422092,44.0,
203641,mohonk,Hedyotis,caerulea,ffd,1953.0,122.0,483.36452636719304,174.27285156250213,44.0,
203642,mohonk,Kalmia,latifolia,ffd,1953.0,153.0,984.8589965820368,520.7673217773458,44.0,
203643,mohonk,Polygala,paucifolia,ffd,1953.0,131.0,617.4082031250063,263.31652832031534,44.0,
203644,mohonk,Rhododendron,nudiflorum,ffd,1953.0,133.0,648.4869567871164,284.39528198242544,44.0,
203645,mohonk,Rhododendron,indicum,ffd,1953.0,173.0,1387.905474853522,823.8138000488312,44.0,
203646,mohonk,Sambucus,racemosa,ffd,1953.0,128.0,571.3905517578191,232.29887695312829,44.0,
203647,mohonk,Trillium,erectum,ffd,1953.0,116.0,413.5475769043019,134.45590209961097,44.0,
203648,mohonk,Trillium,undulatum,ffd,1953.0,127.0,556.478112792975,222.38643798828423,44.0,
203649,mohonk,Viburnum,acerifolium,ffd,1953.0,155.0,1020.1891845703176,546.0975097656269,44.0,
203650,mohonk,Amelanchier,arborea,ffd,1954.0,110.0,353.5034057617219,111.77212524414159,36.0,
203651,mohonk,Aquilegia,canadensis,ffd,1954.0,135.0,662.7678710937537,296.03659057617324,36.0,
203652,mohonk,Caltha,palustris,ffd,1954.0,110.0,353.5034057617219,111.77212524414159,36.0,
203653,mohonk,Cornus,florida,ffd,1954.0,123.0,525.0082702636763,218.27698974609598,36.0,
203654,mohonk,Erythronium,americanum,ffd,1954.0,108.0,327.53393554687784,95.80265502929751,36.0,
203655,mohonk,Hedyotis,caerulea,ffd,1954.0,116.0,430.2400939941451,158.5088134765648,36.0,
203656,mohonk,Kalmia,latifolia,ffd,1954.0,157.0,1004.8296569824261,528.0983764648458,36.0,
203657,mohonk,Polygala,paucifolia,ffd,1954.0,134.0,648.4961181640656,286.7648376464852,36.0,
