,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,plt
14488,hubbard,Acer,saccharum,bbd,1989.0,114.0,58.95262451171527,2.3713012695309885,81.0,
14489,hubbard,Acer,saccharum,bbd,1990.0,106.0,73.28176269531144,4.313873291015113,65.0,
14490,hubbard,Acer,saccharum,bbd,1991.0,105.0,100.68894653320558,19.828515625000136,62.0,
14491,hubbard,Acer,saccharum,bbd,1992.0,125.0,125.61635742187474,22.80173339843833,64.0,
14492,hubbard,Acer,saccharum,bbd,1993.0,109.0,93.52677612304973,8.995056152344318,77.0,
14493,hubbard,Acer,saccharum,bbd,1994.0,122.0,176.45551757812478,43.26110229492127,72.0,
14494,hubbard,Acer,saccharum,bbd,1995.0,122.0,164.27172241210803,23.876660156250296,57.0,
14495,hubbard,Acer,saccharum,bbd,1996.0,134.0,244.73377075195395,79.9038330078136,60.0,
14496,hubbard,Acer,saccharum,bbd,1997.0,126.0,146.64974365234372,28.579052734374216,65.0,
14497,hubbard,Acer,saccharum,bbd,1998.0,110.0,146.25913696289064,26.233129882812136,72.0,
14498,hubbard,Acer,saccharum,bbd,1999.0,123.0,178.708142089847,38.10758056640725,67.0,
14499,hubbard,Acer,saccharum,bbd,2000.0,124.0,201.52429809570611,25.6082397460965,68.0,
14500,hubbard,Acer,saccharum,bbd,2001.0,128.0,205.43157348632673,69.83691406249943,64.0,
14501,hubbard,Acer,saccharum,bbd,2002.0,126.0,215.99489746093911,45.03208618164058,59.0,
14502,hubbard,Acer,saccharum,bbd,2003.0,139.0,278.667352294924,93.68485107421958,73.0,
14503,hubbard,Acer,saccharum,bbd,2004.0,125.0,210.3752868652361,63.23078002929742,66.0,
14504,hubbard,Acer,saccharum,bbd,2005.0,122.0,178.9169128417969,43.17729492187448,67.0,
14505,hubbard,Acer,saccharum,bbd,2006.0,114.0,146.6741516113276,32.88503417968718,61.0,
14506,hubbard,Acer,saccharum,bbd,2007.0,127.0,180.9087524414071,44.67592163086147,61.0,
14507,hubbard,Acer,saccharum,bbd,2008.0,126.0,224.04371337890365,77.27739868164139,61.0,
14508,hubbard,Acer,saccharum,bbd,2009.0,124.0,223.25499877929684,74.60206909179749,66.0,
14509,hubbard,Acer,saccharum,bbd,2010.0,102.0,42.41097412109326,2.875018310547034,70.0,
14510,hubbard,Acer,saccharum,bbd,2011.0,122.0,,,,
14511,hubbard,Acer,saccharum,bbd,2012.0,93.0,,,,
14512,hubbard,Betula,alleghaniensis,bbd,1989.0,114.0,58.95262451171527,2.3713012695309885,81.0,
14513,hubbard,Betula,alleghaniensis,bbd,1990.0,106.0,73.28176269531144,4.313873291015113,65.0,
14514,hubbard,Betula,alleghaniensis,bbd,1991.0,105.0,100.68894653320558,19.828515625000136,62.0,
14515,hubbard,Betula,alleghaniensis,bbd,1992.0,125.0,125.61635742187474,22.80173339843833,64.0,
14516,hubbard,Betula,alleghaniensis,bbd,1993.0,109.0,93.52677612304973,8.995056152344318,77.0,
14517,hubbard,Betula,alleghaniensis,bbd,1994.0,122.0,176.45551757812478,43.26110229492127,72.0,
14518,hubbard,Betula,alleghaniensis,bbd,1995.0,122.0,164.27172241210803,23.876660156250296,57.0,
14519,hubbard,Betula,alleghaniensis,bbd,1996.0,134.0,244.73377075195395,79.9038330078136,60.0,
14520,hubbard,Betula,alleghaniensis,bbd,1997.0,126.0,146.64974365234372,28.579052734374216,65.0,
14521,hubbard,Betula,alleghaniensis,bbd,1998.0,110.0,146.25913696289064,26.233129882812136,72.0,
14522,hubbard,Betula,alleghaniensis,bbd,1999.0,123.0,178.708142089847,38.10758056640725,67.0,
14523,hubbard,Betula,alleghaniensis,bbd,2000.0,124.0,201.52429809570611,25.6082397460965,68.0,
14524,hubbard,Betula,alleghaniensis,bbd,2001.0,128.0,205.43157348632673,69.83691406249943,64.0,
14525,hubbard,Betula,alleghaniensis,bbd,2002.0,126.0,215.99489746093911,45.03208618164058,59.0,
14526,hubbard,Betula,alleghaniensis,bbd,2003.0,139.0,278.667352294924,93.68485107421958,73.0,
14527,hubbard,Betula,alleghaniensis,bbd,2004.0,125.0,210.3752868652361,63.23078002929742,66.0,
14528,hubbard,Betula,alleghaniensis,bbd,2005.0,122.0,178.9169128417969,43.17729492187448,67.0,
14529,hubbard,Betula,alleghaniensis,bbd,2006.0,114.0,146.6741516113276,32.88503417968718,61.0,
14530,hubbard,Betula,alleghaniensis,bbd,2007.0,127.0,180.9087524414071,44.67592163086147,61.0,
14531,hubbard,Betula,alleghaniensis,bbd,2008.0,126.0,224.04371337890365,77.27739868164139,61.0,
14532,hubbard,Betula,alleghaniensis,bbd,2009.0,124.0,223.25499877929684,74.60206909179749,66.0,
14533,hubbard,Betula,alleghaniensis,bbd,2010.0,102.0,42.41097412109326,2.875018310547034,70.0,
14534,hubbard,Betula,alleghaniensis,bbd,2011.0,122.0,,,,
14535,hubbard,Betula,alleghaniensis,bbd,2012.0,93.0,,,,
14536,hubbard,Fagus,grandifolia,bbd,1989.0,114.0,58.95262451171527,2.3713012695309885,81.0,
14537,hubbard,Fagus,grandifolia,bbd,1990.0,106.0,73.28176269531144,4.313873291015113,65.0,
14538,hubbard,Fagus,grandifolia,bbd,1991.0,105.0,100.68894653320558,19.828515625000136,62.0,
14539,hubbard,Fagus,grandifolia,bbd,1992.0,125.0,125.61635742187474,22.80173339843833,64.0,
14540,hubbard,Fagus,grandifolia,bbd,1993.0,109.0,93.52677612304973,8.995056152344318,77.0,
14541,hubbard,Fagus,grandifolia,bbd,1994.0,122.0,176.45551757812478,43.26110229492127,72.0,
14542,hubbard,Fagus,grandifolia,bbd,1995.0,122.0,164.27172241210803,23.876660156250296,57.0,
