,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,plt
207227,fargo,Acer,ginnala,ffd,1931.0,150.0,,,,
207228,fargo,Acer,ginnala,ffd,1948.0,145.0,,,,
207229,fargo,Acer,ginnala,ffd,1949.0,141.0,546.3874816894552,298.0372375488311,69.0,
207230,fargo,Acer,ginnala,ffd,1952.0,141.0,509.341058349611,276.90927124023693,73.0,
207231,fargo,Acer,ginnala,ffd,1954.0,159.0,618.4458862304687,314.92476806640514,56.0,
207232,fargo,Acer,ginnala,ffd,1955.0,136.0,570.9518676757821,344.133123779298,63.0,
207233,fargo,Acer,ginnala,ffd,1956.0,158.0,560.8993591308583,297.725933837891,67.0,
207234,fargo,Acer,ginnala,ffd,1957.0,147.0,535.3276794433583,279.80762939452995,60.0,
207235,fargo,Acer,ginnala,ffd,1958.0,142.0,550.7735046386744,267.767279052737,72.0,
207236,fargo,Acer,ginnala,ffd,1959.0,150.0,635.5937255859441,313.01781005860045,61.0,
207237,fargo,Acer,ginnala,ffd,1960.0,157.0,648.2629943847653,347.55122070312285,77.0,
207238,fargo,Acer,ginnala,ffd,2009.0,153.0,604.7593750000034,307.68970947265797,62.0,
207239,fargo,Acer,negundo,ffd,1910.0,93.0,,,,
207240,fargo,Acer,negundo,ffd,1911.0,115.0,,,,
207241,fargo,Acer,negundo,ffd,1912.0,113.0,,,,
207242,fargo,Acer,negundo,ffd,1914.0,122.0,,,,
207243,fargo,Acer,negundo,ffd,1915.0,104.0,,,,
207244,fargo,Acer,negundo,ffd,1916.0,126.0,,,,
207245,fargo,Acer,negundo,ffd,1917.0,128.0,,,,
207246,fargo,Acer,negundo,ffd,1918.0,104.0,,,,
207247,fargo,Acer,negundo,ffd,1919.0,121.0,,,,
207248,fargo,Acer,negundo,ffd,1920.0,127.0,,,,
207249,fargo,Acer,negundo,ffd,1921.0,111.0,,,,
207250,fargo,Acer,negundo,ffd,1922.0,118.0,,,,
207251,fargo,Acer,negundo,ffd,1923.0,121.0,,,,
207252,fargo,Acer,negundo,ffd,1924.0,123.0,,,,
207253,fargo,Acer,negundo,ffd,1925.0,101.0,,,,
207254,fargo,Acer,negundo,ffd,1926.0,113.0,,,,
207255,fargo,Acer,negundo,ffd,1927.0,116.0,,,,
207256,fargo,Acer,negundo,ffd,1928.0,123.0,,,,
207257,fargo,Acer,negundo,ffd,1929.0,115.0,,,,
207258,fargo,Acer,negundo,ffd,1930.0,105.0,,,,
207259,fargo,Acer,negundo,ffd,1931.0,106.0,,,,
207260,fargo,Acer,negundo,ffd,1932.0,114.0,,,,
207261,fargo,Acer,negundo,ffd,1933.0,113.0,,,,
207262,fargo,Acer,negundo,ffd,1934.0,119.0,,,,
207263,fargo,Acer,negundo,ffd,1935.0,126.0,,,,
207264,fargo,Acer,negundo,ffd,1936.0,125.0,,,,
207265,fargo,Acer,negundo,ffd,1937.0,122.0,,,,
207266,fargo,Acer,negundo,ffd,1938.0,105.0,,,,
207267,fargo,Acer,negundo,ffd,1939.0,118.0,,,,
207268,fargo,Acer,negundo,ffd,1940.0,125.0,,,,
207269,fargo,Acer,negundo,ffd,1941.0,116.0,,,,
207270,fargo,Acer,negundo,ffd,1942.0,111.0,,,,
207271,fargo,Acer,negundo,ffd,1943.0,114.0,,,,
207272,fargo,Acer,negundo,ffd,1944.0,120.0,,,,
207273,fargo,Acer,negundo,ffd,1945.0,98.0,,,,
207274,fargo,Acer,negundo,ffd,1946.0,106.0,,,,
207275,fargo,Acer,negundo,ffd,1947.0,123.0,,,,
207276,fargo,Acer,negundo,ffd,1948.0,115.0,,,,
207277,fargo,Acer,negundo,ffd,1950.0,135.0,178.56138305664075,54.05192871093834,63.0,
207278,fargo,Acer,negundo,ffd,1951.0,120.0,141.24503784179637,46.07977294921824,66.0,
207279,fargo,Acer,negundo,ffd,1952.0,114.0,158.9863342285165,61.554547119142455,73.0,
207280,fargo,Acer,negundo,ffd,1953.0,124.0,200.50524291992082,52.74468383789048,69.0,
207281,fargo,Acer,negundo,ffd,1954.0,119.0,177.06347045898383,59.45902709960842,56.0,
207282,fargo,Acer,negundo,ffd,1955.0,106.0,158.2320800781265,81.41333618164248,63.0,
